querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
90266.000000, 14.000000, 899.000000, 0, 0, 0, 0, 67526, 31022, 0, 0, 0, 1354, 0, 81.802528, 78.210190, 90256.000000
276830.000000, 17.000000, 96.000000, 0, 0, 0, 0, 67526, 65430, 0, 0, 0, 166, 0, 265.418335, 206.411499, 367075.000000
229866.000000, 14.000000, 117.000000, 0, 0, 0, 0, 67526, 65215, 0, 0, 0, 237, 0, 266.084717, 171.566620, 596932.000000
508724.000000, 18.000000, 192.000000, 0, 0, 0, 0, 67526, 65694, 0, 0, 0, 292, 0, 364.367371, 256.000031, 1105645.000000
108019.000000, 14.000000, 106.000000, 0, 0, 0, 0, 67526, 64060, 0, 0, 0, 206, 0, 199.290970, 155.947861, 1213654.000000
133141.000000, 16.000000, 163.000000, 0, 0, 0, 0, 67526, 64727, 0, 0, 0, 271, 0, 203.820374, 121.478043, 1346784.000000
212758.000000, 15.000000, 139.000000, 0, 0, 0, 0, 67526, 65221, 0, 0, 0, 195, 0, 312.361023, 182.873856, 1559532.000000
18159.000000, 15.000000, 1190.000000, 0, 0, 0, 0, 67526, 12627, 0, 0, 0, 4299, 0, 11.646093, 9.063293, 1577681.000000
334612.000000, 12.000000, 173.000000, 0, 0, 0, 0, 67526, 65525, 0, 0, 0, 251, 0, 272.434357, 219.588623, 1912284.000000
204716.000000, 19.000000, 140.000000, 0, 0, 0, 0, 67526, 65147, 0, 0, 0, 177, 0, 290.132202, 185.919189, 2116987.000000
167825.000000, 13.000000, 271.000000, 0, 0, 0, 0, 67526, 65022, 0, 0, 0, 523, 0, 193.621078, 128.844208, 2284803.000000
350746.000000, 10.000000, 103.000000, 0, 0, 0, 0, 67526, 65591, 0, 0, 0, 133, 0, 347.320831, 237.750717, 2635542.000000
201657.000000, 15.000000, 4349.000000, 0, 0, 0, 0, 67526, 64711, 0, 0, 0, 8273, 0, 172.972855, 141.374176, 2837188.000000
316543.000000, 11.000000, 117.000000, 0, 0, 0, 0, 67526, 65524, 0, 0, 0, 179, 0, 341.486572, 219.835876, 3153724.000000
296302.000000, 12.000000, 189.000000, 0, 0, 0, 0, 67526, 65429, 0, 0, 0, 323, 0, 335.471466, 205.275497, 3450018.000000
39947.000000, 12.000000, 127.000000, 0, 0, 0, 0, 67526, 31323, 0, 0, 0, 351, 0, 48.197922, 43.800823, 3489956.000000
176328.000000, 11.000000, 125.000000, 0, 0, 0, 0, 67526, 65117, 0, 0, 0, 199, 0, 291.794128, 149.911179, 3666276.000000
197918.000000, 12.000000, 287.000000, 0, 0, 0, 0, 67526, 64784, 0, 0, 0, 534, 0, 196.662430, 138.869049, 3864186.000000
155791.000000, 12.000000, 122.000000, 0, 0, 0, 0, 67526, 64957, 0, 0, 0, 193, 0, 277.955231, 144.602417, 4019968.000000
205283.000000, 19.000000, 153.000000, 0, 0, 0, 0, 67526, 65193, 0, 0, 0, 177, 0, 313.463348, 162.322830, 4225239.000000
135322.000000, 12.000000, 133.000000, 0, 0, 0, 0, 67526, 64686, 0, 0, 0, 209, 0, 233.056564, 169.900986, 4360553.000000
118255.000000, 13.000000, 4281.000000, 0, 0, 0, 0, 67526, 32408, 0, 0, 0, 10418, 0, 111.118050, 86.938255, 4478799.000000
242333.000000, 18.000000, 126.000000, 0, 0, 0, 0, 67526, 65334, 0, 0, 0, 167, 0, 328.667816, 183.295746, 4721121.000000
263216.000000, 11.000000, 129.000000, 0, 0, 0, 0, 67526, 65297, 0, 0, 0, 175, 0, 304.566223, 194.510422, 4984328.000000
33572.000000, 13.000000, 108.000000, 0, 0, 0, 0, 67526, 28955, 0, 0, 0, 167, 0, 178.851257, 100.896454, 5017892.000000
23651.000000, 11.000000, 466.000000, 0, 0, 0, 0, 67526, 10094, 0, 0, 0, 1397, 0, 24.191519, 19.359430, 5041536.000000
401444.000000, 12.000000, 118.000000, 0, 0, 0, 0, 67526, 65638, 0, 0, 0, 214, 0, 335.658112, 233.221298, 5442971.000000
352651.000000, 18.000000, 192.000000, 0, 0, 0, 0, 67526, 65515, 0, 0, 0, 267, 0, 344.266815, 218.898773, 5795610.000000
309152.000000, 12.000000, 158.000000, 0, 0, 0, 0, 67526, 65450, 0, 0, 0, 231, 0, 311.439941, 185.422882, 6104754.000000
306259.000000, 12.000000, 182.000000, 0, 0, 0, 0, 67526, 65461, 0, 0, 0, 303, 0, 353.824432, 205.612701, 6411004.000000
60836.000000, 13.000000, 121.000000, 0, 0, 0, 0, 67526, 49963, 0, 0, 0, 210, 0, 211.385925, 76.868340, 6471831.000000
224957.000000, 11.000000, 141.000000, 0, 0, 0, 0, 67526, 65234, 0, 0, 0, 230, 0, 304.031982, 145.756668, 6696780.000000
260076.000000, 22.000000, 174.000000, 0, 0, 0, 0, 67526, 65377, 0, 0, 0, 224, 0, 322.805817, 191.364471, 6956842.000000
252305.000000, 11.000000, 113.000000, 0, 0, 0, 0, 67526, 65400, 0, 0, 0, 163, 0, 383.370422, 181.738907, 7209139.000000
318037.000000, 12.000000, 111.000000, 0, 0, 0, 0, 67526, 65516, 0, 0, 0, 169, 0, 339.845276, 222.015717, 7527167.000000
490952.000000, 13.000000, 450.000000, 0, 0, 0, 0, 67526, 65689, 0, 0, 0, 890, 0, 396.819885, 256.000000, 8018110.000000
476386.000000, 18.000000, 187.000000, 0, 0, 0, 0, 67526, 65714, 0, 0, 0, 244, 0, 394.890411, 235.551422, 8494484.000000
233860.000000, 12.000000, 104.000000, 0, 0, 0, 0, 67526, 65365, 0, 0, 0, 154, 0, 316.249054, 183.872894, 8728336.000000
161799.000000, 12.000000, 196.000000, 0, 0, 0, 0, 67526, 64992, 0, 0, 0, 367, 0, 220.203323, 139.074951, 8890125.000000
236510.000000, 11.000000, 759.000000, 0, 0, 0, 0, 67526, 65044, 0, 0, 0, 1665, 0, 209.319397, 163.390503, 9126629.000000
