querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
492314.000000, 7.000000, 413.000000, 0, 0, 0, 0, 67563, 66255, 0, 0, 0, 772, 0, 59.569485, 51.895206, 492310.000000
292801.000000, 8.000000, 318.000000, 0, 0, 0, 0, 67563, 66003, 0, 0, 0, 981, 0, 61.237549, 36.224583, 785106.000000
115102.000000, 11.000000, 2893.000000, 0, 0, 0, 0, 67563, 38479, 0, 0, 0, 16226, 0, 19.078072, 19.078072, 900203.000000
209021.000000, 9.000000, 3078.000000, 0, 0, 0, 0, 67563, 63994, 0, 0, 0, 19510, 0, 21.251453, 21.251453, 1109220.000000
334318.000000, 10.000000, 111.000000, 0, 0, 0, 0, 67563, 65938, 0, 0, 0, 267, 0, 59.132965, 30.531570, 1443533.000000
539766.000000, 12.000000, 2987.000000, 0, 0, 0, 0, 67563, 66267, 0, 0, 0, 13781, 0, 70.666580, 64.408295, 1983294.000000
562447.000000, 10.000000, 628.000000, 0, 0, 0, 0, 67563, 66241, 0, 0, 0, 2590, 0, 73.425377, 55.455639, 2545736.000000
105538.000000, 9.000000, 902.000000, 0, 0, 0, 0, 67563, 21771, 0, 0, 0, 5183, 0, 25.042562, 18.778326, 2651269.000000
609065.000000, 11.000000, 1290.000000, 0, 0, 0, 0, 67563, 66286, 0, 0, 0, 5669, 0, 56.910820, 56.610981, 3260329.000000
194508.000000, 10.000000, 203.000000, 0, 0, 0, 0, 67563, 58833, 0, 0, 0, 986, 0, 43.609009, 35.827148, 3454831.000000
239055.000000, 10.000000, 826.000000, 0, 0, 0, 0, 67563, 65895, 0, 0, 0, 4268, 0, 38.561333, 29.562952, 3693880.000000
326569.000000, 12.000000, 75.000000, 0, 0, 0, 0, 67563, 66116, 0, 0, 0, 153, 0, 81.071281, 40.874527, 4020444.000000
179751.000000, 10.000000, 1023.000000, 0, 0, 0, 0, 67563, 47508, 0, 0, 0, 5471, 0, 31.007946, 25.919353, 4200190.000000
110909.000000, 13.000000, 2096.000000, 0, 0, 0, 0, 67563, 36316, 0, 0, 0, 14700, 0, 32.132385, 31.971146, 4311094.000000
224470.000000, 13.000000, 1897.000000, 0, 0, 0, 0, 67563, 60820, 0, 0, 0, 9141, 0, 47.056789, 34.025208, 4535559.000000
418127.000000, 10.000000, 2157.000000, 0, 0, 0, 0, 67563, 66164, 0, 0, 0, 13502, 0, 47.194710, 47.194710, 4953680.000000
254217.000000, 12.000000, 59.000000, 0, 0, 0, 0, 67563, 65637, 0, 0, 0, 142, 0, 74.204918, 33.831337, 5207891.000000
322344.000000, 8.000000, 2292.000000, 0, 0, 0, 0, 67563, 62384, 0, 0, 0, 11948, 0, 39.507542, 39.507542, 5530231.000000
236808.000000, 9.000000, 169.000000, 0, 0, 0, 0, 67563, 65856, 0, 0, 0, 689, 0, 42.944256, 23.175106, 5767033.000000
167643.000000, 10.000000, 402.000000, 0, 0, 0, 0, 67563, 60679, 0, 0, 0, 2663, 0, 14.758595, 11.921935, 5934670.000000
357279.000000, 9.000000, 1039.000000, 0, 0, 0, 0, 67563, 66119, 0, 0, 0, 3609, 0, 59.862728, 39.000286, 6291945.000000
31861.000000, 10.000000, 399.000000, 0, 0, 0, 0, 67563, 5877, 0, 0, 0, 1774, 0, 4.172885, 4.172885, 6323801.000000
125026.000000, 5.000000, 1284.000000, 0, 0, 0, 0, 67563, 33017, 0, 0, 0, 5460, 0, 16.968056, 14.442435, 6448824.000000
88647.000000, 12.000000, 1412.000000, 0, 0, 0, 0, 67563, 26571, 0, 0, 0, 5253, 0, 18.100607, 15.494273, 6537467.000000
187954.000000, 8.000000, 2926.000000, 0, 0, 0, 0, 67563, 38708, 0, 0, 0, 16744, 0, 24.973452, 23.890129, 6725416.000000
420929.000000, 11.000000, 1434.000000, 0, 0, 0, 0, 67563, 66216, 0, 0, 0, 6401, 0, 57.399719, 42.481499, 7146340.000000
258534.000000, 10.000000, 693.000000, 0, 0, 0, 0, 67563, 65845, 0, 0, 0, 4635, 0, 45.536236, 32.695908, 7404869.000000
72799.000000, 9.000000, 1251.000000, 0, 0, 0, 0, 67563, 17245, 0, 0, 0, 7839, 0, 12.823499, 12.823499, 7477663.000000
272478.000000, 9.000000, 3042.000000, 0, 0, 0, 0, 67563, 58375, 0, 0, 0, 17697, 0, 53.127457, 32.532623, 7750136.000000
121022.000000, 9.000000, 4146.000000, 0, 0, 0, 0, 67563, 29086, 0, 0, 0, 18729, 0, 49.281063, 16.004932, 7871153.000000
76951.000000, 10.000000, 1701.000000, 0, 0, 0, 0, 67563, 26030, 0, 0, 0, 14463, 0, 20.430475, 11.604307, 7948099.000000
24239.000000, 8.000000, 570.000000, 0, 0, 0, 0, 67563, 7907, 0, 0, 0, 3991, 0, 5.072790, 4.416142, 7972334.000000
198581.000000, 8.000000, 59.000000, 0, 0, 0, 0, 67563, 61737, 0, 0, 0, 202, 0, 28.536043, 26.473783, 8170912.000000
116721.000000, 10.000000, 2287.000000, 0, 0, 0, 0, 67563, 33336, 0, 0, 0, 10796, 0, 38.178379, 26.615770, 8287629.000000
56450.000000, 7.000000, 623.000000, 0, 0, 0, 0, 67563, 28073, 0, 0, 0, 3543, 0, 14.905595, 14.905595, 8344074.000000
247354.000000, 10.000000, 326.000000, 0, 0, 0, 0, 67563, 65646, 0, 0, 0, 1621, 0, 44.399727, 25.421724, 8591424.000000
92421.000000, 8.000000, 208.000000, 0, 0, 0, 0, 67563, 32743, 0, 0, 0, 1023, 0, 29.646986, 20.533939, 8683841.000000
99118.000000, 10.000000, 2967.000000, 0, 0, 0, 0, 67563, 22340, 0, 0, 0, 17779, 0, 29.515770, 21.073168, 8782955.000000
201728.000000, 8.000000, 1272.000000, 0, 0, 0, 0, 67563, 65766, 0, 0, 0, 8196, 0, 29.154774, 22.067574, 8984679.000000
224457.000000, 8.000000, 617.000000, 0, 0, 0, 0, 67563, 65598, 0, 0, 0, 2684, 0, 47.880234, 30.800413, 9209131.000000
269775.000000, 8.000000, 2403.000000, 0, 0, 0, 0, 67563, 58364, 0, 0, 0, 15691, 0, 36.632023, 27.061529, 9478902.000000
231410.000000, 9.000000, 90.000000, 0, 0, 0, 0, 67563, 65844, 0, 0, 0, 282, 0, 63.422844, 38.543865, 9710307.000000
173804.000000, 9.000000, 2263.000000, 0, 0, 0, 0, 67563, 50240, 0, 0, 0, 13045, 0, 27.981234, 26.072588, 9884106.000000
122334.000000, 8.000000, 64.000000, 0, 0, 0, 0, 67563, 40182, 0, 0, 0, 246, 0, 36.450905, 18.391695, 10006435.000000
283471.000000, 8.000000, 318.000000, 0, 0, 0, 0, 67563, 65970, 0, 0, 0, 1295, 0, 49.390820, 31.381676, 10289902.000000
20595.000000, 9.000000, 296.000000, 0, 0, 0, 0, 67563, 3882, 0, 0, 0, 1894, 0, 7.668198, 5.655378, 10310492.000000
158346.000000, 8.000000, 2464.000000, 0, 0, 0, 0, 67563, 50192, 0, 0, 0, 16464, 0, 21.327465, 19.622787, 10468834.000000
277628.000000, 7.000000, 869.000000, 0, 0, 0, 0, 67563, 65915, 0, 0, 0, 5502, 0, 45.843330, 29.521936, 10746458.000000
159694.000000, 8.000000, 1288.000000, 0, 0, 0, 0, 67563, 60605, 0, 0, 0, 7370, 0, 16.913267, 15.978544, 10906148.000000
353979.000000, 8.000000, 3094.000000, 0, 0, 0, 0, 67563, 66130, 0, 0, 0, 17931, 0, 57.403221, 31.344017, 11260123.000000
221763.000000, 11.000000, 792.000000, 0, 0, 0, 0, 67563, 64758, 0, 0, 0, 4065, 0, 69.751663, 26.018690, 11481881.000000
158263.000000, 9.000000, 2540.000000, 0, 0, 0, 0, 67563, 50208, 0, 0, 0, 16464, 0, 21.327465, 19.622787, 11640139.000000
13519.000000, 9.000000, 1946.000000, 0, 0, 0, 0, 67563, 998, 0, 0, 0, 13509, 0, 1.427561, 0.909322, 11653652.000000
167215.000000, 10.000000, 688.000000, 0, 0, 0, 0, 67563, 48073, 0, 0, 0, 2677, 0, 46.814293, 35.669899, 11820861.000000
94610.000000, 8.000000, 1065.000000, 0, 0, 0, 0, 67563, 21493, 0, 0, 0, 5945, 0, 22.851513, 16.037388, 11915467.000000
