querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
580296.000000, 9.000000, 425.000000, 0, 0, 0, 0, 66050, 65549, 0, 0, 0, 476, 0, 83.858017, 51.895206, 580291.000000
280396.000000, 8.000000, 183.000000, 0, 0, 0, 0, 66050, 65056, 0, 0, 0, 737, 0, 80.708298, 36.224583, 860683.000000
120552.000000, 12.000000, 2712.000000, 0, 0, 0, 0, 66050, 35448, 0, 0, 0, 11549, 0, 21.119005, 19.078072, 981230.000000
216371.000000, 8.000000, 2593.000000, 0, 0, 0, 0, 66050, 63645, 0, 0, 0, 14815, 0, 27.552885, 21.251453, 1197597.000000
359602.000000, 15.000000, 67.000000, 0, 0, 0, 0, 66050, 65414, 0, 0, 0, 112, 0, 59.854733, 30.531570, 1557191.000000
528849.000000, 9.000000, 2664.000000, 0, 0, 0, 0, 66050, 65538, 0, 0, 0, 7068, 0, 70.666580, 64.408295, 2086036.000000
680422.000000, 9.000000, 414.000000, 0, 0, 0, 0, 66050, 65634, 0, 0, 0, 976, 0, 62.989208, 55.455639, 2766454.000000
113737.000000, 4.000000, 581.000000, 0, 0, 0, 0, 66050, 37736, 0, 0, 0, 2259, 0, 27.369394, 18.778326, 2880188.000000
630002.000000, 10.000000, 2888.000000, 0, 0, 0, 0, 66050, 65558, 0, 0, 0, 9093, 0, 56.910820, 56.610981, 3510185.000000
212479.000000, 9.000000, 509.000000, 0, 0, 0, 0, 66050, 55300, 0, 0, 0, 1484, 0, 38.914787, 35.827148, 3722658.000000
245290.000000, 9.000000, 3740.000000, 0, 0, 0, 0, 66050, 65130, 0, 0, 0, 13181, 0, 36.503098, 29.562952, 3967944.000000
323942.000000, 8.000000, 184.000000, 0, 0, 0, 0, 66050, 65365, 0, 0, 0, 438, 0, 57.296471, 40.874527, 4291882.000000
196295.000000, 8.000000, 2719.000000, 0, 0, 0, 0, 66050, 50606, 0, 0, 0, 9098, 0, 28.029495, 25.919353, 4488173.000000
204438.000000, 8.000000, 1155.000000, 0, 0, 0, 0, 66050, 55793, 0, 0, 0, 4763, 0, 38.652874, 31.971146, 4692607.000000
245912.000000, 10.000000, 1105.000000, 0, 0, 0, 0, 66050, 64314, 0, 0, 0, 3615, 0, 36.976269, 34.025208, 4938514.000000
411543.000000, 9.000000, 1355.000000, 0, 0, 0, 0, 66050, 65461, 0, 0, 0, 3577, 0, 54.957050, 47.194710, 5350054.000000
244627.000000, 9.000000, 59.000000, 0, 0, 0, 0, 66050, 64553, 0, 0, 0, 125, 0, 63.745804, 33.831337, 5594676.000000
293489.000000, 7.000000, 497.000000, 0, 0, 0, 0, 66050, 65217, 0, 0, 0, 2152, 0, 39.507542, 39.507542, 5888162.000000
225128.000000, 7.000000, 131.000000, 0, 0, 0, 0, 66050, 65222, 0, 0, 0, 571, 0, 29.482588, 23.175106, 6113287.000000
140732.000000, 7.000000, 1562.000000, 0, 0, 0, 0, 66050, 50568, 0, 0, 0, 7895, 0, 15.925028, 11.921935, 6254015.000000
343777.000000, 9.000000, 302.000000, 0, 0, 0, 0, 66050, 65352, 0, 0, 0, 1211, 0, 65.289772, 39.000286, 6597788.000000
34357.000000, 8.000000, 156.000000, 0, 0, 0, 0, 66050, 12565, 0, 0, 0, 763, 0, 6.773138, 4.172885, 6632142.000000
112948.000000, 8.000000, 428.000000, 0, 0, 0, 0, 66050, 32550, 0, 0, 0, 2302, 0, 21.321619, 14.442435, 6745086.000000
87316.000000, 9.000000, 543.000000, 0, 0, 0, 0, 66050, 31777, 0, 0, 0, 3401, 0, 18.811745, 15.494273, 6832396.000000
215683.000000, 8.000000, 1740.000000, 0, 0, 0, 0, 66050, 55843, 0, 0, 0, 9212, 0, 27.428921, 23.890129, 7048074.000000
424456.000000, 10.000000, 580.000000, 0, 0, 0, 0, 66050, 65468, 0, 0, 0, 2619, 0, 73.170593, 42.481499, 7472526.000000
273573.000000, 9.000000, 479.000000, 0, 0, 0, 0, 66050, 65178, 0, 0, 0, 2858, 0, 46.795788, 32.695908, 7746095.000000
92382.000000, 8.000000, 778.000000, 0, 0, 0, 0, 66050, 32739, 0, 0, 0, 5256, 0, 12.823499, 12.823499, 7838473.000000
278800.000000, 8.000000, 1598.000000, 0, 0, 0, 0, 66050, 64613, 0, 0, 0, 8867, 0, 43.853943, 32.532623, 8117269.000000
103919.000000, 11.000000, 2305.000000, 0, 0, 0, 0, 66050, 32090, 0, 0, 0, 12720, 0, 41.694759, 16.004932, 8221183.000000
71033.000000, 8.000000, 617.000000, 0, 0, 0, 0, 66050, 23702, 0, 0, 0, 3367, 0, 20.338676, 11.604307, 8292212.000000
21062.000000, 7.000000, 65.000000, 0, 0, 0, 0, 66050, 7948, 0, 0, 0, 327, 0, 7.754707, 4.416142, 8313271.000000
