querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1288263.000000, 13.000000, 811.000000, 0, 0, 0, 0, 73036, 68887, 0, 0, 0, 1157, 0, 264.244568, 217.268478, 1288255.000000
772184.000000, 13.000000, 1009.000000, 0, 0, 0, 0, 73036, 68817, 0, 0, 0, 2987, 0, 204.037994, 147.639908, 2060430.000000
282588.000000, 12.000000, 654.000000, 0, 0, 0, 0, 73036, 48655, 0, 0, 0, 1947, 0, 205.446152, 124.486542, 2343010.000000
868953.000000, 11.000000, 136.000000, 0, 0, 0, 0, 73036, 68818, 0, 0, 0, 336, 0, 240.727402, 184.155075, 3211956.000000
103311.000000, 12.000000, 121.000000, 0, 0, 0, 0, 73036, 47121, 0, 0, 0, 268, 0, 173.456970, 120.844963, 3315259.000000
292827.000000, 15.000000, 526.000000, 0, 0, 0, 0, 73036, 53552, 0, 0, 0, 1520, 0, 173.841721, 127.045837, 3608077.000000
875029.000000, 13.000000, 232.000000, 0, 0, 0, 0, 73036, 68831, 0, 0, 0, 572, 0, 255.531372, 167.251022, 4483097.000000
555186.000000, 12.000000, 557.000000, 0, 0, 0, 0, 73036, 68395, 0, 0, 0, 1519, 0, 182.666489, 154.674927, 5038275.000000
847268.000000, 12.000000, 931.000000, 0, 0, 0, 0, 73036, 68820, 0, 0, 0, 2923, 0, 205.208359, 162.522430, 5885535.000000
8955.000000, 12.000000, 348.000000, 0, 0, 0, 0, 73036, 2088, 0, 0, 0, 1053, 0, 63.845936, 41.256969, 5894482.000000
973058.000000, 10.000000, 2301.000000, 0, 0, 0, 0, 73036, 68631, 0, 0, 0, 5856, 0, 209.468201, 165.862061, 6867533.000000
1021575.000000, 12.000000, 209.000000, 0, 0, 0, 0, 73036, 68896, 0, 0, 0, 472, 0, 253.012253, 184.297760, 7889100.000000
881287.000000, 12.000000, 576.000000, 0, 0, 0, 0, 73036, 68842, 0, 0, 0, 1613, 0, 214.531769, 157.931183, 8770379.000000
611366.000000, 12.000000, 78.000000, 0, 0, 0, 0, 73036, 68666, 0, 0, 0, 126, 0, 253.466644, 130.274887, 9381737.000000
227909.000000, 11.000000, 241.000000, 0, 0, 0, 0, 73036, 65795, 0, 0, 0, 601, 0, 160.303360, 127.069687, 9609638.000000
831090.000000, 13.000000, 180.000000, 0, 0, 0, 0, 73036, 68692, 0, 0, 0, 333, 0, 217.011185, 179.548889, 10440719.000000
906253.000000, 13.000000, 3494.000000, 0, 0, 0, 0, 73036, 68879, 0, 0, 0, 11656, 0, 208.335587, 170.973923, 11346963.000000
1420014.000000, 10.000000, 482.000000, 0, 0, 0, 0, 73036, 68899, 0, 0, 0, 1209, 0, 294.565643, 248.867737, 12766970.000000
647351.000000, 22.000000, 549.000000, 0, 0, 0, 0, 73036, 68781, 0, 0, 0, 1597, 0, 267.918915, 143.385254, 13414303.000000
1176788.000000, 11.000000, 1265.000000, 0, 0, 0, 0, 73036, 68821, 0, 0, 0, 3588, 0, 248.597473, 205.413010, 14591083.000000
875328.000000, 11.000000, 592.000000, 0, 0, 0, 0, 73036, 68805, 0, 0, 0, 1737, 0, 238.959183, 182.777634, 15466404.000000
992129.000000, 12.000000, 664.000000, 0, 0, 0, 0, 73036, 68917, 0, 0, 0, 1829, 0, 237.501511, 190.047424, 16458525.000000
963965.000000, 17.000000, 2340.000000, 0, 0, 0, 0, 73036, 68804, 0, 0, 0, 6420, 0, 193.798019, 175.201584, 17422479.000000
465851.000000, 11.000000, 4904.000000, 0, 0, 0, 0, 73036, 68341, 0, 0, 0, 19037, 0, 159.557587, 141.163971, 17888323.000000
843073.000000, 12.000000, 158.000000, 0, 0, 0, 0, 73036, 68777, 0, 0, 0, 327, 0, 244.960175, 171.076935, 18731387.000000
