querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
676968.000000, 12.000000, 531.000000, 0, 0, 0, 0, 65548, 65275, 0, 0, 0, 768, 0, 340.865662, 197.435623, 676959.000000
35769.000000, 11.000000, 192.000000, 0, 0, 0, 0, 65548, 29370, 0, 0, 0, 518, 0, 131.901672, 104.374077, 712720.000000
460997.000000, 11.000000, 168.000000, 0, 0, 0, 0, 65548, 65193, 0, 0, 0, 450, 0, 232.109253, 180.244370, 1173710.000000
576021.000000, 11.000000, 266.000000, 0, 0, 0, 0, 65548, 65225, 0, 0, 0, 449, 0, 313.413025, 197.705109, 1749724.000000
95401.000000, 19.000000, 400.000000, 0, 0, 0, 0, 65548, 58746, 0, 0, 0, 1262, 0, 170.043549, 143.106445, 1845117.000000
643646.000000, 12.000000, 274.000000, 0, 0, 0, 0, 65548, 65294, 0, 0, 0, 493, 0, 382.286163, 252.393982, 2488755.000000
425805.000000, 14.000000, 282.000000, 0, 0, 0, 0, 65548, 65188, 0, 0, 0, 519, 0, 277.516724, 161.773712, 2914551.000000
764019.000000, 12.000000, 225.000000, 0, 0, 0, 0, 65548, 65295, 0, 0, 0, 403, 0, 325.828918, 255.999405, 3678562.000000
655962.000000, 12.000000, 183.000000, 0, 0, 0, 0, 65548, 65286, 0, 0, 0, 439, 0, 325.467194, 226.760895, 4334516.000000
528953.000000, 18.000000, 347.000000, 0, 0, 0, 0, 65548, 65237, 0, 0, 0, 432, 0, 329.599762, 149.130676, 4863458.000000
614857.000000, 12.000000, 304.000000, 0, 0, 0, 0, 65548, 65318, 0, 0, 0, 520, 0, 352.807953, 177.441116, 5478307.000000
200168.000000, 12.000000, 201.000000, 0, 0, 0, 0, 65548, 64867, 0, 0, 0, 1288, 0, 64.056061, 25.845432, 5678467.000000
756762.000000, 17.000000, 301.000000, 0, 0, 0, 0, 65548, 65286, 0, 0, 0, 471, 0, 401.604584, 255.999283, 6435218.000000
689646.000000, 11.000000, 254.000000, 0, 0, 0, 0, 65548, 65316, 0, 0, 0, 642, 0, 246.658966, 226.074783, 7124856.000000
399854.000000, 13.000000, 184.000000, 0, 0, 0, 0, 65548, 65193, 0, 0, 0, 496, 0, 184.934845, 169.612091, 7524703.000000
549274.000000, 12.000000, 253.000000, 0, 0, 0, 0, 65548, 65252, 0, 0, 0, 551, 0, 265.216675, 196.722839, 8073969.000000
643284.000000, 11.000000, 215.000000, 0, 0, 0, 0, 65548, 65273, 0, 0, 0, 540, 0, 310.990509, 250.125244, 8717246.000000
385785.000000, 12.000000, 214.000000, 0, 0, 0, 0, 65548, 65159, 0, 0, 0, 588, 0, 220.849106, 180.750031, 9103022.000000
733534.000000, 17.000000, 337.000000, 0, 0, 0, 0, 65548, 65318, 0, 0, 0, 494, 0, 326.959991, 255.998093, 9836546.000000
650826.000000, 10.000000, 228.000000, 0, 0, 0, 0, 65548, 65296, 0, 0, 0, 538, 0, 293.242798, 226.219086, 10487365.000000
597580.000000, 13.000000, 416.000000, 0, 0, 0, 0, 65548, 65299, 0, 0, 0, 1137, 0, 327.203918, 191.079590, 11084937.000000
609572.000000, 13.000000, 290.000000, 0, 0, 0, 0, 65548, 65279, 0, 0, 0, 496, 0, 258.698578, 183.750427, 11694500.000000
656613.000000, 11.000000, 286.000000, 0, 0, 0, 0, 65548, 65305, 0, 0, 0, 473, 0, 367.176880, 191.238388, 12351106.000000
