querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
5604.000000, 11.000000, 165.000000, 0, 0, 0, 0, 65896, 2, 0, 0, 0, 1535, 0, 0.000000, 0.000000, 5596.000000
7859.000000, 11.000000, 1303.000000, 0, 0, 0, 0, 65896, 3, 0, 0, 0, 19866, 0, 0.011769, 0.011769, 13447.000000
8372.000000, 14.000000, 692.000000, 0, 0, 0, 0, 65896, 5, 0, 0, 0, 19866, 0, 0.047113, 0.047113, 21809.000000
9546.000000, 24.000000, 781.000000, 0, 0, 0, 0, 65896, 9, 0, 0, 0, 19866, 0, 0.106084, 0.106084, 31337.000000
8042.000000, 16.000000, 552.000000, 0, 0, 0, 0, 65896, 13, 0, 0, 0, 19866, 0, 0.188722, 0.188722, 39367.000000
7276.000000, 13.000000, 522.000000, 0, 0, 0, 0, 65896, 22, 0, 0, 0, 19866, 0, 0.295057, 0.295057, 46633.000000
6724.000000, 8.000000, 446.000000, 0, 0, 0, 0, 65896, 37, 0, 0, 0, 19866, 0, 0.425111, 0.425111, 53351.000000
6142.000000, 8.000000, 475.000000, 0, 0, 0, 0, 65896, 56, 0, 0, 0, 19866, 0, 0.578896, 0.578896, 59487.000000
6774.000000, 9.000000, 514.000000, 0, 0, 0, 0, 65896, 96, 0, 0, 0, 19866, 0, 0.756411, 0.756411, 66254.000000
6619.000000, 12.000000, 643.000000, 0, 0, 0, 0, 65896, 176, 0, 0, 0, 19866, 0, 0.957650, 0.957650, 72864.000000
6929.000000, 7.000000, 619.000000, 0, 0, 0, 0, 65896, 311, 0, 0, 0, 19866, 0, 1.182593, 1.182593, 79787.000000
7923.000000, 8.000000, 735.000000, 0, 0, 0, 0, 65896, 503, 0, 0, 0, 19866, 0, 1.431213, 1.431213, 87704.000000
8998.000000, 11.000000, 908.000000, 0, 0, 0, 0, 65896, 814, 0, 0, 0, 19866, 0, 1.703470, 1.703470, 96694.000000
10437.000000, 8.000000, 879.000000, 0, 0, 0, 0, 65896, 1285, 0, 0, 0, 19866, 0, 1.999317, 1.999317, 107125.000000
13379.000000, 9.000000, 982.000000, 0, 0, 0, 0, 65896, 1947, 0, 0, 0, 19866, 0, 2.318696, 2.318696, 120497.000000
16539.000000, 8.000000, 975.000000, 0, 0, 0, 0, 65896, 2853, 0, 0, 0, 19866, 0, 2.661540, 2.661540, 137030.000000
