querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1700608.000000, 11.000000, 83.000000, 0, 0, 0, 0, 3315336, 1564431, 0, 0, 0, 21, 0, 60.981190, 45.758892, 1700602.000000
1096126.000000, 16.000000, 36.000000, 0, 0, 0, 0, 3315336, 1544397, 0, 0, 0, 44, 0, 47.404316, 31.651720, 2796720.000000
964899.000000, 16.000000, 64.000000, 0, 0, 0, 0, 3315336, 1463292, 0, 0, 0, 92, 0, 52.958485, 27.509565, 3761610.000000
1095708.000000, 16.000000, 54.000000, 0, 0, 0, 0, 3315336, 1540152, 0, 0, 0, 90, 0, 38.523804, 23.646791, 4857309.000000
42651.000000, 15.000000, 24.000000, 0, 0, 0, 0, 3315336, 23321, 0, 0, 0, 77, 0, 2.985936, 1.062729, 4899952.000000
1331184.000000, 9.000000, 32.000000, 0, 0, 0, 0, 3315336, 1573865, 0, 0, 0, 75, 0, 73.715797, 38.349384, 6231132.000000
1023489.000000, 16.000000, 36.000000, 0, 0, 0, 0, 3315336, 1526081, 0, 0, 0, 88, 0, 52.968700, 26.243298, 7254613.000000
266028.000000, 15.000000, 61.000000, 0, 0, 0, 0, 3315336, 469535, 0, 0, 0, 96, 0, 13.507775, 9.777862, 7520632.000000
170323.000000, 8.000000, 25.000000, 0, 0, 0, 0, 3315336, 288728, 0, 0, 0, 63, 0, 7.613738, 5.602266, 7690952.000000
881251.000000, 8.000000, 23.000000, 0, 0, 0, 0, 3315336, 1463666, 0, 0, 0, 59, 0, 35.319931, 24.724426, 8572199.000000
732200.000000, 17.000000, 45.000000, 0, 0, 0, 0, 3315336, 1335093, 0, 0, 0, 95, 0, 39.292183, 17.586506, 9304390.000000
1250075.000000, 15.000000, 53.000000, 0, 0, 0, 0, 3315336, 1567954, 0, 0, 0, 92, 0, 47.366035, 29.762901, 10554457.000000
869459.000000, 16.000000, 35.000000, 0, 0, 0, 0, 3315336, 1444101, 0, 0, 0, 86, 0, 46.966927, 19.024351, 11423906.000000
1162766.000000, 16.000000, 20.000000, 0, 0, 0, 0, 3315336, 1552105, 0, 0, 0, 14, 0, 96.292336, 38.455406, 12586664.000000
1249788.000000, 16.000000, 58.000000, 0, 0, 0, 0, 3315336, 1570303, 0, 0, 0, 76, 0, 69.314461, 40.038719, 13836444.000000
1251820.000000, 8.000000, 22.000000, 0, 0, 0, 0, 3315336, 1566017, 0, 0, 0, 69, 0, 59.851971, 41.392410, 15088260.000000
1358730.000000, 16.000000, 41.000000, 0, 0, 0, 0, 3315336, 1568978, 0, 0, 0, 62, 0, 110.628693, 42.017906, 16446982.000000
1025345.000000, 15.000000, 47.000000, 0, 0, 0, 0, 3315336, 1537188, 0, 0, 0, 92, 0, 50.793839, 35.950954, 17472319.000000
707770.000000, 9.000000, 29.000000, 0, 0, 0, 0, 3315336, 1288031, 0, 0, 0, 77, 0, 31.621548, 12.127181, 18180084.000000
1316967.000000, 8.000000, 39.000000, 0, 0, 0, 0, 3315336, 1580315, 0, 0, 0, 89, 0, 78.648712, 42.290161, 19497047.000000
1291789.000000, 16.000000, 39.000000, 0, 0, 0, 0, 3315336, 1570862, 0, 0, 0, 63, 0, 79.218376, 41.540337, 20788827.000000
1039997.000000, 8.000000, 26.000000, 0, 0, 0, 0, 3315336, 1521126, 0, 0, 0, 93, 0, 40.702850, 26.595650, 21828819.000000
618362.000000, 15.000000, 649.000000, 0, 0, 0, 0, 3315336, 1146222, 0, 0, 0, 66, 0, 72.319710, 22.826756, 22447173.000000
346071.000000, 16.000000, 56.000000, 0, 0, 0, 0, 3315336, 396045, 0, 0, 0, 74, 0, 50.845821, 6.481960, 22793235.000000
910911.000000, 8.000000, 39.000000, 0, 0, 0, 0, 3315336, 1500188, 0, 0, 0, 85, 0, 64.661369, 28.055147, 23704142.000000
1194780.000000, 15.000000, 38.000000, 0, 0, 0, 0, 3315336, 1562264, 0, 0, 0, 65, 0, 114.272102, 36.819664, 24898914.000000
1293374.000000, 9.000000, 35.000000, 0, 0, 0, 0, 3315336, 1571528, 0, 0, 0, 68, 0, 63.230518, 35.896297, 26192282.000000
905386.000000, 15.000000, 44.000000, 0, 0, 0, 0, 3315336, 1426422, 0, 0, 0, 81, 0, 36.919167, 28.109751, 27097660.000000
1339777.000000, 7.000000, 46.000000, 0, 0, 0, 0, 3315336, 1573649, 0, 0, 0, 96, 0, 106.360901, 31.866488, 28437434.000000
1345198.000000, 15.000000, 40.000000, 0, 0, 0, 0, 3315336, 1577222, 0, 0, 0, 86, 0, 71.247398, 46.889095, 29782624.000000
1451744.000000, 16.000000, 41.000000, 0, 0, 0, 0, 3315336, 1589742, 0, 0, 0, 77, 0, 81.072563, 55.955456, 31234359.000000
616628.000000, 9.000000, 28.000000, 0, 0, 0, 0, 3315336, 1086317, 0, 0, 0, 76, 0, 49.275345, 25.360928, 31850981.000000
789983.000000, 10.000000, 26.000000, 0, 0, 0, 0, 3315336, 1374984, 0, 0, 0, 63, 0, 39.822964, 17.977362, 32640959.000000
1019541.000000, 15.000000, 44.000000, 0, 0, 0, 0, 3315336, 1490415, 0, 0, 0, 52, 0, 50.835255, 34.034847, 33660492.000000
644025.000000, 15.000000, 33.000000, 0, 0, 0, 0, 3315336, 1197168, 0, 0, 0, 74, 0, 29.244778, 23.007076, 34304508.000000
1175772.000000, 9.000000, 41.000000, 0, 0, 0, 0, 3315336, 1564506, 0, 0, 0, 94, 0, 66.994316, 31.295284, 35480276.000000
934032.000000, 16.000000, 38.000000, 0, 0, 0, 0, 3315336, 1513582, 0, 0, 0, 72, 0, 47.438938, 28.594112, 36414299.000000
1268516.000000, 16.000000, 34.000000, 0, 0, 0, 0, 3315336, 1563067, 0, 0, 0, 64, 0, 89.736038, 31.030716, 37682806.000000
