querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
81268.000000, 18.000000, 8.000000, 0, 0, 0, 0, 65392, 62282, 0, 0, 0, 8, 0, 413.606750, 243.993118, 81255.000000
51684.000000, 12.000000, 29.000000, 0, 0, 0, 0, 65392, 61882, 0, 0, 0, 82, 0, 313.029602, 150.606842, 132931.000000
66761.000000, 11.000000, 323.000000, 0, 0, 0, 0, 65392, 62928, 0, 0, 0, 1261, 0, 294.524597, 218.079254, 199683.000000
67768.000000, 11.000000, 147.000000, 0, 0, 0, 0, 65392, 62966, 0, 0, 0, 537, 0, 267.626740, 214.058014, 267444.000000
66431.000000, 11.000000, 21.000000, 0, 0, 0, 0, 65392, 63030, 0, 0, 0, 57, 0, 312.452637, 239.503143, 333867.000000
69207.000000, 11.000000, 31.000000, 0, 0, 0, 0, 65392, 62984, 0, 0, 0, 79, 0, 305.346222, 196.681702, 403065.000000
62894.000000, 12.000000, 48.000000, 0, 0, 0, 0, 65392, 62660, 0, 0, 0, 139, 0, 318.583618, 228.887695, 465951.000000
67188.000000, 11.000000, 10.000000, 0, 0, 0, 0, 65392, 62950, 0, 0, 0, 22, 0, 338.085510, 234.888641, 533131.000000
62341.000000, 12.000000, 61.000000, 0, 0, 0, 0, 65392, 62626, 0, 0, 0, 195, 0, 236.828583, 160.424606, 595464.000000
67094.000000, 11.000000, 13.000000, 0, 0, 0, 0, 65392, 62932, 0, 0, 0, 30, 0, 402.211273, 231.059952, 662551.000000
69432.000000, 11.000000, 131.000000, 0, 0, 0, 0, 65392, 62925, 0, 0, 0, 473, 0, 264.865631, 178.847961, 731976.000000
50260.000000, 11.000000, 5.000000, 0, 0, 0, 0, 65392, 61933, 0, 0, 0, 12, 0, 216.986206, 113.034195, 782228.000000
