querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
241383.000000, 15.000000, 2781.000000, 0, 0, 0, 0, 67949, 65430, 0, 0, 0, 6005, 0, 91.364395, 78.210190, 241372.000000
362372.000000, 12.000000, 91.000000, 0, 0, 0, 0, 67949, 65917, 0, 0, 0, 258, 0, 262.133911, 206.411499, 603736.000000
263150.000000, 23.000000, 332.000000, 0, 0, 0, 0, 67949, 65799, 0, 0, 0, 1218, 0, 217.923706, 171.566620, 866877.000000
369863.000000, 12.000000, 51.000000, 0, 0, 0, 0, 67949, 65954, 0, 0, 0, 126, 0, 319.492523, 256.000031, 1236732.000000
246939.000000, 11.000000, 51.000000, 0, 0, 0, 0, 67949, 65726, 0, 0, 0, 126, 0, 318.073547, 155.947861, 1483663.000000
242435.000000, 14.000000, 670.000000, 0, 0, 0, 0, 67949, 65705, 0, 0, 0, 2599, 0, 170.891342, 121.478043, 1726089.000000
232633.000000, 11.000000, 73.000000, 0, 0, 0, 0, 67949, 65660, 0, 0, 0, 217, 0, 281.178284, 182.873856, 1958713.000000
83787.000000, 9.000000, 2139.000000, 0, 0, 0, 0, 67949, 63616, 0, 0, 0, 11389, 0, 11.561897, 9.063293, 2042493.000000
322460.000000, 8.000000, 62.000000, 0, 0, 0, 0, 67949, 65897, 0, 0, 0, 198, 0, 219.588623, 219.588623, 2364948.000000
240423.000000, 9.000000, 275.000000, 0, 0, 0, 0, 67949, 65666, 0, 0, 0, 1180, 0, 240.719406, 185.919189, 2605365.000000
236131.000000, 9.000000, 146.000000, 0, 0, 0, 0, 67949, 65756, 0, 0, 0, 571, 0, 248.657028, 128.844208, 2841490.000000
316950.000000, 9.000000, 49.000000, 0, 0, 0, 0, 67949, 65850, 0, 0, 0, 137, 0, 315.185394, 237.750717, 3158434.000000
229316.000000, 9.000000, 81.000000, 0, 0, 0, 0, 67949, 65507, 0, 0, 0, 290, 0, 229.248779, 141.374176, 3387744.000000
272058.000000, 9.000000, 415.000000, 0, 0, 0, 0, 67949, 65815, 0, 0, 0, 1829, 0, 313.910950, 219.835876, 3659796.000000
265406.000000, 8.000000, 59.000000, 0, 0, 0, 0, 67949, 65805, 0, 0, 0, 160, 0, 308.624023, 205.275497, 3925196.000000
166391.000000, 9.000000, 4037.000000, 0, 0, 0, 0, 67949, 65075, 0, 0, 0, 18738, 0, 48.910683, 43.800823, 4091581.000000
208109.000000, 11.000000, 554.000000, 0, 0, 0, 0, 67949, 65622, 0, 0, 0, 2362, 0, 251.241058, 149.911179, 4299683.000000
257679.000000, 9.000000, 3191.000000, 0, 0, 0, 0, 67949, 65777, 0, 0, 0, 14181, 0, 195.303787, 138.869049, 4557356.000000
217259.000000, 9.000000, 91.000000, 0, 0, 0, 0, 67949, 65632, 0, 0, 0, 329, 0, 149.106598, 144.602417, 4774609.000000
227973.000000, 10.000000, 178.000000, 0, 0, 0, 0, 67949, 65760, 0, 0, 0, 710, 0, 298.249207, 162.322830, 5002575.000000
