querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1877227.000000, 7.000000, 113.000000, 0, 0, 0, 0, 3985655, 1748352, 0, 0, 0, 50, 0, 171.307281, 135.980804, 1877222.000000
946804.000000, 17.000000, 626.000000, 0, 0, 0, 0, 3985655, 1285596, 0, 0, 0, 68, 0, 91.208046, 35.997322, 2824016.000000
1789398.000000, 7.000000, 35.000000, 0, 0, 0, 0, 3985655, 1744013, 0, 0, 0, 94, 0, 182.802582, 121.714340, 4613410.000000
857252.000000, 18.000000, 33.000000, 0, 0, 0, 0, 3985655, 1211432, 0, 0, 0, 45, 0, 89.455246, 33.050213, 5470650.000000
1840029.000000, 8.000000, 34.000000, 0, 0, 0, 0, 3985655, 1747448, 0, 0, 0, 78, 0, 189.619873, 133.919449, 7310676.000000
998981.000000, 8.000000, 20.000000, 0, 0, 0, 0, 3985655, 1311308, 0, 0, 0, 40, 0, 117.921463, 37.562798, 8309654.000000
1792486.000000, 18.000000, 22.000000, 0, 0, 0, 0, 3985655, 1742798, 0, 0, 0, 31, 0, 198.239838, 141.361832, 10102130.000000
1005067.000000, 18.000000, 35.000000, 0, 0, 0, 0, 3985655, 1278880, 0, 0, 0, 43, 0, 118.642860, 37.818684, 11107186.000000
1829749.000000, 18.000000, 43.000000, 0, 0, 0, 0, 3985655, 1744670, 0, 0, 0, 77, 0, 166.383743, 142.787064, 12936924.000000
1040947.000000, 18.000000, 65.000000, 0, 0, 0, 0, 3985655, 1403171, 0, 0, 0, 92, 0, 79.885124, 38.735657, 13977861.000000
1854746.000000, 18.000000, 47.000000, 0, 0, 0, 0, 3985655, 1744703, 0, 0, 0, 73, 0, 199.173203, 147.225861, 15832596.000000
949472.000000, 7.000000, 25.000000, 0, 0, 0, 0, 3985655, 1234298, 0, 0, 0, 50, 0, 100.573631, 33.858292, 16782064.000000
2030902.000000, 11.000000, 65.000000, 0, 0, 0, 0, 3985655, 1735881, 0, 0, 0, 72, 0, 185.497162, 146.604691, 18812960.000000
992855.000000, 17.000000, 50.000000, 0, 0, 0, 0, 3985655, 1254765, 0, 0, 0, 21, 0, 83.044991, 36.259361, 19805805.000000
2065123.000000, 18.000000, 31.000000, 0, 0, 0, 0, 3985655, 1736536, 0, 0, 0, 30, 0, 192.852844, 141.119568, 21870918.000000
1104679.000000, 19.000000, 37.000000, 0, 0, 0, 0, 3985655, 1294966, 0, 0, 0, 45, 0, 77.798874, 39.176807, 22975586.000000
2188300.000000, 8.000000, 29.000000, 0, 0, 0, 0, 3985655, 1737415, 0, 0, 0, 51, 0, 207.532166, 153.828033, 25163882.000000
1013395.000000, 18.000000, 23.000000, 0, 0, 0, 0, 3985655, 1234355, 0, 0, 0, 16, 0, 74.708923, 33.522598, 26177267.000000
2340752.000000, 19.000000, 60.000000, 0, 0, 0, 0, 3985655, 1731335, 0, 0, 0, 100, 0, 188.005219, 148.015671, 28518008.000000
1024517.000000, 9.000000, 32.000000, 0, 0, 0, 0, 3985655, 1221728, 0, 0, 0, 54, 0, 87.183479, 35.467789, 29542521.000000
1998323.000000, 10.000000, 35.000000, 0, 0, 0, 0, 3985655, 1740871, 0, 0, 0, 65, 0, 199.864334, 144.147156, 31540837.000000
874143.000000, 17.000000, 18.000000, 0, 0, 0, 0, 3985655, 1081209, 0, 0, 0, 7, 0, 88.907776, 26.935043, 32414969.000000
2213581.000000, 18.000000, 57.000000, 0, 0, 0, 0, 3985655, 1736044, 0, 0, 0, 73, 0, 194.700470, 145.101196, 34628539.000000
1016805.000000, 18.000000, 93.000000, 0, 0, 0, 0, 3985655, 1262731, 0, 0, 0, 62, 0, 55.611748, 37.071327, 35645332.000000
2263314.000000, 17.000000, 62.000000, 0, 0, 0, 0, 3985655, 1735213, 0, 0, 0, 95, 0, 179.222656, 148.147324, 37908636.000000
1026106.000000, 17.000000, 65.000000, 0, 0, 0, 0, 3985655, 1222475, 0, 0, 0, 45, 0, 93.733681, 33.610691, 38934731.000000
2203794.000000, 19.000000, 62.000000, 0, 0, 0, 0, 3985655, 1738144, 0, 0, 0, 98, 0, 183.932022, 143.996567, 41138514.000000
916482.000000, 8.000000, 45.000000, 0, 0, 0, 0, 3985655, 1174006, 0, 0, 0, 70, 0, 61.076782, 30.574602, 42054992.000000
2069519.000000, 9.000000, 39.000000, 0, 0, 0, 0, 3985655, 1740064, 0, 0, 0, 94, 0, 187.343307, 143.262451, 44124507.000000
920156.000000, 13.000000, 53.000000, 0, 0, 0, 0, 3985655, 1170334, 0, 0, 0, 88, 0, 76.246613, 30.535423, 45044656.000000
2008747.000000, 18.000000, 46.000000, 0, 0, 0, 0, 3985655, 1740028, 0, 0, 0, 73, 0, 185.846741, 148.748550, 47053393.000000
983898.000000, 11.000000, 38.000000, 0, 0, 0, 0, 3985655, 1202593, 0, 0, 0, 66, 0, 99.561363, 33.535660, 48037285.000000
2063478.000000, 17.000000, 66.000000, 0, 0, 0, 0, 3985655, 1736135, 0, 0, 0, 90, 0, 210.770859, 150.166672, 50100753.000000
998294.000000, 18.000000, 74.000000, 0, 0, 0, 0, 3985655, 1247395, 0, 0, 0, 85, 0, 81.999695, 36.541492, 51099037.000000
2196139.000000, 18.000000, 9.000000, 0, 0, 0, 0, 3985655, 1735330, 0, 0, 0, 4, 0, 228.126175, 135.990601, 53295165.000000
934454.000000, 17.000000, 29.000000, 0, 0, 0, 0, 3985655, 1137704, 0, 0, 0, 28, 0, 116.701653, 31.092829, 54229608.000000
2182119.000000, 9.000000, 21.000000, 0, 0, 0, 0, 3985655, 1731295, 0, 0, 0, 34, 0, 194.107956, 145.601181, 56411722.000000
1034734.000000, 19.000000, 52.000000, 0, 0, 0, 0, 3985655, 1233544, 0, 0, 0, 69, 0, 81.959961, 32.787247, 57446445.000000
2224847.000000, 14.000000, 61.000000, 0, 0, 0, 0, 3985655, 1732522, 0, 0, 0, 86, 0, 188.310394, 141.528687, 59671284.000000
1010966.000000, 13.000000, 52.000000, 0, 0, 0, 0, 3985655, 1236652, 0, 0, 0, 87, 0, 83.815872, 36.500233, 60682242.000000
2066921.000000, 14.000000, 43.000000, 0, 0, 0, 0, 3985655, 1741333, 0, 0, 0, 68, 0, 187.441238, 143.299927, 62749155.000000
1058692.000000, 18.000000, 28.000000, 0, 0, 0, 0, 3985655, 1159445, 0, 0, 0, 32, 0, 81.090904, 34.305611, 63807836.000000
2264781.000000, 18.000000, 44.000000, 0, 0, 0, 0, 3985655, 1733513, 0, 0, 0, 41, 0, 189.819763, 143.378586, 66072606.000000
983322.000000, 18.000000, 56.000000, 0, 0, 0, 0, 3985655, 1203859, 0, 0, 0, 76, 0, 95.522888, 32.568268, 67055916.000000
2180278.000000, 18.000000, 54.000000, 0, 0, 0, 0, 3985655, 1739449, 0, 0, 0, 86, 0, 196.903152, 143.950912, 69236184.000000
1083976.000000, 18.000000, 37.000000, 0, 0, 0, 0, 3985655, 1288759, 0, 0, 0, 45, 0, 124.559364, 38.204144, 70320149.000000
2134261.000000, 18.000000, 34.000000, 0, 0, 0, 0, 3985655, 1732697, 0, 0, 0, 49, 0, 193.857605, 137.744781, 72454399.000000
1093439.000000, 10.000000, 48.000000, 0, 0, 0, 0, 3985655, 1270259, 0, 0, 0, 98, 0, 90.336746, 37.634186, 73547833.000000
2121966.000000, 18.000000, 44.000000, 0, 0, 0, 0, 3985655, 1740878, 0, 0, 0, 49, 0, 172.731339, 145.736649, 75669789.000000
855941.000000, 15.000000, 46.000000, 0, 0, 0, 0, 3985655, 1082724, 0, 0, 0, 88, 0, 68.975677, 26.075552, 76525721.000000
2027286.000000, 18.000000, 29.000000, 0, 0, 0, 0, 3985655, 1739417, 0, 0, 0, 42, 0, 200.070267, 137.243423, 78552995.000000
1101052.000000, 18.000000, 47.000000, 0, 0, 0, 0, 3985655, 1240962, 0, 0, 0, 61, 0, 65.137108, 32.985802, 79654037.000000
2203223.000000, 9.000000, 41.000000, 0, 0, 0, 0, 3985655, 1736694, 0, 0, 0, 73, 0, 194.983276, 136.598022, 81857255.000000
909918.000000, 18.000000, 59.000000, 0, 0, 0, 0, 3985655, 1249782, 0, 0, 0, 98, 0, 69.871147, 35.370789, 82767163.000000
1852682.000000, 18.000000, 38.000000, 0, 0, 0, 0, 3985655, 1746120, 0, 0, 0, 54, 0, 205.348587, 140.803589, 84619835.000000
894200.000000, 17.000000, 60.000000, 0, 0, 0, 0, 3985655, 1220768, 0, 0, 0, 84, 0, 110.936401, 33.801830, 85514025.000000
1858997.000000, 19.000000, 185.000000, 0, 0, 0, 0, 3985655, 1745110, 0, 0, 0, 71, 0, 185.321838, 136.411774, 87373011.000000
840401.000000, 13.000000, 41.000000, 0, 0, 0, 0, 3985655, 1204833, 0, 0, 0, 96, 0, 56.306683, 31.333813, 88213405.000000
