id, querying time, distance, total
1, 1902999.000000, 0.000000, 1902999.000000 
2, 1952496.000000, 0.011769, 3855495.000000 
3, 2007568.000000, 0.047113, 5863063.000000 
4, 1932327.000000, 0.106084, 7795390.000000 
5, 1987974.000000, 0.188722, 9783364.000000 
6, 2013691.000000, 0.295057, 11797055.000000 
7, 1954722.000000, 0.425111, 13751777.000000 
8, 1916133.000000, 0.578896, 15667910.000000 
9, 2040711.000000, 0.756411, 17708621.000000 
10, 1950958.000000, 0.957650, 19659579.000000 
11, 1901419.000000, 1.182593, 21560998.000000 
12, 2010912.000000, 1.431213, 23571910.000000 
13, 1916250.000000, 1.703470, 25488161.000000 
14, 1911200.000000, 1.999317, 27399361.000000 
15, 2014168.000000, 2.318696, 29413529.000000 
16, 1976801.000000, 2.661540, 31390330.000000 
17, 1915456.000000, 3.027771, 33305787.000000 
18, 2060721.000000, 3.417302, 35366508.000000 
19, 1960846.000000, 3.830037, 37327354.000000 
20, 2009898.000000, 4.265870, 39337254.000000 
21, 2017171.000000, 4.724687, 41354425.000000 
22, 1964806.000000, 5.206360, 43319232.000000 
23, 1965163.000000, 5.710759, 45284395.000000 
24, 2019878.000000, 6.237741, 47304273.000000 
25, 1984867.000000, 6.787153, 49289140.000000 
26, 1986630.000000, 7.358836, 51275771.000000 
27, 1987205.000000, 7.952621, 53262976.000000 
28, 1963898.000000, 8.568335, 55226874.000000 
29, 1974029.000000, 9.205786, 57200903.000000 
30, 2029293.000000, 9.864790, 59230196.000000 
31, 1933373.000000, 10.545137, 61163569.000000 
32, 1952175.000000, 11.246633, 63115744.000000 
33, 2026417.000000, 11.969043, 65142161.000000 
34, 1984856.000000, 12.712160, 67127018.000000 
35, 1984003.000000, 13.475749, 69111021.000000 
36, 2028672.000000, 14.259572, 71139694.000000 
37, 1987058.000000, 15.063391, 73126753.000000 
38, 1989340.000000, 15.886956, 75116093.000000 
39, 2035667.000000, 16.730011, 77151761.000000 
40, 1983168.000000, 17.592297, 79134929.000000 
41, 1993532.000000, 18.473545, 81128461.000000 
42, 2088128.000000, 19.373489, 83216590.000000 
43, 1998259.000000, 20.291847, 85214850.000000 
44, 2066384.000000, 21.228342, 87281234.000000 
45, 2039751.000000, 22.182688, 89320986.000000 
46, 2008444.000000, 23.154602, 91329430.000000 
47, 2017448.000000, 24.143776, 93346878.000000 
48, 2062063.000000, 25.149925, 95408941.000000 
49, 1953053.000000, 26.172745, 97361994.000000 
50, 2016835.000000, 27.211931, 99378829.000000 
51, 2123912.000000, 28.267179, 101502741.000000 
52, 2017050.000000, 29.338179, 103519791.000000 
53, 2087651.000000, 30.424620, 105607442.000000 
54, 2046553.000000, 31.526188, 107653995.000000 
55, 2017225.000000, 32.642567, 109671220.000000 
56, 2010898.000000, 33.773430, 111682118.000000 
57, 2079711.000000, 34.918476, 113761829.000000 
58, 2003684.000000, 36.077377, 115765514.000000 
59, 2006981.000000, 37.249805, 117772495.000000 
60, 2086277.000000, 38.435463, 119858772.000000 
61, 2024477.000000, 39.633995, 121883250.000000 
62, 1988625.000000, 40.845100, 123871875.000000 
63, 2095256.000000, 42.068451, 125967131.000000 
64, 1999097.000000, 43.303715, 127966229.000000 
65, 2038626.000000, 44.550587, 130004855.000000 
66, 2068934.000000, 45.808746, 132073789.000000 
67, 2101088.000000, 47.077850, 134174877.000000 
68, 2022009.000000, 48.357605, 136196886.000000 
69, 2117013.000000, 49.647678, 138313899.000000 
70, 2053541.000000, 50.947754, 140367442.000000 
71, 2073175.000000, 52.257511, 142440617.000000 
72, 2080545.000000, 53.576645, 144521163.000000 
73, 2050437.000000, 54.904839, 146571601.000000 
74, 2039572.000000, 56.241783, 148611174.000000 
75, 2081533.000000, 57.587189, 150692707.000000 
76, 2022173.000000, 58.940723, 152714880.000000 
77, 2037131.000000, 60.302071, 154752012.000000 
78, 2130175.000000, 61.670975, 156882188.000000 
79, 2106794.000000, 63.047108, 158988982.000000 
80, 2034357.000000, 64.430176, 161023339.000000 
81, 2135731.000000, 65.819901, 163159070.000000 
82, 2108599.000000, 67.215965, 165267670.000000 
83, 2045539.000000, 68.618126, 167313209.000000 
84, 2104786.000000, 70.026039, 169417995.000000 
85, 2086801.000000, 71.439484, 171504796.000000 
86, 2090914.000000, 72.858170, 173595710.000000 
87, 2246974.000000, 74.281784, 175842684.000000 
88, 2055637.000000, 75.710129, 177898322.000000 
89, 2100182.000000, 77.142853, 179998504.000000 
90, 2158382.000000, 78.579773, 182156887.000000 
91, 2098714.000000, 80.020569, 184255601.000000 
92, 2069084.000000, 81.465027, 186324685.000000 
93, 2174332.000000, 82.912895, 188499018.000000 
94, 2094906.000000, 84.363892, 190593924.000000 
95, 2092036.000000, 85.817818, 192685960.000000 
96, 2186593.000000, 87.274391, 194872553.000000 
97, 2093678.000000, 88.733406, 196966232.000000 
98, 2097735.000000, 90.194618, 199063967.000000 
99, 2157743.000000, 91.657791, 201221710.000000 
100, 2096015.000000, 93.122757, 203317725.000000 
