id, querying time, distance, total
1, 228862.000000, 339.123474, 228862.000000 
2, 78750.000000, 0.365176, 307612.000000 
3, 216735.000000, 304.093292, 524347.000000 
4, 72803.000000, 1.638407, 597150.000000 
5, 180664.000000, 194.679367, 777814.000000 
6, 178446.000000, 187.058197, 956260.000000 
7, 103131.000000, 3.834274, 1059391.000000 
8, 71343.000000, 1.939525, 1130734.000000 
9, 66069.000000, 0.892899, 1196803.000000 
10, 173819.000000, 251.284012, 1370622.000000 
11, 71328.000000, 1.697101, 1441950.000000 
12, 74429.000000, 0.119568, 1516379.000000 
13, 221000.000000, 322.906403, 1737379.000000 
14, 80750.000000, 3.514809, 1818129.000000 
15, 92860.000000, 6.178798, 1910989.000000 
16, 72576.000000, 4.848814, 1983565.000000 
17, 170633.000000, 102.810822, 2154198.000000 
18, 98296.000000, 12.769119, 2252494.000000 
19, 189861.000000, 253.340515, 2442356.000000 
20, 84850.000000, 5.605164, 2527206.000000 
21, 96432.000000, 2.319895, 2623638.000000 
22, 176573.000000, 151.521957, 2800211.000000 
23, 228121.000000, 338.448639, 3028332.000000 
24, 97014.000000, 1.670906, 3125346.000000 
25, 169605.000000, 108.396286, 3294951.000000 
26, 82759.000000, 0.887677, 3377710.000000 
27, 98270.000000, 5.915697, 3475980.000000 
28, 53901.000000, 0.362603, 3529881.000000 
29, 76233.000000, 0.480697, 3606114.000000 
30, 232767.000000, 325.659393, 3838881.000000 
31, 165256.000000, 35.937546, 4004137.000000 
32, 177207.000000, 114.644341, 4181345.000000 
33, 177276.000000, 115.778435, 4358621.000000 
34, 149710.000000, 18.711533, 4508331.000000 
35, 170360.000000, 95.382973, 4678691.000000 
36, 145509.000000, 17.472527, 4824200.000000 
37, 71190.000000, 1.470446, 4895390.000000 
38, 161063.000000, 67.701988, 5056454.000000 
39, 67568.000000, 1.755522, 5124022.000000 
40, 79928.000000, 26.423359, 5203950.000000 
41, 226834.000000, 345.895203, 5430784.000000 
42, 172350.000000, 53.962887, 5603134.000000 
43, 167522.000000, 126.116570, 5770656.000000 
44, 162705.000000, 34.010887, 5933361.000000 
45, 251173.000000, 258.337585, 6184534.000000 
46, 258726.000000, 321.179871, 6443260.000000 
47, 184712.000000, 243.376450, 6627972.000000 
48, 182440.000000, 204.954391, 6810412.000000 
49, 297254.000000, 323.347076, 7107666.000000 
50, 263561.000000, 277.570007, 7371227.000000 
51, 230181.000000, 334.601196, 7601408.000000 
52, 236432.000000, 307.404266, 7837840.000000 
53, 207813.000000, 320.210419, 8045653.000000 
54, 242371.000000, 280.394684, 8288025.000000 
55, 69924.000000, 1.354596, 8357949.000000 
56, 174622.000000, 169.126205, 8532571.000000 
57, 182257.000000, 197.533722, 8714828.000000 
58, 175637.000000, 112.079292, 8890465.000000 
59, 203546.000000, 295.079834, 9094011.000000 
60, 194838.000000, 141.814804, 9288849.000000 
61, 179764.000000, 242.901443, 9468614.000000 
62, 98434.000000, 3.396461, 9567048.000000 
63, 61698.000000, 0.240212, 9628746.000000 
64, 171603.000000, 138.824524, 9800349.000000 
65, 59874.000000, 0.450257, 9860223.000000 
66, 57551.000000, 3.273175, 9917774.000000 
67, 86157.000000, 3.416408, 10003932.000000 
68, 52581.000000, 0.382158, 10056513.000000 
69, 60291.000000, 0.288726, 10116805.000000 
70, 54505.000000, 0.313397, 10171310.000000 
71, 223058.000000, 319.476624, 10394369.000000 
72, 54133.000000, 0.597749, 10448502.000000 
73, 258975.000000, 338.127838, 10707477.000000 
74, 180051.000000, 46.158836, 10887528.000000 
75, 140688.000000, 25.151039, 11028217.000000 
76, 151723.000000, 38.205299, 11179940.000000 
77, 170658.000000, 33.193527, 11350598.000000 
78, 142805.000000, 31.335377, 11493403.000000 
79, 74130.000000, 0.632323, 11567534.000000 
80, 52274.000000, 0.724536, 11619808.000000 
81, 53526.000000, 0.660996, 11673334.000000 
82, 85845.000000, 3.736274, 11759179.000000 
83, 161990.000000, 108.421982, 11921169.000000 
84, 91688.000000, 1.278442, 12012858.000000 
85, 149824.000000, 47.070496, 12162682.000000 
86, 60337.000000, 1.254378, 12223019.000000 
87, 261584.000000, 270.692719, 12484603.000000 
88, 77854.000000, 2.554768, 12562457.000000 
89, 83500.000000, 6.934216, 12645957.000000 
90, 209684.000000, 267.949097, 12855641.000000 
91, 258125.000000, 253.918594, 13113766.000000 
92, 58242.000000, 0.327885, 13172008.000000 
93, 94439.000000, 14.409753, 13266447.000000 
94, 223099.000000, 274.320892, 13489547.000000 
95, 239525.000000, 318.090515, 13729072.000000 
96, 131954.000000, 15.230557, 13861026.000000 
97, 107850.000000, 7.152710, 13968876.000000 
98, 126385.000000, 16.816156, 14095261.000000 
99, 129798.000000, 87.544144, 14225059.000000 
100, 61607.000000, 1.427212, 14286666.000000 
