id, querying time, distance, total
1, 26336.000000, 252.075409, 26336.000000 
2, 28896.000000, 305.809296, 55232.000000 
3, 45069.000000, 257.408691, 100301.000000 
4, 26962.000000, 227.161194, 127263.000000 
5, 24449.000000, 252.694427, 151712.000000 
6, 26318.000000, 239.022842, 178030.000000 
7, 29981.000000, 330.185974, 208011.000000 
8, 44832.000000, 295.016541, 252843.000000 
9, 26294.000000, 231.599518, 279137.000000 
10, 33107.000000, 255.593063, 312244.000000 
11, 29700.000000, 332.273438, 341944.000000 
12, 27988.000000, 219.572067, 369932.000000 
13, 28371.000000, 270.149384, 398303.000000 
14, 46633.000000, 354.312744, 444936.000000 
15, 35115.000000, 284.677338, 480051.000000 
16, 29025.000000, 304.460114, 509077.000000 
17, 32882.000000, 185.877975, 541960.000000 
18, 37691.000000, 261.093567, 579651.000000 
19, 32905.000000, 184.020065, 612556.000000 
20, 32461.000000, 274.723938, 645017.000000 
21, 42723.000000, 258.643982, 687740.000000 
22, 22519.000000, 242.973755, 710259.000000 
23, 40546.000000, 244.364609, 750806.000000 
24, 24988.000000, 212.744415, 775794.000000 
25, 31648.000000, 336.467529, 807442.000000 
26, 42031.000000, 298.238708, 849473.000000 
27, 35393.000000, 207.232239, 884866.000000 
28, 23895.000000, 283.994354, 908762.000000 
29, 27788.000000, 226.505020, 936550.000000 
30, 25530.000000, 210.800079, 962080.000000 
31, 44459.000000, 219.827896, 1006539.000000 
32, 33500.000000, 238.040863, 1040039.000000 
33, 27444.000000, 265.024353, 1067483.000000 
34, 28300.000000, 264.025208, 1095783.000000 
35, 25416.000000, 137.577911, 1121199.000000 
36, 18863.000000, 56.780586, 1140062.000000 
37, 25183.000000, 183.246552, 1165245.000000 
38, 28340.000000, 320.937500, 1193585.000000 
39, 39787.000000, 283.712830, 1233372.000000 
40, 26253.000000, 147.246307, 1259625.000000 
41, 30335.000000, 231.156509, 1289960.000000 
42, 42592.000000, 217.473221, 1332552.000000 
43, 33915.000000, 269.029572, 1366467.000000 
44, 25213.000000, 229.691193, 1391680.000000 
45, 22155.000000, 169.502426, 1413835.000000 
46, 27230.000000, 348.267395, 1441065.000000 
47, 27854.000000, 288.034302, 1468919.000000 
48, 28038.000000, 323.682526, 1496957.000000 
49, 26591.000000, 308.801544, 1523548.000000 
50, 28981.000000, 346.626923, 1552529.000000 
51, 29100.000000, 344.637665, 1581629.000000 
52, 30188.000000, 324.062927, 1611817.000000 
53, 30209.000000, 284.234589, 1642026.000000 
54, 37513.000000, 329.938477, 1679539.000000 
55, 26605.000000, 311.169586, 1706144.000000 
56, 21540.000000, 197.448761, 1727684.000000 
57, 34304.000000, 237.759872, 1761988.000000 
58, 42362.000000, 365.339233, 1804350.000000 
59, 29200.000000, 166.867004, 1833551.000000 
60, 20824.000000, 102.355583, 1854375.000000 
61, 20898.000000, 128.163177, 1875273.000000 
62, 27525.000000, 198.123154, 1902798.000000 
63, 44280.000000, 314.937073, 1947079.000000 
64, 20074.000000, 92.929413, 1967153.000000 
65, 33109.000000, 328.016296, 2000262.000000 
66, 21486.000000, 119.799179, 2021748.000000 
67, 24246.000000, 324.688477, 2045994.000000 
68, 33130.000000, 238.355927, 2079124.000000 
69, 8092.000000, 11.634785, 2087216.000000 
70, 38427.000000, 317.657410, 2125643.000000 
71, 22284.000000, 181.769348, 2147927.000000 
72, 17566.000000, 40.280834, 2165493.000000 
73, 22985.000000, 223.550522, 2188478.000000 
74, 20528.000000, 97.374504, 2209007.000000 
75, 30784.000000, 201.451111, 2239791.000000 
76, 26442.000000, 145.311829, 2266234.000000 
77, 20746.000000, 179.708450, 2286980.000000 
78, 21754.000000, 179.114319, 2308734.000000 
79, 23056.000000, 151.605499, 2331790.000000 
80, 19720.000000, 147.383591, 2351510.000000 
81, 21093.000000, 59.317757, 2372603.000000 
82, 21755.000000, 124.629089, 2394358.000000 
83, 27866.000000, 138.902176, 2422224.000000 
84, 35193.000000, 178.013779, 2457417.000000 
85, 20227.000000, 154.641739, 2477644.000000 
86, 21217.000000, 85.683334, 2498861.000000 
87, 25252.000000, 76.288132, 2524113.000000 
88, 22251.000000, 158.870712, 2546365.000000 
89, 25344.000000, 74.649696, 2571709.000000 
90, 26821.000000, 190.694763, 2598530.000000 
91, 21223.000000, 148.768829, 2619753.000000 
92, 25959.000000, 125.429054, 2645712.000000 
93, 25746.000000, 153.735794, 2671458.000000 
94, 24231.000000, 78.031616, 2695689.000000 
95, 19737.000000, 22.507208, 2715426.000000 
96, 19864.000000, 33.324364, 2735291.000000 
97, 21338.000000, 75.512817, 2756629.000000 
98, 19579.000000, 34.875458, 2776208.000000 
99, 20008.000000, 112.667488, 2796216.000000 
100, 19255.000000, 93.751831, 2815471.000000 
