id, querying time, distance, total
1, 840290.000000, 160.474442, 840290.000000 
2, 671908.000000, 140.199997, 1512198.000000 
3, 546769.000000, 8.134409, 2058967.000000 
4, 374941.000000, 6.328071, 2433908.000000 
5, 712169.000000, 107.638672, 3146077.000000 
6, 347361.000000, 29.842976, 3493438.000000 
7, 492597.000000, 11.716393, 3986035.000000 
8, 458935.000000, 9.954462, 4444970.000000 
9, 799518.000000, 64.074570, 5244488.000000 
10, 286662.000000, 10.271839, 5531151.000000 
11, 343130.000000, 25.018688, 5874281.000000 
12, 648282.000000, 102.369072, 6522563.000000 
13, 753253.000000, 121.175713, 7275816.000000 
14, 707696.000000, 73.848846, 7983512.000000 
15, 789536.000000, 127.825340, 8773048.000000 
16, 584999.000000, 7.556457, 9358047.000000 
17, 312986.000000, 1.750371, 9671033.000000 
18, 728960.000000, 145.661316, 10399993.000000 
19, 809909.000000, 105.415886, 11209902.000000 
20, 718674.000000, 158.617188, 11928576.000000 
21, 719897.000000, 133.686996, 12648473.000000 
22, 770989.000000, 101.880653, 13419462.000000 
23, 754448.000000, 125.038994, 14173910.000000 
24, 807009.000000, 142.428604, 14980919.000000 
25, 765338.000000, 108.611481, 15746258.000000 
26, 784959.000000, 102.284157, 16531217.000000 
27, 464744.000000, 3.007715, 16995961.000000 
28, 753659.000000, 135.470581, 17749620.000000 
29, 490293.000000, 34.015835, 18239914.000000 
30, 798718.000000, 74.786240, 19038632.000000 
31, 521115.000000, 84.753769, 19559747.000000 
32, 292648.000000, 12.021811, 19852395.000000 
33, 299820.000000, 1.861399, 20152215.000000 
34, 312351.000000, 30.488167, 20464566.000000 
35, 495371.000000, 30.015631, 20959938.000000 
36, 787163.000000, 133.739029, 21747101.000000 
37, 503888.000000, 40.502655, 22250989.000000 
38, 766641.000000, 81.870438, 23017630.000000 
39, 805837.000000, 76.576385, 23823468.000000 
40, 330563.000000, 62.829521, 24154031.000000 
41, 777252.000000, 69.948853, 24931284.000000 
42, 753410.000000, 206.932281, 25684694.000000 
43, 389303.000000, 6.080229, 26073997.000000 
44, 699717.000000, 118.657867, 26773714.000000 
45, 740067.000000, 109.988228, 27513781.000000 
46, 806626.000000, 205.662201, 28320407.000000 
47, 513085.000000, 26.828444, 28833492.000000 
48, 359553.000000, 7.392574, 29193046.000000 
49, 407457.000000, 7.952715, 29600503.000000 
50, 744020.000000, 168.719696, 30344523.000000 
51, 500090.000000, 2.912158, 30844614.000000 
52, 641263.000000, 21.497225, 31485877.000000 
53, 576968.000000, 50.463993, 32062845.000000 
54, 315882.000000, 4.195182, 32378727.000000 
55, 356808.000000, 5.618197, 32735535.000000 
56, 291526.000000, 7.487674, 33027061.000000 
57, 602976.000000, 79.015869, 33630037.000000 
58, 499754.000000, 5.449316, 34129791.000000 
59, 283686.000000, 2.099312, 34413477.000000 
60, 371752.000000, 2.960321, 34785229.000000 
61, 801021.000000, 221.596939, 35586250.000000 
62, 505279.000000, 41.022182, 36091529.000000 
63, 604993.000000, 36.958195, 36696522.000000 
64, 723625.000000, 87.935204, 37420147.000000 
65, 461765.000000, 6.790058, 37881913.000000 
66, 691156.000000, 104.056084, 38573070.000000 
67, 328939.000000, 3.428795, 38902009.000000 
68, 679634.000000, 131.509567, 39581643.000000 
69, 760081.000000, 157.545822, 40341724.000000 
70, 535084.000000, 45.686100, 40876808.000000 
71, 343793.000000, 46.988953, 41220602.000000 
72, 402425.000000, 29.668461, 41623027.000000 
73, 254636.000000, 7.746820, 41877664.000000 
74, 791839.000000, 160.249359, 42669503.000000 
75, 587092.000000, 107.905228, 43256595.000000 
76, 440037.000000, 16.146187, 43696632.000000 
77, 509708.000000, 1.108160, 44206340.000000 
78, 626820.000000, 8.493832, 44833160.000000 
79, 475873.000000, 32.685501, 45309033.000000 
80, 559257.000000, 67.772964, 45868290.000000 
81, 674720.000000, 54.333443, 46543010.000000 
82, 547235.000000, 22.512760, 47090245.000000 
83, 792484.000000, 197.026382, 47882730.000000 
84, 639413.000000, 21.966545, 48522143.000000 
85, 513786.000000, 14.975392, 49035929.000000 
86, 548797.000000, 97.039551, 49584726.000000 
87, 755515.000000, 164.643204, 50340241.000000 
88, 751392.000000, 189.073456, 51091633.000000 
89, 781663.000000, 45.009007, 51873296.000000 
90, 531293.000000, 14.818749, 52404589.000000 
91, 495707.000000, 23.099325, 52900296.000000 
92, 366637.000000, 8.371557, 53266933.000000 
93, 471267.000000, 15.815001, 53738200.000000 
94, 540886.000000, 22.398138, 54279086.000000 
95, 496017.000000, 12.996687, 54775103.000000 
96, 536571.000000, 87.232864, 55311674.000000 
97, 462539.000000, 27.123800, 55774213.000000 
98, 717903.000000, 26.290123, 56492116.000000 
99, 316263.000000, 15.569653, 56808380.000000 
100, 749681.000000, 170.093079, 57558061.000000 
