id, querying time, distance, total
1, 101806.000000, 243.993118, 101807.000000 
2, 107990.000000, 150.606842, 209797.000000 
3, 87731.000000, 218.079254, 297528.000000 
4, 87023.000000, 214.058014, 384552.000000 
5, 113016.000000, 239.503143, 497568.000000 
6, 88627.000000, 196.681702, 586195.000000 
7, 85929.000000, 228.887695, 672124.000000 
8, 120553.000000, 234.888641, 792677.000000 
9, 88392.000000, 160.424606, 881070.000000 
10, 118423.000000, 231.059952, 999494.000000 
11, 92575.000000, 178.847961, 1092069.000000 
12, 94540.000000, 113.034195, 1186609.000000 
13, 123397.000000, 229.595108, 1310006.000000 
14, 96332.000000, 175.587906, 1406338.000000 
15, 85890.000000, 165.262939, 1492228.000000 
16, 100142.000000, 219.725189, 1592370.000000 
17, 108414.000000, 255.989914, 1700784.000000 
18, 116509.000000, 236.959122, 1817293.000000 
19, 85534.000000, 255.837036, 1902827.000000 
20, 114653.000000, 216.517807, 2017481.000000 
21, 92478.000000, 255.991608, 2109959.000000 
22, 100184.000000, 187.160324, 2210143.000000 
23, 89617.000000, 232.524597, 2299760.000000 
24, 126225.000000, 250.405807, 2425985.000000 
25, 93918.000000, 190.958176, 2519903.000000 
26, 97037.000000, 243.094238, 2616941.000000 
27, 97066.000000, 236.400620, 2714007.000000 
28, 100310.000000, 215.161865, 2814318.000000 
29, 92182.000000, 87.816536, 2906500.000000 
30, 118838.000000, 122.827507, 3025338.000000 
31, 98313.000000, 230.207031, 3123651.000000 
32, 79122.000000, 157.214432, 3202773.000000 
33, 103254.000000, 121.485962, 3306027.000000 
34, 106365.000000, 109.317291, 3412392.000000 
35, 112370.000000, 199.947586, 3524762.000000 
36, 91246.000000, 223.902496, 3616009.000000 
37, 87715.000000, 217.547638, 3703725.000000 
38, 106826.000000, 192.676620, 3810551.000000 
39, 104801.000000, 190.665359, 3915352.000000 
40, 96546.000000, 135.844391, 4011898.000000 
41, 98195.000000, 143.709915, 4110093.000000 
42, 116612.000000, 220.630966, 4226705.000000 
43, 136202.000000, 107.220512, 4362907.000000 
44, 94000.000000, 187.090179, 4456907.000000 
45, 116861.000000, 209.030350, 4573768.000000 
46, 94162.000000, 214.924423, 4667930.000000 
47, 117242.000000, 199.142838, 4785172.000000 
48, 103679.000000, 255.634399, 4888851.000000 
49, 85297.000000, 98.236717, 4974148.000000 
50, 90260.000000, 241.936005, 5064408.000000 
51, 105874.000000, 180.632614, 5170282.000000 
52, 86672.000000, 120.998077, 5256954.000000 
53, 102643.000000, 158.858978, 5359597.000000 
54, 95294.000000, 163.453400, 5454891.000000 
55, 104311.000000, 225.491440, 5559202.000000 
56, 84970.000000, 245.684128, 5644172.000000 
57, 118188.000000, 242.841888, 5762360.000000 
58, 83640.000000, 205.862045, 5846000.000000 
59, 87033.000000, 214.281876, 5933033.000000 
60, 94812.000000, 152.441208, 6027845.000000 
61, 129685.000000, 222.736969, 6157530.000000 
62, 89231.000000, 198.683136, 6246761.000000 
63, 120277.000000, 212.861511, 6367038.000000 
64, 114351.000000, 201.073868, 6481389.000000 
65, 119243.000000, 224.214233, 6600632.000000 
66, 109454.000000, 205.864838, 6710086.000000 
67, 112912.000000, 221.038559, 6822998.000000 
68, 93212.000000, 158.989182, 6916210.000000 
69, 82710.000000, 236.994080, 6998920.000000 
70, 102830.000000, 123.902031, 7101750.000000 
71, 95278.000000, 215.359375, 7197029.000000 
72, 98248.000000, 255.988480, 7295278.000000 
73, 86795.000000, 220.850555, 7382073.000000 
74, 115328.000000, 233.355545, 7497401.000000 
75, 108174.000000, 188.457993, 7605575.000000 
76, 119632.000000, 216.994461, 7725207.000000 
77, 130498.000000, 228.104324, 7855705.000000 
78, 116159.000000, 174.128601, 7971864.000000 
79, 82645.000000, 72.251282, 8054509.000000 
80, 137551.000000, 126.829346, 8192061.000000 
81, 106251.000000, 255.986984, 8298312.000000 
82, 98085.000000, 141.381302, 8396397.000000 
83, 87644.000000, 194.860260, 8484041.000000 
84, 93007.000000, 202.055405, 8577048.000000 
85, 91389.000000, 155.009827, 8668438.000000 
86, 88016.000000, 220.699600, 8756454.000000 
87, 91571.000000, 255.991028, 8848025.000000 
88, 97466.000000, 156.508194, 8945491.000000 
89, 108217.000000, 103.928101, 9053708.000000 
90, 110888.000000, 255.986069, 9164596.000000 
91, 118318.000000, 255.988342, 9282914.000000 
92, 77273.000000, 153.665222, 9360188.000000 
93, 80278.000000, 167.082199, 9440466.000000 
94, 83484.000000, 255.987137, 9523950.000000 
95, 80703.000000, 194.823303, 9604653.000000 
96, 97300.000000, 240.180206, 9701953.000000 
97, 79429.000000, 231.256165, 9781382.000000 
98, 116365.000000, 119.743729, 9897747.000000 
99, 125874.000000, 251.800476, 10023621.000000 
100, 98162.000000, 223.355225, 10121783.000000 
