id, querying time, distance, total
1, 1271353.000000, 17.696831, 1271353.000000 
2, 1297398.000000, 14.898204, 2568751.000000 
3, 1111487.000000, 17.828831, 3680238.000000 
4, 883635.000000, 15.856450, 4563873.000000 
5, 409237.000000, 14.364668, 4973110.000000 
6, 1335119.000000, 15.054004, 6308229.000000 
7, 1149824.000000, 16.723976, 7458053.000000 
8, 675076.000000, 16.485147, 8133130.000000 
9, 908317.000000, 15.144854, 9041447.000000 
10, 688926.000000, 15.658474, 9730373.000000 
11, 1497174.000000, 14.940656, 11227548.000000 
12, 1258643.000000, 14.938226, 12486192.000000 
13, 1193764.000000, 14.115511, 13679956.000000 
14, 1346023.000000, 16.976398, 15025979.000000 
15, 1110295.000000, 15.534549, 16136274.000000 
16, 1167069.000000, 15.949063, 17303343.000000 
17, 800276.000000, 20.205744, 18103619.000000 
18, 1102379.000000, 16.048643, 19205998.000000 
19, 1126718.000000, 15.684227, 20332716.000000 
20, 1132760.000000, 16.539320, 21465476.000000 
21, 1270549.000000, 16.588627, 22736025.000000 
22, 999487.000000, 15.140232, 23735512.000000 
23, 1493684.000000, 15.695456, 25229197.000000 
24, 1201003.000000, 14.916829, 26430201.000000 
25, 1067334.000000, 17.794754, 27497535.000000 
26, 1112707.000000, 16.199396, 28610242.000000 
27, 1082027.000000, 15.173078, 29692269.000000 
28, 964731.000000, 15.217175, 30657000.000000 
29, 983518.000000, 14.971380, 31640518.000000 
30, 1147511.000000, 16.667353, 32788030.000000 
31, 608690.000000, 15.558429, 33396720.000000 
32, 561384.000000, 13.905422, 33958105.000000 
33, 700132.000000, 14.534401, 34658237.000000 
34, 1430395.000000, 17.560816, 36088632.000000 
35, 1363761.000000, 15.518352, 37452394.000000 
36, 1544889.000000, 19.058027, 38997284.000000 
37, 1454644.000000, 16.948715, 40451928.000000 
38, 1587311.000000, 17.251123, 42039240.000000 
39, 1310490.000000, 16.809704, 43349730.000000 
40, 1150447.000000, 15.718810, 44500177.000000 
41, 952328.000000, 16.938984, 45452505.000000 
42, 658500.000000, 15.584030, 46111005.000000 
43, 1381608.000000, 15.348604, 47492613.000000 
44, 1219317.000000, 14.753498, 48711930.000000 
45, 1047888.000000, 15.072355, 49759818.000000 
46, 1209967.000000, 17.910053, 50969785.000000 
47, 884177.000000, 16.090786, 51853962.000000 
48, 1092830.000000, 14.569680, 52946793.000000 
49, 1094248.000000, 17.636322, 54041041.000000 
50, 1158739.000000, 18.431206, 55199780.000000 
51, 734177.000000, 13.573879, 55933957.000000 
52, 796546.000000, 15.641743, 56730503.000000 
53, 1050081.000000, 15.386155, 57780584.000000 
54, 975777.000000, 13.919651, 58756361.000000 
55, 1163830.000000, 17.596750, 59920191.000000 
56, 1105695.000000, 16.382133, 61025886.000000 
57, 1313204.000000, 16.046892, 62339090.000000 
58, 1162191.000000, 15.370667, 63501281.000000 
59, 1425231.000000, 18.061523, 64926512.000000 
60, 749657.000000, 17.027609, 65676169.000000 
61, 1298909.000000, 15.316605, 66975078.000000 
62, 1338849.000000, 16.445267, 68313927.000000 
63, 1458829.000000, 18.326170, 69772756.000000 
64, 1275560.000000, 15.216118, 71048316.000000 
65, 1098402.000000, 16.022909, 72146718.000000 
66, 1019992.000000, 19.809908, 73166710.000000 
67, 1009349.000000, 18.029104, 74176059.000000 
68, 1057456.000000, 15.308310, 75233515.000000 
69, 1108743.000000, 17.459818, 76342258.000000 
70, 1028569.000000, 13.811756, 77370828.000000 
71, 925892.000000, 17.023438, 78296721.000000 
72, 981111.000000, 15.498199, 79277833.000000 
73, 802432.000000, 17.407354, 80080265.000000 
74, 1104752.000000, 15.396122, 81185017.000000 
75, 1108935.000000, 16.361980, 82293952.000000 
76, 909572.000000, 16.583746, 83203525.000000 
77, 950577.000000, 17.470057, 84154102.000000 
78, 1030150.000000, 14.321319, 85184253.000000 
79, 1089978.000000, 16.927353, 86274231.000000 
80, 1138120.000000, 15.349579, 87412351.000000 
81, 1004531.000000, 16.572941, 88416882.000000 
82, 1091196.000000, 14.662121, 89508078.000000 
83, 1106856.000000, 14.226965, 90614934.000000 
84, 904214.000000, 16.510675, 91519148.000000 
85, 1034211.000000, 15.488450, 92553359.000000 
86, 1059108.000000, 14.174276, 93612468.000000 
87, 1076723.000000, 14.521797, 94689191.000000 
88, 1165862.000000, 14.666334, 95855054.000000 
89, 955243.000000, 14.173974, 96810298.000000 
90, 1077140.000000, 13.861348, 97887438.000000 
91, 1086417.000000, 16.379601, 98973855.000000 
92, 979285.000000, 16.177557, 99953140.000000 
93, 1253357.000000, 13.475739, 101206497.000000 
94, 775360.000000, 15.751815, 101981857.000000 
95, 1138986.000000, 15.812916, 103120845.000000 
96, 1566315.000000, 17.136255, 104687161.000000 
97, 873937.000000, 16.815243, 105561098.000000 
98, 1112565.000000, 17.391193, 106673663.000000 
99, 1074285.000000, 16.385290, 107747948.000000 
100, 1072329.000000, 14.297859, 108820277.000000 
