id, querying time, distance, total
1, 3129053.000000, 217.268478, 3129053.000000 
2, 3113788.000000, 147.639908, 6242841.000000 
3, 3130225.000000, 124.486542, 9373066.000000 
4, 3181863.000000, 184.155075, 12554930.000000 
5, 3246483.000000, 120.844963, 15801413.000000 
6, 3033546.000000, 127.045837, 18834959.000000 
7, 3084243.000000, 167.251022, 21919203.000000 
8, 2854861.000000, 154.674927, 24774064.000000 
9, 2968439.000000, 162.522430, 27742503.000000 
10, 2492472.000000, 41.256969, 30234976.000000 
11, 3114020.000000, 165.862061, 33348996.000000 
12, 3275348.000000, 184.297760, 36624344.000000 
13, 3045376.000000, 157.931183, 39669720.000000 
14, 2858639.000000, 130.274887, 42528359.000000 
15, 3073453.000000, 127.069687, 45601812.000000 
16, 3165588.000000, 179.548889, 48767401.000000 
17, 2988056.000000, 170.973923, 51755458.000000 
18, 3531273.000000, 248.867737, 55286731.000000 
19, 3029568.000000, 143.385254, 58316299.000000 
20, 3286829.000000, 205.413010, 61603130.000000 
21, 3164096.000000, 182.777634, 64767226.000000 
22, 3224676.000000, 190.047424, 67991902.000000 
23, 3103570.000000, 175.201584, 71095473.000000 
24, 3151307.000000, 141.163971, 74246780.000000 
25, 3105653.000000, 171.076935, 77352434.000000 
26, 3177820.000000, 201.524384, 80530254.000000 
27, 2975515.000000, 162.945312, 83505770.000000 
28, 3118040.000000, 194.481171, 86623810.000000 
29, 3189276.000000, 209.982544, 89813087.000000 
30, 3136156.000000, 157.164444, 92949243.000000 
31, 2963423.000000, 131.958099, 95912666.000000 
32, 3077078.000000, 176.389221, 98989745.000000 
33, 3240285.000000, 175.430084, 102230030.000000 
34, 3124776.000000, 191.212784, 105354806.000000 
35, 2939853.000000, 163.357941, 108294659.000000 
36, 3236029.000000, 183.865021, 111530688.000000 
37, 3051566.000000, 154.893799, 114582255.000000 
38, 3130348.000000, 174.735199, 117712604.000000 
39, 3190720.000000, 174.501205, 120903325.000000 
40, 3242119.000000, 190.393555, 124145444.000000 
41, 3087455.000000, 106.782013, 127232900.000000 
42, 2925772.000000, 163.529907, 130158673.000000 
43, 2994262.000000, 140.182266, 133152936.000000 
44, 3128672.000000, 119.883583, 136281609.000000 
45, 3216152.000000, 136.432846, 139497761.000000 
46, 3132056.000000, 206.949280, 142629818.000000 
47, 3179800.000000, 175.126709, 145809619.000000 
48, 3078751.000000, 155.385559, 148888370.000000 
49, 3200023.000000, 109.062469, 152088394.000000 
50, 2845414.000000, 107.266907, 154933808.000000 
51, 3095235.000000, 167.964554, 158029044.000000 
52, 3114853.000000, 176.333313, 161143898.000000 
53, 3233320.000000, 192.752548, 164377218.000000 
54, 3581653.000000, 209.436691, 167958871.000000 
55, 3258633.000000, 125.747101, 171217505.000000 
56, 3133822.000000, 209.595276, 174351327.000000 
57, 2984524.000000, 115.334541, 177335851.000000 
58, 3329771.000000, 186.990875, 180665622.000000 
59, 3898381.000000, 136.315247, 184564003.000000 
60, 3528968.000000, 224.671646, 188092971.000000 
61, 3134462.000000, 180.247025, 191227434.000000 
62, 3152764.000000, 118.555534, 194380198.000000 
63, 3175024.000000, 138.261139, 197555222.000000 
64, 3145641.000000, 188.258453, 200700863.000000 
65, 3141272.000000, 187.001083, 203842135.000000 
66, 3454912.000000, 114.894852, 207297047.000000 
67, 3455430.000000, 221.502945, 210752477.000000 
68, 3594365.000000, 107.997253, 214346842.000000 
69, 3296566.000000, 123.035782, 217643408.000000 
70, 3244503.000000, 167.876648, 220887911.000000 
71, 3800828.000000, 186.172546, 224688739.000000 
72, 3636875.000000, 191.371292, 228325614.000000 
73, 3230727.000000, 151.143890, 231556341.000000 
74, 3160127.000000, 130.267090, 234716468.000000 
75, 3256154.000000, 169.752441, 237972622.000000 
76, 3197297.000000, 164.245010, 241169919.000000 
77, 3108402.000000, 219.017151, 244278321.000000 
78, 3510514.000000, 176.772247, 247788835.000000 
79, 3687737.000000, 195.026566, 251476572.000000 
80, 3214436.000000, 158.856491, 254691008.000000 
81, 3370652.000000, 179.052505, 258061660.000000 
82, 3453864.000000, 158.955902, 261515524.000000 
83, 3481861.000000, 171.779526, 264997385.000000 
84, 3430514.000000, 179.844971, 268427900.000000 
85, 3488483.000000, 202.079788, 271916383.000000 
86, 3234410.000000, 146.697937, 275150794.000000 
87, 3128356.000000, 76.439568, 278279150.000000 
88, 3096634.000000, 174.935043, 281375784.000000 
89, 2975226.000000, 165.860367, 284351010.000000 
90, 3298402.000000, 184.345886, 287649413.000000 
91, 3212335.000000, 133.943039, 290861748.000000 
92, 3057232.000000, 168.296204, 293918980.000000 
93, 3810274.000000, 158.662674, 297729254.000000 
94, 3321343.000000, 158.284973, 301050597.000000 
95, 3512866.000000, 206.137054, 304563463.000000 
96, 3076912.000000, 151.097549, 307640375.000000 
97, 3345294.000000, 43.724995, 310985669.000000 
98, 3226841.000000, 172.809631, 314212510.000000 
99, 3196050.000000, 202.941681, 317408560.000000 
100, 3052681.000000, 136.343765, 320461241.000000 
