id, querying time, distance, total
1, 675375.000000, 197.435623, 675375.000000 
2, 486647.000000, 104.374077, 1162022.000000 
3, 490755.000000, 180.244370, 1652777.000000 
4, 435216.000000, 197.705109, 2087993.000000 
5, 541450.000000, 143.106445, 2629443.000000 
6, 474571.000000, 252.393982, 3104014.000000 
7, 511170.000000, 161.773712, 3615184.000000 
8, 547831.000000, 255.999405, 4163015.000000 
9, 522127.000000, 226.760895, 4685142.000000 
10, 491919.000000, 149.130676, 5177061.000000 
11, 495710.000000, 177.441116, 5672771.000000 
12, 343013.000000, 25.845432, 6015784.000000 
13, 515328.000000, 255.999283, 6531112.000000 
14, 523164.000000, 226.074783, 7054277.000000 
15, 489714.000000, 169.612091, 7543991.000000 
16, 473766.000000, 196.722839, 8017757.000000 
17, 456390.000000, 250.125244, 8474147.000000 
18, 474902.000000, 180.750031, 8949049.000000 
19, 513877.000000, 255.998093, 9462926.000000 
20, 452685.000000, 226.219086, 9915611.000000 
21, 501585.000000, 191.079590, 10417197.000000 
22, 505024.000000, 183.750427, 10922221.000000 
23, 494070.000000, 191.238388, 11416291.000000 
24, 440237.000000, 169.300964, 11856528.000000 
25, 457760.000000, 147.730011, 12314288.000000 
26, 484313.000000, 88.271461, 12798602.000000 
27, 555954.000000, 237.982208, 13354556.000000 
28, 560449.000000, 162.195755, 13915005.000000 
29, 475208.000000, 173.879730, 14390213.000000 
30, 499598.000000, 219.060074, 14889812.000000 
31, 463694.000000, 174.843033, 15353507.000000 
32, 475806.000000, 255.998871, 15829314.000000 
33, 530018.000000, 230.416168, 16359332.000000 
34, 463061.000000, 255.999161, 16822393.000000 
35, 475405.000000, 136.511719, 17297798.000000 
36, 505055.000000, 211.081299, 17802853.000000 
37, 487026.000000, 154.440598, 18289879.000000 
38, 503268.000000, 178.396225, 18793147.000000 
39, 502739.000000, 123.541122, 19295886.000000 
40, 485473.000000, 202.385406, 19781359.000000 
41, 500040.000000, 172.721237, 20281400.000000 
42, 504576.000000, 239.335861, 20785976.000000 
43, 443501.000000, 187.490845, 21229477.000000 
44, 539116.000000, 216.625839, 21768593.000000 
45, 521227.000000, 253.178970, 22289820.000000 
46, 439856.000000, 204.300842, 22729676.000000 
47, 526264.000000, 255.997635, 23255940.000000 
48, 477336.000000, 167.752945, 23733277.000000 
49, 561406.000000, 133.815720, 24294683.000000 
50, 488879.000000, 187.660049, 24783562.000000 
51, 464661.000000, 198.576447, 25248223.000000 
52, 495023.000000, 130.333786, 25743246.000000 
53, 489690.000000, 163.139114, 26232936.000000 
54, 489577.000000, 165.903519, 26722513.000000 
55, 522877.000000, 218.450806, 27245390.000000 
56, 497409.000000, 165.466110, 27742799.000000 
57, 622195.000000, 169.437164, 28364994.000000 
58, 473074.000000, 156.284103, 28838069.000000 
59, 426549.000000, 62.225811, 29264618.000000 
60, 484705.000000, 193.379776, 29749323.000000 
61, 471610.000000, 193.958145, 30220933.000000 
62, 507451.000000, 214.270859, 30728385.000000 
63, 452688.000000, 225.187195, 31181073.000000 
64, 445336.000000, 155.138031, 31626409.000000 
65, 506001.000000, 255.996643, 32132411.000000 
66, 453911.000000, 78.389557, 32586322.000000 
67, 455209.000000, 113.621582, 33041531.000000 
68, 546397.000000, 197.245026, 33587928.000000 
69, 464431.000000, 169.189651, 34052360.000000 
70, 558133.000000, 252.332535, 34610494.000000 
71, 461420.000000, 122.196747, 35071914.000000 
72, 470298.000000, 204.020828, 35542212.000000 
73, 435378.000000, 166.732544, 35977590.000000 
74, 485299.000000, 213.671936, 36462890.000000 
75, 445183.000000, 204.895477, 36908074.000000 
76, 499621.000000, 224.813202, 37407697.000000 
77, 424459.000000, 160.445099, 37832157.000000 
78, 520982.000000, 255.173950, 38353139.000000 
79, 466303.000000, 255.994995, 38819442.000000 
80, 510496.000000, 222.960693, 39329938.000000 
81, 452378.000000, 165.161011, 39782316.000000 
82, 470078.000000, 157.736328, 40252394.000000 
83, 461898.000000, 157.202652, 40714292.000000 
84, 436252.000000, 114.264786, 41150544.000000 
85, 470282.000000, 255.997940, 41620827.000000 
86, 451153.000000, 96.261658, 42071980.000000 
87, 506372.000000, 87.215500, 42578352.000000 
88, 499528.000000, 164.579041, 43077880.000000 
89, 504772.000000, 212.936539, 43582652.000000 
90, 530424.000000, 255.999847, 44113076.000000 
91, 486233.000000, 255.999100, 44599309.000000 
92, 474184.000000, 107.074539, 45073493.000000 
93, 582317.000000, 255.998810, 45655810.000000 
94, 528825.000000, 221.816971, 46184637.000000 
95, 479544.000000, 142.002350, 46664181.000000 
96, 490670.000000, 170.746002, 47154851.000000 
97, 462251.000000, 209.089691, 47617102.000000 
98, 435027.000000, 151.904068, 48052129.000000 
99, 468196.000000, 156.577347, 48520325.000000 
100, 523271.000000, 225.839310, 49043596.000000 
