querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
40419, 3, 12, 221876, 109166, 0, 0, 55791, 55791, 0, 0, 0, 406906, 578385, 326.572540, 252.075409, 40418
43214, 4, 3, 190839, 137780, 0, 0, 55791, 55791, 0, 0, 0, 578856, 578856, 468.539246, 305.809296, 83631
40344, 7, 2, 209822, 95320, 0, 0, 55791, 55791, 0, 0, 0, 434193, 578485, 418.538483, 257.408691, 123974
35605, 7, 7, 214706, 87510, 0, 0, 55791, 55791, 0, 0, 0, 283418, 576397, 320.218536, 227.161224, 159578
39247, 6, 6, 194416, 121045, 0, 0, 55791, 55791, 0, 0, 0, 428256, 578466, 351.986176, 252.694427, 198824
40882, 7, 20, 217183, 113421, 0, 0, 55791, 55791, 0, 0, 0, 517611, 578843, 346.387970, 239.022827, 239705
46115, 7, 8, 208875, 147525, 0, 0, 55791, 55791, 0, 0, 0, 578861, 578861, 431.031830, 330.186005, 285818
46986, 7, 3, 212849, 156372, 0, 0, 55791, 55791, 0, 0, 0, 578855, 578855, 511.855896, 295.016510, 332803
112861, 6, 0, 262767, 97858, 0, 0, 55791, 55792, 0, 0, 0, 499184, 578755, 455.672302, 231.599503, 445663
40963, 5, 5, 230766, 106512, 0, 0, 55791, 55791, 0, 0, 0, 375009, 577988, 396.184021, 255.593002, 486625
44151, 7, 7, 219337, 91107, 0, 0, 55791, 55791, 0, 0, 0, 578860, 578860, 406.132477, 332.273407, 530774
43530, 6, 9, 221721, 143797, 0, 0, 55791, 55791, 0, 0, 0, 424988, 578236, 376.135406, 219.572067, 574303
44844, 6, 8, 212141, 126939, 0, 0, 55791, 55791, 0, 0, 0, 560250, 578836, 423.669159, 270.149353, 619146
46737, 6, 3, 197989, 160493, 0, 0, 55791, 55791, 0, 0, 0, 578854, 578854, 496.627228, 354.312714, 665882
45296, 6, 5, 223654, 126231, 0, 0, 55791, 55791, 0, 0, 0, 578856, 578856, 485.778992, 284.677368, 711177
47439, 7, 14, 219836, 152653, 0, 0, 55791, 55791, 0, 0, 0, 578869, 578869, 438.228546, 304.460144, 758615
96640, 2, 1, 252791, 79549, 0, 0, 55791, 55792, 0, 0, 0, 267197, 576123, 375.079926, 185.877975, 855254
38871, 4, 7, 234526, 76937, 0, 0, 55791, 55791, 0, 0, 0, 378729, 577920, 306.143311, 261.093567, 894124
35571, 6, 4, 191753, 101287, 0, 0, 55791, 55791, 0, 0, 0, 314967, 576987, 367.596527, 184.020081, 929694
117753, 6, 1, 264809, 137079, 0, 0, 55791, 55792, 0, 0, 0, 573376, 578841, 551.095886, 274.723969, 1047446
41092, 5, 7, 205452, 131819, 0, 0, 55791, 55791, 0, 0, 0, 439431, 578448, 400.817627, 258.643982, 1088537
38876, 6, 5, 207733, 103475, 0, 0, 55791, 55791, 0, 0, 0, 410960, 578444, 332.470428, 242.973755, 1127411
42684, 7, 5, 219176, 121968, 0, 0, 55791, 55791, 0, 0, 0, 468375, 578588, 419.735352, 244.364624, 1170094
39003, 6, 6, 210701, 103891, 0, 0, 55791, 55791, 0, 0, 0, 393123, 578368, 265.725281, 212.744431, 1209096
45695, 5, 13, 200035, 129344, 0, 0, 55791, 55791, 0, 0, 0, 578866, 578866, 426.726776, 336.467529, 1254790
46928, 6, 10, 228723, 128414, 0, 0, 55791, 55791, 0, 0, 0, 574205, 578851, 434.641296, 298.238647, 1301717
37622, 7, 3, 213029, 96609, 0, 0, 55791, 55791, 0, 0, 0, 287216, 576352, 421.252991, 207.232269, 1339338
41064, 7, 5, 209292, 98654, 0, 0, 55791, 55791, 0, 0, 0, 525733, 578784, 406.074402, 283.994293, 1380401
111461, 6, 1, 264272, 90306, 0, 0, 55791, 55792, 0, 0, 0, 414839, 578445, 439.848633, 226.505020, 1491861
37365, 5, 2, 221427, 89529, 0, 0, 55791, 55791, 0, 0, 0, 296527, 576658, 366.450745, 210.800079, 1529225
38919, 6, 20, 193483, 115930, 0, 0, 55791, 55791, 0, 0, 0, 389032, 578269, 365.801086, 219.827896, 1568143
40093, 6, 21, 214449, 88405, 0, 0, 55791, 55791, 0, 0, 0, 459238, 578805, 332.730896, 238.040848, 1608234
41262, 7, 5, 195735, 114746, 0, 0, 55791, 55791, 0, 0, 0, 519672, 578788, 408.092346, 265.024353, 1649494
46145, 7, 5, 220441, 139878, 0, 0, 55791, 55791, 0, 0, 0, 534967, 578824, 457.155548, 264.025208, 1695638
30284, 7, 98, 186166, 87800, 0, 0, 55791, 55791, 0, 0, 0, 115605, 546277, 161.541153, 137.577896, 1725921
9844, 6, 51, 72043, 11385, 0, 0, 55791, 55791, 0, 0, 0, 24858, 123610, 68.435043, 56.780586, 1735764
35145, 7, 18, 199037, 91236, 0, 0, 55791, 55791, 0, 0, 0, 290516, 576178, 273.375580, 183.246552, 1770908
45671, 6, 6, 208167, 141544, 0, 0, 55791, 55791, 0, 0, 0, 578859, 578859, 467.522766, 320.937531, 1816578
124541, 6, 1, 272687, 196511, 0, 0, 55791, 55792, 0, 0, 0, 572991, 578824, 356.412689, 283.712799, 1941118
35473, 7, 818, 226556, 89401, 0, 0, 55791, 55791, 0, 0, 0, 112595, 562760, 152.460999, 147.246307, 1976590
41302, 6, 5, 249644, 102146, 0, 0, 55791, 55791, 0, 0, 0, 328123, 577267, 404.094360, 231.156464, 2017891
41280, 6, 4, 235048, 79600, 0, 0, 55791, 55791, 0, 0, 0, 401186, 577888, 336.885132, 217.473221, 2059170
45685, 7, 14, 221897, 131926, 0, 0, 55791, 55791, 0, 0, 0, 546878, 578831, 409.043915, 269.029541, 2104854
38442, 7, 4, 215070, 92537, 0, 0, 55791, 55791, 0, 0, 0, 362102, 577878, 453.991760, 229.691208, 2143295
33225, 7, 795, 184524, 96253, 0, 0, 55791, 55791, 0, 0, 0, 174582, 568762, 169.502441, 169.502441, 2176519
45012, 5, 11, 221778, 118469, 0, 0, 55791, 55791, 0, 0, 0, 578865, 578865, 442.951111, 348.267395, 2221530
43960, 7, 26, 218279, 119131, 0, 0, 55791, 55791, 0, 0, 0, 520247, 578876, 418.309235, 288.034302, 2265489
48753, 6, 9, 225996, 149162, 0, 0, 55791, 55791, 0, 0, 0, 578862, 578862, 413.778717, 323.682526, 2314239
43602, 6, 86, 221342, 118837, 0, 0, 55791, 55791, 0, 0, 0, 524925, 578983, 374.630981, 308.801544, 2357840
46497, 7, 10, 209255, 148131, 0, 0, 55791, 55791, 0, 0, 0, 578862, 578862, 487.464874, 346.626892, 2404336
47107, 6, 11, 221482, 121433, 0, 0, 55791, 55791, 0, 0, 0, 578864, 578864, 455.664825, 344.637634, 2451442
49948, 6, 538, 256030, 132626, 0, 0, 55791, 55791, 0, 0, 0, 579911, 579911, 348.116943, 324.062988, 2501389
42914, 6, 66, 220483, 123155, 0, 0, 55791, 55791, 0, 0, 0, 512017, 578945, 372.285767, 284.234650, 2544302
47078, 6, 9, 219844, 153231, 0, 0, 55791, 55791, 0, 0, 0, 570460, 578864, 400.575500, 329.938477, 2591379
46792, 6, 815, 212248, 156063, 0, 0, 55791, 55791, 0, 0, 0, 557552, 580392, 358.739166, 311.169556, 2638170
38039, 6, 653, 205001, 103933, 0, 0, 55791, 55791, 0, 0, 0, 319113, 576568, 197.448776, 197.448776, 2676208
41073, 6, 581, 211169, 109102, 0, 0, 55791, 55791, 0, 0, 0, 406704, 578649, 248.643158, 237.759842, 2717280
47295, 6, 11, 228606, 129755, 0, 0, 55791, 55791, 0, 0, 0, 578862, 578862, 452.385803, 365.339172, 2764574
42716, 7, 6183, 212179, 96364, 0, 0, 55791, 55791, 0, 0, 0, 268744, 584117, 166.867004, 166.867004, 2807289
27644, 7, 6332, 127370, 75533, 0, 0, 55791, 55791, 0, 0, 0, 91324, 296316, 104.061790, 102.355576, 2834931
36040, 6, 3907, 187958, 106975, 0, 0, 55791, 55791, 0, 0, 0, 124417, 451865, 128.163177, 128.163177, 2870969
37395, 7, 107, 228476, 92171, 0, 0, 55791, 55791, 0, 0, 0, 271088, 574891, 209.103867, 198.123199, 2908363
45470, 6, 16, 219431, 128864, 0, 0, 55791, 55791, 0, 0, 0, 570511, 578873, 405.783691, 314.937042, 2953831
22391, 6, 6205, 90853, 59039, 0, 0, 55791, 55791, 0, 0, 0, 90912, 252426, 92.929413, 92.929413, 2976220
44661, 7, 8, 212051, 118251, 0, 0, 55791, 55791, 0, 0, 0, 567669, 578858, 422.540894, 328.016296, 3020879
34264, 7, 7438, 165680, 72275, 0, 0, 55791, 55791, 0, 0, 0, 125131, 423383, 119.799187, 119.799187, 3055142
43630, 20, 30, 210960, 131975, 0, 0, 55791, 55791, 0, 0, 0, 575206, 578890, 385.229767, 324.688477, 3098770
42695, 7, 1480, 224628, 109575, 0, 0, 55791, 55791, 0, 0, 0, 405044, 580326, 238.355896, 238.355896, 3141463
7540, 6, 429, 70847, 206, 0, 0, 55791, 55791, 0, 0, 0, 1815, 48716, 11.634785, 11.634785, 3149002
45030, 6, 100, 229122, 127582, 0, 0, 55791, 55791, 0, 0, 0, 514678, 578973, 363.307709, 317.657410, 3194030
44980, 6, 6487, 218797, 113934, 0, 0, 55791, 55791, 0, 0, 0, 308511, 586845, 185.109909, 181.769363, 3239008
8749, 6, 1064, 73505, 2854, 0, 0, 55791, 55791, 0, 0, 0, 9152, 90584, 40.280838, 40.280838, 3247755
37892, 7, 6, 221195, 97082, 0, 0, 55791, 55791, 0, 0, 0, 270107, 575894, 332.676178, 223.550507, 3285646
22818, 7, 10, 199872, 79883, 0, 0, 55791, 55791, 0, 0, 0, 5339, 174215, 257.011444, 97.374504, 3308463
35272, 7, 4, 213306, 105502, 0, 0, 55791, 55791, 0, 0, 0, 203890, 573592, 264.052124, 201.451126, 3343734
30892, 7, 2, 216991, 86705, 0, 0, 55791, 55791, 0, 0, 0, 46129, 549695, 466.380096, 145.311829, 3374625
31608, 7, 6, 195085, 95111, 0, 0, 55791, 55791, 0, 0, 0, 156418, 570268, 262.591827, 179.708435, 3406232
31090, 7, 6, 205308, 86751, 0, 0, 55791, 55791, 0, 0, 0, 96609, 562849, 232.248138, 179.114288, 3437321
32066, 7, 5, 194345, 110109, 0, 0, 55791, 55791, 0, 0, 0, 122099, 566816, 299.081482, 151.605499, 3469386
30329, 7, 9, 210243, 87022, 0, 0, 55791, 55791, 0, 0, 0, 59284, 552006, 306.824432, 147.383606, 3499714
17662, 6, 3, 158151, 66267, 0, 0, 55791, 55791, 0, 0, 0, 513, 111381, 196.912231, 59.317764, 3517375
29230, 6, 9, 209291, 89279, 0, 0, 55791, 55791, 0, 0, 0, 33874, 449301, 201.587677, 124.629082, 3546604
23255, 6, 64, 165775, 77535, 0, 0, 55791, 55791, 0, 0, 0, 11333, 475615, 178.062286, 138.902191, 3569857
35330, 6, 33, 201033, 119331, 0, 0, 55791, 55791, 0, 0, 0, 205058, 572277, 258.154999, 178.013763, 3605185
26404, 7, 4, 190681, 72267, 0, 0, 55791, 55791, 0, 0, 0, 17917, 522607, 392.420380, 154.641754, 3631588
22686, 7, 2, 198911, 91143, 0, 0, 55791, 55791, 0, 0, 0, 1149, 158010, 462.005188, 85.683334, 3654272
8568, 6, 65, 80424, 10253, 0, 0, 55791, 55791, 0, 0, 0, 829, 118896, 95.023132, 76.288124, 3662839
28862, 6, 2, 214559, 76297, 0, 0, 55791, 55791, 0, 0, 0, 40309, 538627, 507.303497, 158.870712, 3691700
12612, 6, 12, 116162, 34813, 0, 0, 55791, 55791, 0, 0, 0, 134, 125967, 165.291000, 74.649689, 3704311
33277, 6, 6, 196717, 102091, 0, 0, 55791, 55791, 0, 0, 0, 196446, 572909, 281.039001, 190.694778, 3737587
28431, 6, 6, 186992, 86808, 0, 0, 55791, 55791, 0, 0, 0, 46529, 548968, 181.204269, 148.768829, 3766017
16914, 7, 5, 124524, 54134, 0, 0, 55791, 55791, 0, 0, 0, 920, 335082, 144.571945, 125.429077, 3782930
30237, 7, 3, 188565, 88364, 0, 0, 55791, 55791, 0, 0, 0, 141160, 569415, 233.904434, 153.735794, 3813166
10007, 6, 17, 86251, 19306, 0, 0, 55791, 55791, 0, 0, 0, 1209, 138305, 123.220634, 78.031616, 3823172
8641, 6, 16, 74561, 3139, 0, 0, 55791, 55791, 0, 0, 0, 53, 2946, 82.674957, 22.507212, 3831811
6487, 6, 20, 65038, 824, 0, 0, 55791, 55791, 0, 0, 0, 97, 53106, 39.083885, 33.324364, 3838297
9069, 6, 5, 76265, 18636, 0, 0, 55791, 55791, 0, 0, 0, 243, 133322, 94.835670, 75.512810, 3847365
7499, 6, 30, 66843, 1448, 0, 0, 55791, 55791, 0, 0, 0, 31, 56838, 42.952423, 34.875458, 3854863
24320, 7, 7, 207972, 85450, 0, 0, 55791, 55791, 0, 0, 0, 966, 250076, 257.273010, 112.667503, 3879181
10283, 7, 17, 88001, 15401, 0, 0, 55791, 55791, 0, 0, 0, 760, 175033, 104.580925, 93.751831, 3889462
38895.850000, 6.380000, 450.330000, 195738.740000, 98214.650000, 0.000000, 0.000000, 55791, 55791.050000, 0.000000, 0.000000, 0.000000, 317854.250000, 492744.790000, 312.913971, 210.943419, 3889462.000000
