querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
80038, 3, 55, 1026405, 329106, 0, 0, 61627, 61627, 0, 0, 0, 4001045, 4091267, 309.309937, 243.993103, 80037
63844, 6, 256, 458439, 375147, 0, 0, 61627, 61627, 0, 0, 0, 4086698, 4091601, 352.672119, 150.606812, 143880
60212, 3, 655, 368692, 393366, 0, 0, 61627, 61627, 0, 0, 0, 4088833, 4093371, 333.844757, 218.079269, 204091
58622, 2, 42, 363366, 415873, 0, 0, 61627, 61627, 0, 0, 0, 4077749, 4091323, 324.593140, 214.058029, 262713
58119, 2, 33, 354878, 470535, 0, 0, 61627, 61627, 0, 0, 0, 4089742, 4091305, 334.643250, 239.503174, 320831
59878, 3, 27, 366607, 491334, 0, 0, 61627, 61627, 0, 0, 0, 4071819, 4091293, 303.624939, 196.681717, 380709
54681, 2, 7, 361934, 427882, 0, 0, 61627, 61627, 0, 0, 0, 4090634, 4091253, 362.823486, 228.887680, 435390
62270, 7, 154, 487422, 319736, 0, 0, 61627, 61627, 0, 0, 0, 4083402, 4091476, 305.452301, 234.888672, 497659
52942, 2, 9, 363003, 497707, 0, 0, 61627, 61627, 0, 0, 0, 3858963, 4091186, 430.080200, 160.424622, 550600
57251, 2, 41, 356758, 462569, 0, 0, 61627, 61627, 0, 0, 0, 4090281, 4091317, 381.018433, 231.059952, 607851
57933, 3, 69, 354748, 482348, 0, 0, 61627, 61627, 0, 0, 0, 3898345, 4091334, 263.975372, 178.847946, 665783
39103, 2, 1112, 368497, 261054, 0, 0, 61627, 61627, 0, 0, 0, 3138965, 4095215, 140.307770, 113.034195, 704886
59736, 2, 100, 360067, 481955, 0, 0, 61627, 61627, 0, 0, 0, 4081621, 4091523, 372.319458, 229.595108, 764622
55844, 3, 308, 364354, 413123, 0, 0, 61627, 61627, 0, 0, 0, 3881621, 4092081, 297.655304, 175.587921, 820465
45129, 3, 26, 362528, 379992, 0, 0, 61627, 61627, 0, 0, 0, 3982752, 4091264, 307.859467, 165.262955, 865592
