querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1148595, 6, 517, 461320, 119954, 0, 0, 66099, 66099, 0, 0, 0, 78894230, 87324371, 291.863983, 217.268494, 1148594
690439, 6, 3467, 348714, 101880, 0, 0, 66099, 66099, 0, 0, 0, 60059158, 87329653, 211.878784, 147.639908, 1839032
566223, 7, 3286, 282819, 95477, 0, 0, 66099, 66099, 0, 0, 0, 50610154, 87330153, 151.989075, 124.486542, 2405254
764258, 7, 2871, 288814, 107536, 0, 0, 66099, 66099, 0, 0, 0, 70606879, 87328983, 231.285492, 184.155121, 3169511
149033, 3, 178, 315648, 97462, 0, 0, 66099, 66077, 0, 0, 0, 2646007, 79253381, 198.802704, 120.844978, 3318544
534425, 3, 2286, 316249, 94120, 0, 0, 66099, 66099, 0, 0, 0, 50513071, 87331352, 151.196609, 127.045845, 3852968
755979, 3, 535, 344155, 113774, 0, 0, 66099, 66099, 0, 0, 0, 65625435, 87324949, 244.699921, 167.251038, 4608946
473416, 2, 115, 316594, 94695, 0, 0, 66099, 66099, 0, 0, 0, 44464411, 87171671, 214.232101, 154.674896, 5082362
661075, 2, 2020, 308337, 101921, 0, 0, 66099, 66099, 0, 0, 0, 65792035, 87330068, 221.092651, 162.522446, 5743437
21870, 2, 621, 165258, 31203, 0, 0, 66099, 65525, 0, 0, 0, 4065, 6855800, 68.159622, 41.256969, 5765306
712661, 3, 2862, 348957, 109911, 0, 0, 66099, 66099, 0, 0, 0, 65866248, 87331910, 200.720367, 165.862076, 6477967
889180, 6, 724, 314833, 122906, 0, 0, 66099, 66099, 0, 0, 0, 71050036, 87324663, 230.407440, 184.297760, 7367146
696556, 8, 2251, 292339, 106821, 0, 0, 66099, 66099, 0, 0, 0, 64402549, 87327626, 214.676056, 157.931213, 8063700
603880, 7, 942, 293015, 100329, 0, 0, 66099, 66099, 0, 0, 0, 58152530, 87325089, 232.721741, 130.274887, 8667578
532919, 7, 4832, 292371, 90992, 0, 0, 66099, 66099, 0, 0, 0, 54672408, 87334033, 157.808243, 127.069702, 9200496
783491, 7, 96, 282344, 117144, 0, 0, 66099, 66099, 0, 0, 0, 66548964, 87323555, 253.843521, 179.548904, 9983986
621275, 6, 4906, 290074, 100196, 0, 0, 66099, 66099, 0, 0, 0, 63010622, 87334168, 192.918060, 170.973923, 10605259
1090696, 2, 219, 335879, 127131, 0, 0, 66099, 66099, 0, 0, 0, 81927588, 87324163, 256.000031, 248.867752, 11695954
553484, 7, 234, 287580, 88492, 0, 0, 66099, 66099, 0, 0, 0, 64031642, 87323793, 297.937683, 143.385269, 12249437
900767, 6, 1481, 293351, 124613, 0, 0, 66099, 66099, 0, 0, 0, 72116880, 87326064, 267.739288, 205.413025, 13150203
741891, 6, 483, 285990, 111109, 0, 0, 66099, 66099, 0, 0, 0, 69166358, 87324287, 206.943054, 182.777618, 13892092
744511, 7, 302, 281419, 111733, 0, 0, 66099, 66099, 0, 0, 0, 67710138, 87323921, 247.223083, 190.047455, 14636601
703922, 6, 1400, 319704, 104639, 0, 0, 66099, 66099, 0, 0, 0, 70819862, 87325984, 224.382492, 175.201584, 15340522
585403, 6, 384, 290761, 97489, 0, 0, 66099, 66099, 0, 0, 0, 57664372, 87324098, 205.419724, 141.163986, 15925923
759793, 7, 1324, 294235, 108054, 0, 0, 66099, 66099, 0, 0, 0, 71692481, 87326141, 196.174866, 171.076935, 16685714
857473, 6, 1243, 348722, 117099, 0, 0, 66099, 66099, 0, 0, 0, 74123248, 87325710, 201.524429, 201.524429, 17543186
696100, 7, 1826, 295066, 107595, 0, 0, 66099, 66099, 0, 0, 0, 66072922, 87326883, 199.860397, 162.945328, 18239285
744017, 6, 2533, 315292, 104111, 0, 0, 66099, 66099, 0, 0, 0, 75388797, 87328229, 242.773636, 194.481155, 18983300
832551, 7, 908, 301809, 113911, 0, 0, 66099, 66099, 0, 0, 0, 75925617, 87325042, 263.728088, 209.982590, 19815849
675320, 7, 1114, 309687, 99212, 0, 0, 66099, 66099, 0, 0, 0, 66562206, 87325482, 235.836639, 157.164444, 20491168
564917, 7, 1556, 334877, 88115, 0, 0, 66099, 66099, 0, 0, 0, 65542549, 87326532, 205.677307, 131.958099, 21056084
753925, 7, 1338, 317223, 106981, 0, 0, 66099, 66099, 0, 0, 0, 75043401, 87325883, 208.115173, 176.389191, 21810007
673294, 6, 455, 284172, 106560, 0, 0, 66099, 66099, 0, 0, 0, 62338377, 87324152, 252.427536, 175.430099, 22483300
677603, 7, 2201, 287306, 105673, 0, 0, 66099, 66099, 0, 0, 0, 63780319, 87327965, 192.520355, 191.212799, 23160902
677641, 7, 544, 276040, 105210, 0, 0, 66099, 66099, 0, 0, 0, 67025300, 87324370, 206.470596, 163.357971, 23838541
771448, 7, 910, 280825, 110822, 0, 0, 66099, 66099, 0, 0, 0, 73026099, 87325032, 259.005829, 183.865067, 24609987
442692, 7, 633, 292444, 102237, 0, 0, 66099, 66099, 0, 0, 0, 36361023, 87302624, 172.569839, 154.893814, 25052678
627722, 6, 1223, 281339, 93199, 0, 0, 66099, 66099, 0, 0, 0, 71144369, 87325743, 224.517319, 174.735184, 25680399
639593, 7, 445, 279372, 103200, 0, 0, 66099, 66099, 0, 0, 0, 57703736, 87299345, 289.013641, 174.501190, 26319990
839198, 7, 827, 337896, 114376, 0, 0, 66099, 66099, 0, 0, 0, 76072248, 87324841, 268.337158, 190.393585, 27159186
555387, 7, 5365, 287536, 102024, 0, 0, 66099, 66099, 0, 0, 0, 50223956, 87245302, 171.117844, 106.782005, 27714572
619641, 7, 181, 278362, 101171, 0, 0, 66099, 66099, 0, 0, 0, 61916760, 87323697, 261.549561, 163.529907, 28334211
604336, 7, 703, 283153, 96286, 0, 0, 66099, 66099, 0, 0, 0, 64134231, 87324664, 259.886200, 140.182251, 28938546
446385, 7, 1195, 294403, 99001, 0, 0, 66099, 66099, 0, 0, 0, 36519630, 87325616, 139.311081, 119.883598, 29384930
370252, 3, 546, 340087, 99202, 0, 0, 66099, 66099, 0, 0, 0, 28415961, 87041001, 166.859177, 136.432861, 29755181
816926, 2, 1945, 311920, 115122, 0, 0, 66099, 66099, 0, 0, 0, 74696655, 87331143, 234.960526, 206.949310, 30572106
750029, 6, 210, 274896, 109696, 0, 0, 66099, 66099, 0, 0, 0, 67998478, 87323777, 235.023270, 175.126724, 31322134
652344, 6, 1409, 319727, 102349, 0, 0, 66099, 66099, 0, 0, 0, 65055255, 87326168, 194.876358, 155.385574, 31974476
350153, 7, 1529, 281746, 85807, 0, 0, 66099, 66099, 0, 0, 0, 31474681, 87214855, 197.248718, 109.062462, 32324628
550257, 7, 444, 277020, 93193, 0, 0, 66099, 66099, 0, 0, 0, 56235307, 87324179, 228.849457, 107.266907, 32874883
734202, 6, 1964, 293296, 107263, 0, 0, 66099, 66099, 0, 0, 0, 72930665, 87327002, 285.026062, 167.964569, 33609083
623131, 7, 620, 280829, 102275, 0, 0, 66099, 66099, 0, 0, 0, 60919061, 87324536, 199.991821, 176.333313, 34232213
848768, 7, 1031, 274580, 115581, 0, 0, 66099, 66099, 0, 0, 0, 76257692, 87325254, 287.209015, 192.752533, 35080980
799994, 6, 1326, 281003, 114199, 0, 0, 66099, 66099, 0, 0, 0, 75325178, 87325849, 280.932648, 209.436707, 35880973
646629, 6, 1159, 275550, 99377, 0, 0, 66099, 66099, 0, 0, 0, 65473220, 87325666, 224.376175, 125.747108, 36527601
860204, 6, 175, 312506, 117474, 0, 0, 66099, 66099, 0, 0, 0, 76262562, 87323684, 318.445190, 209.595230, 37387803
606190, 6, 2322, 278844, 103456, 0, 0, 66099, 66099, 0, 0, 0, 56857383, 87327871, 147.187531, 115.334541, 37993991
749632, 7, 267, 282225, 109913, 0, 0, 66099, 66099, 0, 0, 0, 71575469, 87323859, 309.612701, 186.990906, 38743622
601088, 6, 1390, 279233, 94679, 0, 0, 66099, 66099, 0, 0, 0, 62357499, 87326311, 189.024353, 136.315247, 39344708
921438, 6, 1201, 273765, 115671, 0, 0, 66099, 66099, 0, 0, 0, 80043138, 87325638, 239.386841, 224.671631, 40266145
759139, 6, 5632, 291377, 110076, 0, 0, 66099, 66099, 0, 0, 0, 70228675, 87334123, 215.573486, 180.247009, 41025283
232589, 8, 2722, 306026, 93268, 0, 0, 66099, 66099, 0, 0, 0, 12735187, 86724871, 147.922897, 118.555550, 41257871
596304, 7, 653, 276823, 92509, 0, 0, 66099, 66099, 0, 0, 0, 65212240, 87324651, 193.594437, 138.261108, 41854174
737367, 7, 3781, 288145, 110044, 0, 0, 66099, 66099, 0, 0, 0, 66443853, 87330946, 198.420609, 188.258484, 42591540
778619, 7, 480, 277730, 112342, 0, 0, 66099, 66099, 0, 0, 0, 74528934, 87324252, 282.578094, 187.001068, 43370158
529352, 6, 3126, 295025, 92830, 0, 0, 66099, 66099, 0, 0, 0, 54041408, 87329719, 178.071777, 114.894836, 43899509
987378, 7, 373, 274584, 122317, 0, 0, 66099, 66099, 0, 0, 0, 81514451, 87324067, 314.332092, 221.502960, 44886886
505071, 7, 1462, 275613, 88600, 0, 0, 66099, 66099, 0, 0, 0, 53722852, 87326204, 209.781631, 107.997246, 45391956
570215, 7, 636, 279486, 93820, 0, 0, 66099, 66099, 0, 0, 0, 60180007, 87324600, 180.790710, 123.035782, 45962169
730426, 7, 2615, 280287, 106535, 0, 0, 66099, 66099, 0, 0, 0, 72437333, 87328450, 246.001312, 167.876678, 46692593
779251, 7, 335, 278063, 108881, 0, 0, 66099, 66099, 0, 0, 0, 76671166, 87323980, 300.811188, 186.172546, 47471842
821696, 6, 2347, 280368, 109630, 0, 0, 66099, 66099, 0, 0, 0, 76184436, 87327838, 256.238464, 191.371338, 48293537
619875, 7, 265, 324689, 94897, 0, 0, 66099, 66099, 0, 0, 0, 65678225, 87323860, 272.226410, 151.143890, 48913410
