querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
174, 3, 170, 0, 0, 0, 0, 67008, 0, 0, 0, 0, 273, 482, 0.000000, 0.000000, 173
428014, 1, 1894, 1287814, 97122, 0, 0, 67008, 67008, 0, 0, 0, 94806878, 100005178, 46.257011, 34.549793, 428187
657, 2, 654, 0, 0, 0, 0, 67008, 0, 0, 0, 0, 1987, 8116, 46.257011, 0.000000, 428844
247081, 1, 231, 435080, 76239, 0, 0, 67008, 67008, 0, 0, 0, 44037133, 100000855, 64.488976, 38.919632, 675924
1387, 6, 1380, 0, 0, 0, 0, 67008, 0, 0, 0, 0, 2617, 5244, 64.488976, 0.000000, 677310
1100, 4, 1094, 0, 0, 0, 0, 67008, 0, 0, 0, 0, 2359, 3449, 64.488976, 0.000000, 678409
113808, 4, 900, 398342, 145525, 0, 0, 67008, 67008, 0, 0, 0, 3104091, 98733401, 38.680466, 15.690112, 792216
301, 2, 299, 0, 0, 0, 0, 67008, 0, 0, 0, 0, 1016, 1723, 38.680466, 0.000000, 792517
383626, 1, 520, 461302, 83364, 0, 0, 67008, 67008, 0, 0, 0, 95604673, 100002197, 63.670261, 42.899731, 1176143
360087, 2, 1903, 452455, 125162, 0, 0, 67008, 67008, 0, 0, 0, 90582025, 100008325, 35.166306, 35.166306, 1536229
371621, 2, 314, 441712, 109848, 0, 0, 67008, 67008, 0, 0, 0, 92892156, 100001289, 87.720703, 36.619648, 1907849
67227, 2, 1421, 324120, 71062, 0, 0, 67008, 66880, 0, 0, 0, 602927, 65359000, 11.885862, 11.109506, 1975076
114483, 2, 585, 454008, 191939, 0, 0, 67008, 67008, 0, 0, 0, 6886032, 99999487, 67.710678, 15.164784, 2089559
380560, 2, 1266, 441719, 93795, 0, 0, 67008, 67008, 0, 0, 0, 97589328, 100005349, 101.120735, 37.922192, 2470118
81403, 2, 582, 437910, 183733, 0, 0, 67008, 67008, 0, 0, 0, 698431, 81962771, 48.182453, 13.402409, 2551521
371649, 2, 397, 440358, 81992, 0, 0, 67008, 67008, 0, 0, 0, 94890900, 100001517, 63.931805, 51.779781, 2923170
65348, 2, 497, 420902, 169315, 0, 0, 67008, 67008, 0, 0, 0, 344952, 68813900, 19.833670, 10.243480, 2988518
