querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
473479, 4, 264, 429458, 78405, 0, 0, 65927, 65927, 0, 0, 0, 72081210, 100000908, 84.019417, 63.475746, 473477
27009, 12, 1875, 121609, 27555, 0, 0, 65927, 65557, 0, 0, 0, 90840, 14269201, 22.958139, 15.619765, 500480
67793, 14, 1720, 160799, 65024, 0, 0, 65927, 65779, 0, 0, 0, 1039869, 40512062, 25.252539, 22.877386, 568267
13162, 13, 1012, 125299, 701, 0, 0, 65927, 65605, 0, 0, 0, 5969, 2673829, 1.618671, 1.379703, 581422
266008, 12, 904, 303778, 99111, 0, 0, 65927, 65927, 0, 0, 0, 21947653, 100002225, 75.934006, 63.104500, 847425
27148, 13, 606, 128665, 42994, 0, 0, 65927, 65667, 0, 0, 0, 252331, 11335593, 9.477120, 5.833897, 874567
23641, 13, 268, 133788, 63941, 0, 0, 65927, 65665, 0, 0, 0, 18020, 8926722, 10.559641, 4.495729, 898203
151182, 13, 722, 292001, 73181, 0, 0, 65927, 65927, 0, 0, 0, 4988357, 99919844, 74.772697, 36.586964, 1049379
41968, 14, 4410, 129352, 19031, 0, 0, 65927, 65583, 0, 0, 0, 215347, 21515557, 14.170472, 13.834515, 1091340
115051, 14, 667, 277129, 114022, 0, 0, 65927, 65927, 0, 0, 0, 523784, 87995834, 28.921520, 22.127977, 1206385
294026, 13, 1191, 312177, 88430, 0, 0, 65927, 65927, 0, 0, 0, 33320924, 100003762, 65.897911, 58.902103, 1500405
47242, 12, 502, 187607, 94516, 0, 0, 65927, 65849, 0, 0, 0, 241878, 29659482, 30.019859, 17.210236, 1547642
76529, 14, 488, 228794, 132128, 0, 0, 65927, 65883, 0, 0, 0, 319583, 55294124, 60.849716, 40.741020, 1624165
78208, 12, 405, 267896, 143933, 0, 0, 65927, 65915, 0, 0, 0, 807063, 49939898, 59.670055, 31.880358, 1702368
40937, 13, 5006, 136211, 54968, 0, 0, 65927, 65687, 0, 0, 0, 415304, 19734099, 15.501808, 10.445631, 1743299
322944, 13, 238, 286306, 86367, 0, 0, 65927, 65927, 0, 0, 0, 36720471, 100000514, 88.249863, 71.535187, 2066237
83135, 14, 795, 239119, 121412, 0, 0, 65927, 65837, 0, 0, 0, 1308307, 52868251, 36.672108, 23.247166, 2149366
93284, 12, 920, 222096, 87516, 0, 0, 65927, 65817, 0, 0, 0, 321035, 71565504, 29.765179, 26.051794, 2242645
25754, 13, 686, 121618, 21185, 0, 0, 65927, 65609, 0, 0, 0, 18847, 12725760, 6.380647, 5.066967, 2268394
109654, 14, 1798, 247524, 62840, 0, 0, 65927, 65873, 0, 0, 0, 371560, 84767387, 30.577793, 30.577793, 2378042
133564, 13, 2818, 277882, 104895, 0, 0, 65927, 65917, 0, 0, 0, 3612830, 84227987, 51.457451, 41.077839, 2511600
125513, 12, 546, 258224, 70170, 0, 0, 65927, 65927, 0, 0, 0, 1545930, 98472682, 32.188385, 29.387695, 2637107
129335, 12, 305, 266629, 69397, 0, 0, 65927, 65921, 0, 0, 0, 1852472, 99647848, 32.041988, 32.041988, 2766436
312125, 13, 67, 282766, 78928, 0, 0, 65927, 65927, 0, 0, 0, 34049557, 100000078, 120.826401, 66.867790, 3078555
46524, 13, 519, 156721, 61100, 0, 0, 65927, 65647, 0, 0, 0, 334982, 29140983, 35.416260, 29.515297, 3125073
79610, 12, 356, 247425, 107844, 0, 0, 65927, 65901, 0, 0, 0, 1216692, 50619897, 32.084396, 22.878397, 3204677
70757, 13, 647, 208376, 97113, 0, 0, 65927, 65767, 0, 0, 0, 974714, 45197931, 40.742104, 31.210968, 3275428
85375, 13, 870, 247071, 109715, 0, 0, 65927, 65903, 0, 0, 0, 934915, 58852604, 33.536686, 19.422846, 3360797
165258, 14, 1232, 272801, 77330, 0, 0, 65927, 65927, 0, 0, 0, 7095398, 100004274, 52.919609, 37.927917, 3526049
85614, 13, 488, 258081, 120476, 0, 0, 65927, 65907, 0, 0, 0, 509544, 62033377, 44.077560, 30.085695, 3611656
131910, 13, 920, 239710, 66722, 0, 0, 65927, 65915, 0, 0, 0, 3804817, 94241355, 33.502525, 33.502525, 3743560
120678, 13, 429, 250638, 121349, 0, 0, 65927, 65913, 0, 0, 0, 3048560, 80460457, 44.450825, 26.450653, 3864231
151055, 13, 1071, 260932, 83309, 0, 0, 65927, 65927, 0, 0, 0, 6505088, 98681432, 49.433193, 27.691145, 4015280
132034, 13, 1066, 248393, 73923, 0, 0, 65927, 65927, 0, 0, 0, 3384463, 95044844, 39.924416, 37.375439, 4147308
68349, 14, 791, 204769, 94404, 0, 0, 65927, 65783, 0, 0, 0, 504103, 46526232, 39.531242, 28.364965, 4215650
126025, 14, 302, 252276, 101559, 0, 0, 65927, 65927, 0, 0, 0, 3244978, 86926331, 58.256592, 45.796955, 4341668
148567, 14, 2196, 264420, 79519, 0, 0, 65927, 65927, 0, 0, 0, 5468930, 98520465, 47.752422, 38.491802, 4490228
45714, 13, 1263, 211540, 99563, 0, 0, 65927, 65871, 0, 0, 0, 702464, 21754190, 42.861408, 19.885527, 4535936
76304, 14, 266, 237968, 143459, 0, 0, 65927, 65901, 0, 0, 0, 763685, 49414703, 37.966198, 23.294699, 4612234
78674, 14, 2680, 208533, 73920, 0, 0, 65927, 65777, 0, 0, 0, 593467, 50518366, 21.603615, 20.266809, 4690901
39204, 14, 4639, 124116, 14518, 0, 0, 65927, 65673, 0, 0, 0, 312772, 18391240, 9.907229, 9.907229, 4730099
50069, 14, 719, 166967, 71346, 0, 0, 65927, 65745, 0, 0, 0, 432889, 27894333, 16.015375, 8.544142, 4780162
76195, 13, 3930, 195211, 62983, 0, 0, 65927, 65713, 0, 0, 0, 397924, 50211269, 31.527088, 26.806427, 4856351
39965, 13, 3331, 127999, 37760, 0, 0, 65927, 65723, 0, 0, 0, 286670, 20375065, 23.210083, 19.644117, 4896310
71110, 12, 3305, 239427, 106238, 0, 0, 65927, 65779, 0, 0, 0, 1113889, 40708967, 31.456142, 18.145279, 4967415
24839, 13, 2636, 120808, 20914, 0, 0, 65927, 65543, 0, 0, 0, 142571, 8996168, 11.624352, 8.480999, 4992248
74806, 13, 1501, 188713, 49921, 0, 0, 65927, 65695, 0, 0, 0, 425687, 50548879, 24.083067, 23.659222, 5067047
84049, 13, 2651, 237388, 107530, 0, 0, 65927, 65879, 0, 0, 0, 1102342, 53031780, 31.416445, 24.464020, 5151091
57652, 13, 952, 166301, 66870, 0, 0, 65927, 65741, 0, 0, 0, 180013, 36603496, 22.679235, 20.257473, 5208737
138221, 12, 582, 275075, 77516, 0, 0, 65927, 65927, 0, 0, 0, 3368831, 99318797, 37.092773, 35.007515, 5346953
22026, 13, 3525, 120259, 4380, 0, 0, 65927, 65601, 0, 0, 0, 105195, 7040681, 1.644775, 1.420928, 5368972
57641, 14, 2929, 156844, 52781, 0, 0, 65927, 65645, 0, 0, 0, 234141, 32295825, 13.804220, 12.315029, 5426607
156109, 13, 388, 288373, 75663, 0, 0, 65927, 65927, 0, 0, 0, 5425634, 100000562, 81.083229, 43.711166, 5582711
22848, 14, 1973, 126206, 34269, 0, 0, 65927, 65541, 0, 0, 0, 80795, 7585173, 12.483856, 7.718981, 5605552
25049, 13, 2640, 125980, 9632, 0, 0, 65927, 65687, 0, 0, 0, 97961, 9225923, 15.185806, 11.161049, 5630596
22747, 12, 2761, 124851, 47054, 0, 0, 65927, 65587, 0, 0, 0, 106685, 5956936, 21.583927, 10.771918, 5653338
78302, 12, 253, 184331, 42217, 0, 0, 65927, 65749, 0, 0, 0, 1444975, 49881610, 27.857315, 23.450176, 5731635
35699, 13, 2540, 124921, 18612, 0, 0, 65927, 65543, 0, 0, 0, 42750, 18407342, 21.402870, 20.467262, 5767328
92245, 14, 172, 273098, 128210, 0, 0, 65927, 65921, 0, 0, 0, 1223025, 62736525, 74.762054, 40.854145, 5859567
177015, 14, 2506, 311920, 77693, 0, 0, 65927, 65927, 0, 0, 0, 10300112, 99991336, 55.892891, 44.894566, 6036576
87857, 13, 893, 220775, 93109, 0, 0, 65927, 65819, 0, 0, 0, 1309624, 58010198, 34.249393, 27.167603, 6124427
185969, 13, 1329, 295692, 84362, 0, 0, 65927, 65927, 0, 0, 0, 9457664, 100003864, 56.104851, 43.701881, 6310390
68829, 13, 1454, 213882, 120615, 0, 0, 65927, 65725, 0, 0, 0, 816432, 40208444, 14.996403, 10.062118, 6379213
58585, 14, 1414, 171650, 64311, 0, 0, 65927, 65749, 0, 0, 0, 349064, 37776330, 20.113935, 11.256147, 6437791
72302, 14, 1432, 220222, 105729, 0, 0, 65927, 65703, 0, 0, 0, 831555, 42029979, 25.302277, 17.082010, 6510087
179593, 13, 1317, 310869, 77922, 0, 0, 65927, 65927, 0, 0, 0, 9506469, 99985674, 85.931297, 60.764183, 6689674
62987, 13, 437, 204166, 103607, 0, 0, 65927, 65783, 0, 0, 0, 357311, 39352942, 31.709700, 20.667313, 6752655
37036, 13, 2969, 122880, 44207, 0, 0, 65927, 65703, 0, 0, 0, 225104, 20113034, 12.238069, 8.756496, 6789685
88304, 14, 1662, 201988, 72488, 0, 0, 65927, 65699, 0, 0, 0, 1099557, 61707131, 32.042675, 27.980520, 6877983
95165, 14, 922, 261616, 120828, 0, 0, 65927, 65919, 0, 0, 0, 1069221, 67707480, 37.707016, 25.737633, 6973142
283967, 13, 633, 267653, 86997, 0, 0, 65927, 65927, 0, 0, 0, 30705513, 100001621, 75.087570, 66.571053, 7257103
245431, 13, 540, 283930, 85692, 0, 0, 65927, 65927, 0, 0, 0, 21726645, 100001269, 79.756111, 45.883957, 7502528
43676, 13, 2221, 134456, 47705, 0, 0, 65927, 65701, 0, 0, 0, 315110, 24506798, 10.135261, 8.093102, 7546197
135766, 14, 1258, 274794, 78914, 0, 0, 65927, 65919, 0, 0, 0, 2124662, 98907961, 28.444405, 25.153494, 7681956
37816, 14, 1922, 125617, 25123, 0, 0, 65927, 65691, 0, 0, 0, 161934, 20893466, 16.866159, 15.316307, 7719766
56502, 13, 983, 139024, 28640, 0, 0, 65927, 65665, 0, 0, 0, 49637, 38824212, 23.912151, 23.912151, 7776263
209546, 12, 3239, 308500, 88504, 0, 0, 65927, 65927, 0, 0, 0, 14712077, 100007909, 64.783875, 55.580883, 7985803
58162, 14, 1495, 250851, 148559, 0, 0, 65927, 65893, 0, 0, 0, 292683, 29580036, 23.080498, 11.137826, 8043958
25671, 13, 2909, 117971, 3722, 0, 0, 65927, 65671, 0, 0, 0, 114922, 11170991, 14.259866, 14.259866, 8069622
47672, 14, 3280, 140470, 51004, 0, 0, 65927, 65597, 0, 0, 0, 251571, 20511186, 11.497396, 9.653005, 8117288
77216, 13, 1167, 174578, 42835, 0, 0, 65927, 65703, 0, 0, 0, 1194949, 49919859, 21.320282, 20.589212, 8194498
342043, 14, 388, 308495, 96701, 0, 0, 65927, 65927, 0, 0, 0, 42150973, 100000868, 93.879898, 51.141273, 8536535
99099, 13, 4853, 209102, 66793, 0, 0, 65927, 65779, 0, 0, 0, 1366777, 65200926, 34.972614, 33.687199, 8635628
211577, 12, 1971, 295597, 81993, 0, 0, 65927, 65927, 0, 0, 0, 15531557, 100006592, 74.061020, 56.223366, 8847199
115657, 13, 716, 290669, 112632, 0, 0, 65927, 65921, 0, 0, 0, 1066756, 81042500, 39.640484, 27.322531, 8962850
110972, 13, 3178, 254947, 127855, 0, 0, 65927, 65911, 0, 0, 0, 1836715, 72530950, 43.038330, 33.781109, 9073815
12429, 13, 577, 123823, 876, 0, 0, 65927, 65533, 0, 0, 0, 30354, 2303812, 5.913039, 5.913039, 9086238
283418, 10, 891, 331513, 91808, 0, 0, 65927, 65927, 0, 0, 0, 31272224, 100003240, 79.356133, 64.881531, 9369652
121388, 13, 3748, 285666, 95007, 0, 0, 65927, 65905, 0, 0, 0, 1325994, 81444242, 39.723816, 34.176239, 9491034
143321, 13, 353, 276086, 88011, 0, 0, 65927, 65927, 0, 0, 0, 3284359, 97151918, 51.928078, 40.506710, 9634349
65746, 13, 3075, 191065, 97765, 0, 0, 65927, 65785, 0, 0, 0, 664230, 37308519, 23.487686, 17.292028, 9700088
21124, 13, 1561, 123986, 11224, 0, 0, 65927, 65651, 0, 0, 0, 109165, 7963222, 5.712125, 3.744519, 9721207
105989, 13, 437, 259497, 124236, 0, 0, 65927, 65927, 0, 0, 0, 572463, 76931419, 47.603336, 32.277138, 9827190
127508, 14, 899, 273900, 109776, 0, 0, 65927, 65919, 0, 0, 0, 4323002, 75891052, 56.679352, 48.002762, 9954692
65256, 13, 261, 170602, 65010, 0, 0, 65927, 65735, 0, 0, 0, 297553, 42960475, 22.555334, 16.459198, 10019942
79965, 13, 231, 174828, 91071, 0, 0, 65927, 65747, 0, 0, 0, 1524265, 49978500, 30.276785, 19.803768, 10099902
68245, 12, 1096, 203704, 99786, 0, 0, 65927, 65719, 0, 0, 0, 1585086, 36928205, 18.214859, 12.861610, 10168142
49830, 13, 555, 179718, 76891, 0, 0, 65927, 65747, 0, 0, 0, 216119, 28037307, 17.445440, 12.298956, 10217966
