querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
10957, 10, 60, 285991, 1132, 0, 0, 66476, 65536, 0, 0, 0, 2, 1706, 0.000000, 0.000000, 10952
18051, 12, 1883, 403158, 4811, 0, 0, 66476, 65536, 0, 0, 0, 1565, 44404, 0.003883, 0.003883, 28998
18375, 11, 1839, 430019, 4442, 0, 0, 66476, 65536, 0, 0, 0, 1565, 50293, 0.015523, 0.015523, 47368
13315, 7, 1335, 277547, 3813, 0, 0, 66476, 65536, 0, 0, 0, 1565, 57659, 0.034906, 0.034906, 60680
18559, 11, 1826, 420272, 2315, 0, 0, 66476, 65536, 0, 0, 0, 1565, 78493, 0.062013, 0.062013, 79235
18410, 11, 1814, 448912, 2342, 0, 0, 66476, 65536, 0, 0, 0, 1565, 87159, 0.096824, 0.096824, 97639
18401, 11, 1844, 420329, 2035, 0, 0, 66476, 65540, 0, 0, 0, 1565, 124645, 0.139316, 0.139316, 116035
12942, 7, 1154, 315316, 1786, 0, 0, 66476, 65540, 0, 0, 0, 1565, 203140, 0.189462, 0.189462, 128974
12480, 4, 757, 380884, 1440, 0, 0, 66476, 65540, 0, 0, 0, 1565, 247354, 0.247234, 0.247234, 141452
12351, 4, 560, 404527, 815, 0, 0, 66476, 65540, 0, 0, 0, 1565, 316323, 0.312600, 0.312600, 153801
12071, 4, 483, 420714, 380, 0, 0, 66476, 65542, 0, 0, 0, 1565, 427752, 0.385527, 0.385527, 165870
12595, 4, 477, 420182, 527, 0, 0, 66476, 65548, 0, 0, 0, 1565, 728191, 0.465978, 0.465978, 178462
12529, 5, 513, 345427, 532, 0, 0, 66476, 65552, 0, 0, 0, 1565, 999906, 0.553913, 0.553913, 190989
11547, 3, 475, 336726, 703, 0, 0, 66476, 65556, 0, 0, 0, 1565, 1329086, 0.649291, 0.649291, 202533
24000, 4, 932, 788488, 149662, 0, 0, 66476, 66476, 0, 0, 0, 460841, 1726659, 24.619120, 0.752068, 226530
21058, 8, 731, 542267, 172214, 0, 0, 66476, 66476, 0, 0, 0, 612720, 2291468, 24.525528, 0.862197, 247582
22572, 10, 1056, 448082, 176626, 0, 0, 66476, 66476, 0, 0, 0, 739701, 2891364, 24.438644, 0.979630, 270148
24739, 10, 1101, 405635, 191599, 0, 0, 66476, 66476, 0, 0, 0, 572116, 3556291, 24.358456, 1.104315, 294881
26284, 14, 1307, 451838, 198183, 0, 0, 66476, 66476, 0, 0, 0, 698834, 4311281, 24.284927, 1.236198, 321157
26801, 15, 1147, 424273, 189308, 0, 0, 66476, 66476, 0, 0, 0, 488162, 5172085, 24.218037, 1.375224, 347949
26103, 13, 929, 492968, 191613, 0, 0, 66476, 66476, 0, 0, 0, 746093, 6191031, 24.157751, 1.521335, 374044
28271, 12, 1143, 420492, 222901, 0, 0, 66476, 66476, 0, 0, 0, 525632, 7458852, 24.104044, 1.674471, 402308
33233, 12, 1237, 450781, 257173, 0, 0, 66476, 66476, 0, 0, 0, 662089, 8880781, 24.056873, 1.834570, 435534
33007, 17, 1496, 434523, 240152, 0, 0, 66476, 66476, 0, 0, 0, 626923, 10588878, 24.016207, 2.001568, 468532
29139, 9, 826, 486875, 242525, 0, 0, 66476, 66476, 0, 0, 0, 544700, 12360330, 23.982006, 2.175399, 497666
28874, 10, 880, 432432, 196063, 0, 0, 66476, 66476, 0, 0, 0, 510169, 14321348, 23.954231, 2.355994, 526534
30038, 11, 992, 377354, 190558, 0, 0, 66476, 66476, 0, 0, 0, 664927, 16149528, 23.932838, 2.543284, 556566
29288, 8, 810, 439688, 185693, 0, 0, 66476, 66476, 0, 0, 0, 777999, 17903249, 23.917786, 2.737198, 585849
30329, 10, 963, 368034, 219538, 0, 0, 66476, 66476, 0, 0, 0, 539644, 19640669, 23.909029, 2.937662, 616172
35161, 10, 1161, 426730, 228960, 0, 0, 66476, 66476, 0, 0, 0, 607699, 21500399, 23.906513, 3.144603, 651327
34044, 8, 939, 429134, 252564, 0, 0, 66476, 66476, 0, 0, 0, 657537, 23510855, 23.910198, 3.357941, 685366
