querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
38924, 13, 67, 182934, 98205, 0, 0, 29492, 29492, 0, 0, 0, 438112, 573909, 325.178314, 252.075409, 38917
37592, 16, 464, 138963, 71416, 0, 0, 29492, 29492, 0, 0, 0, 579813, 579813, 355.286499, 305.809296, 76499
30259, 16, 443, 119775, 61188, 0, 0, 29492, 29492, 0, 0, 0, 425474, 573680, 307.513733, 257.408691, 106749
24070, 17, 89, 107164, 71085, 0, 0, 29492, 29492, 0, 0, 0, 283250, 545799, 300.181763, 227.161224, 130809
29738, 16, 89, 129225, 65158, 0, 0, 29492, 29492, 0, 0, 0, 411835, 571206, 352.204895, 252.694427, 160537
28119, 19, 108, 127740, 63123, 0, 0, 29492, 29492, 0, 0, 0, 424287, 572859, 314.745239, 239.022827, 188644
36384, 16, 76, 135195, 54538, 0, 0, 29492, 29492, 0, 0, 0, 578960, 578960, 417.276550, 330.186005, 225019
36647, 18, 879, 132933, 67322, 0, 0, 29492, 29492, 0, 0, 0, 580968, 580968, 343.649902, 295.016510, 261655
29590, 17, 171, 126729, 52703, 0, 0, 29492, 29492, 0, 0, 0, 420500, 571701, 322.252502, 231.599503, 291235
28643, 18, 90, 128503, 66574, 0, 0, 29492, 29492, 0, 0, 0, 339803, 564647, 346.038147, 255.593002, 319868
37528, 18, 149, 132364, 83247, 0, 0, 29492, 29492, 0, 0, 0, 579090, 579090, 415.428497, 332.273407, 357385
31593, 19, 101, 142075, 80319, 0, 0, 29492, 29492, 0, 0, 0, 352091, 559225, 330.436249, 219.572067, 388965
34080, 18, 181, 130217, 72521, 0, 0, 29492, 29492, 0, 0, 0, 540997, 577740, 403.053223, 270.149353, 423034
37450, 17, 247, 139108, 56770, 0, 0, 29492, 29492, 0, 0, 0, 579302, 579302, 432.130188, 354.312714, 460473
34989, 16, 336, 133379, 67316, 0, 0, 29492, 29492, 0, 0, 0, 579471, 579471, 357.296661, 284.677368, 495452
39957, 16, 264, 143489, 91541, 0, 0, 29492, 29492, 0, 0, 0, 579283, 579283, 389.419952, 304.460144, 535399
20954, 19, 84, 102241, 49694, 0, 0, 29492, 29492, 0, 0, 0, 170068, 473749, 261.267548, 185.877975, 556342
28559, 17, 67, 126825, 57569, 0, 0, 29492, 29492, 0, 0, 0, 365085, 569338, 321.635406, 261.093567, 584890
26268, 19, 194, 131496, 62080, 0, 0, 29492, 29492, 0, 0, 0, 282507, 525248, 331.970551, 184.020081, 611147
34720, 18, 131, 131993, 88953, 0, 0, 29492, 29492, 0, 0, 0, 500389, 576063, 327.405060, 274.723969, 645857
