querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
463833, 9, 211, 1303792, 121959, 0, 0, 67228, 67134, 0, 0, 0, 37345584, 37345584, 255.985428, 160.474472, 463827
34961, 8, 50, 440509, 153456, 0, 0, 67228, 67134, 0, 0, 0, 319012, 20226564, 255.990707, 140.200012, 498781
12123, 8, 453, 192601, 33051, 0, 0, 67228, 65740, 0, 0, 0, 38007, 4031026, 8.134409, 8.134409, 510898
12169, 8, 467, 224488, 14058, 0, 0, 67228, 65922, 0, 0, 0, 7988, 3880986, 9.581825, 6.328071, 523062
28372, 9, 81, 388216, 197446, 0, 0, 67228, 67134, 0, 0, 0, 195905, 12461612, 255.978821, 107.638672, 551427
15412, 7, 1318, 249150, 61794, 0, 0, 67228, 65980, 0, 0, 0, 21475, 3938475, 59.350006, 29.842978, 566834
18748, 8, 1010, 301029, 81672, 0, 0, 67228, 66076, 0, 0, 0, 28055, 5121820, 216.004822, 11.716393, 585577
19094, 11, 1124, 417819, 5309, 0, 0, 67228, 65924, 0, 0, 0, 6421, 2892220, 26.278503, 9.954462, 604663
562176, 11, 135, 508995, 146737, 0, 0, 67228, 67134, 0, 0, 0, 37345509, 37345509, 255.994247, 64.074570, 1166831
13895, 8, 1461, 228803, 70206, 0, 0, 67228, 66029, 0, 0, 0, 31299, 3627166, 114.503090, 10.271837, 1180720
15469, 9, 624, 280940, 71466, 0, 0, 67228, 65830, 0, 0, 0, 23102, 3834607, 34.773838, 25.018686, 1196183
23408, 8, 45, 442877, 164552, 0, 0, 67228, 67134, 0, 0, 0, 90548, 6491919, 255.992142, 102.369072, 1219586
441278, 8, 136, 405770, 134320, 0, 0, 67228, 67134, 0, 0, 0, 37345609, 37345609, 255.989929, 121.175705, 1660858
30908, 8, 3172, 376901, 184831, 0, 0, 67228, 67134, 0, 0, 0, 345537, 13192818, 140.469421, 73.848831, 1691760
419855, 7, 1296, 384921, 129022, 0, 0, 67228, 67134, 0, 0, 0, 37350535, 37350535, 204.646896, 127.825333, 2111610
12149, 7, 1293, 230383, 55067, 0, 0, 67228, 65793, 0, 0, 0, 11717, 2045036, 109.904167, 7.556457, 2123754
12599, 9, 903, 233132, 40570, 0, 0, 67228, 66066, 0, 0, 0, 13914, 3191876, 198.395004, 1.750371, 2136346
417105, 10, 135, 371855, 132389, 0, 0, 67228, 67134, 0, 0, 0, 37345601, 37345601, 255.982880, 145.661301, 2553444
405685, 10, 60, 394659, 136708, 0, 0, 67228, 67134, 0, 0, 0, 37345372, 37345372, 255.994537, 105.415894, 2959122
39478, 14, 451, 416858, 210272, 0, 0, 67228, 67134, 0, 0, 0, 622541, 20552464, 255.980835, 158.617157, 2998590
28636, 9, 840, 416198, 191499, 0, 0, 67228, 67134, 0, 0, 0, 214275, 10437624, 255.994888, 133.687012, 3027219
433812, 10, 134, 369286, 136755, 0, 0, 67228, 67134, 0, 0, 0, 37345598, 37345598, 255.986679, 101.880653, 3461024
400227, 14, 241, 425382, 117665, 0, 0, 67228, 67134, 0, 0, 0, 37345726, 37345726, 142.229919, 125.038986, 3861241
34797, 9, 99, 406521, 221898, 0, 0, 67228, 67134, 0, 0, 0, 289852, 19787224, 255.985489, 142.428589, 3896031
413337, 8, 250, 392583, 133935, 0, 0, 67228, 67134, 0, 0, 0, 37346161, 37346161, 255.986877, 108.611481, 4309361
420745, 8, 180, 394598, 134157, 0, 0, 67228, 67134, 0, 0, 0, 37345832, 37345832, 255.978836, 102.284157, 4730101
11737, 13, 810, 223371, 37068, 0, 0, 67228, 65901, 0, 0, 0, 14685, 2807475, 28.245783, 3.007715, 4741828
219072, 7, 49, 397085, 92662, 0, 0, 67228, 67134, 0, 0, 0, 37345372, 37345372, 255.985489, 135.470551, 4960895
16055, 8, 56, 381846, 121998, 0, 0, 67228, 67134, 0, 0, 0, 43905, 3517676, 255.987488, 34.015839, 4976944
393965, 8, 57, 382362, 130171, 0, 0, 67228, 67134, 0, 0, 0, 37345392, 37345392, 255.994064, 74.786240, 5370903
19540, 9, 176, 394122, 133350, 0, 0, 67228, 67134, 0, 0, 0, 134217, 6241943, 255.979462, 84.753769, 5390437
12087, 9, 479, 226312, 43614, 0, 0, 67228, 65662, 0, 0, 0, 15261, 2472643, 63.351120, 12.021811, 5402517
14533, 10, 490, 385429, 492, 0, 0, 67228, 65762, 0, 0, 0, 2327, 1213636, 6.310436, 1.861399, 5417043
13518, 8, 615, 245795, 71141, 0, 0, 67228, 65700, 0, 0, 0, 10843, 1449938, 61.715088, 30.488173, 5430555
22923, 13, 65, 417297, 205192, 0, 0, 67228, 67134, 0, 0, 0, 34883, 2789313, 255.987122, 30.015633, 5453468
383211, 9, 77, 477154, 136923, 0, 0, 67228, 67134, 0, 0, 0, 37345446, 37345446, 195.830276, 133.739029, 5836673
16506, 9, 98, 380895, 127009, 0, 0, 67228, 67134, 0, 0, 0, 50558, 3814552, 255.978683, 40.502655, 5853173
17627, 7, 56, 372374, 121076, 0, 0, 67228, 67134, 0, 0, 0, 63459, 4112562, 255.987244, 81.870430, 5870795
27843, 10, 185, 348340, 233676, 0, 0, 67228, 67134, 0, 0, 0, 113313, 11915403, 155.778458, 76.576378, 5898631
19879, 7, 117, 392610, 166571, 0, 0, 67228, 67134, 0, 0, 0, 115944, 4917375, 255.988312, 62.829517, 5918505
27290, 8, 522, 378588, 263706, 0, 0, 67228, 67134, 0, 0, 0, 161874, 8742474, 255.981003, 69.948853, 5945789
380914, 9, 58, 413241, 132972, 0, 0, 67228, 67134, 0, 0, 0, 37345375, 37345375, 255.989975, 206.932312, 6326696
11112, 8, 1005, 224069, 18792, 0, 0, 67228, 65664, 0, 0, 0, 9717, 1941803, 6.080228, 6.080228, 6337802
42029, 8, 145, 397786, 205119, 0, 0, 67228, 67134, 0, 0, 0, 579786, 24935035, 236.927673, 118.657883, 6379825
25939, 10, 50, 467748, 135049, 0, 0, 67228, 66723, 0, 0, 0, 93232, 7992567, 241.049377, 109.988220, 6405757
