querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
965189, 6, 89, 265183, 16546, 0, 0, 7101, 7042, 0, 0, 0, 6280560, 6303857, 185.140411, 158.258011, 965184
842411, 18, 138, 420512, 17700, 0, 0, 7101, 7042, 0, 0, 0, 6278608, 6319826, 217.862564, 181.711288, 1807584
16298, 17, 23, 440528, 8470, 0, 0, 7101, 6919, 0, 0, 0, 43, 13321, 142.424042, 85.829338, 1823872
12401, 10, 12, 296560, 15496, 0, 0, 7101, 7042, 0, 0, 0, 2881, 28471, 291.280579, 101.962395, 1836267
16132, 13, 14, 445767, 14020, 0, 0, 7101, 7042, 0, 0, 0, 262, 29164, 296.017822, 147.802338, 1852392
858313, 10, 168, 341350, 32336, 0, 0, 7101, 7042, 0, 0, 0, 6297515, 6325568, 238.327148, 183.378067, 2710700
17602, 17, 40, 464259, 5697, 0, 0, 7101, 6947, 0, 0, 0, 39, 11781, 151.517487, 91.945015, 2728292
16305, 14, 22, 453295, 9465, 0, 0, 7101, 6962, 0, 0, 0, 207, 30332, 135.380249, 135.380249, 2744590
12216, 8, 13, 279949, 8795, 0, 0, 7101, 6982, 0, 0, 0, 535, 28183, 149.930878, 93.383331, 2756802
41155, 14, 1, 371416, 101610, 0, 0, 7101, 7043, 0, 0, 0, 811, 28787, 264.939972, 143.090012, 2797949
12855, 11, 45, 346552, 7927, 0, 0, 7101, 6958, 0, 0, 0, 76, 24970, 125.793785, 53.414455, 2810797
9295, 7, 25, 247564, 3122, 0, 0, 7101, 6919, 0, 0, 0, 21, 322, 60.056877, 44.603931, 2820088
9457, 7, 85, 225929, 21482, 0, 0, 7101, 7042, 0, 0, 0, 4502, 45785, 256.404663, 146.280670, 2829541
9051, 7, 19, 230803, 17883, 0, 0, 7101, 7042, 0, 0, 0, 1898, 28307, 278.967834, 116.066116, 2838588
10090, 7, 19, 233018, 15321, 0, 0, 7101, 6982, 0, 0, 0, 162, 14770, 210.130859, 92.917755, 2848674
17470, 14, 16, 471753, 13396, 0, 0, 7101, 6972, 0, 0, 0, 318, 22877, 192.651550, 111.920456, 2866137
869483, 16, 24, 410152, 32182, 0, 0, 7101, 7042, 0, 0, 0, 6284543, 6323708, 254.573654, 194.605774, 3735611
17393, 18, 16, 487625, 10390, 0, 0, 7101, 7001, 0, 0, 0, 1422, 29828, 200.652435, 111.665489, 3752992
11975, 10, 7, 313240, 10297, 0, 0, 7101, 7042, 0, 0, 0, 1061, 17476, 230.758331, 100.937386, 3764961
10877, 7, 69, 234941, 9881, 0, 0, 7101, 6962, 0, 0, 0, 1918, 29620, 100.603912, 100.603912, 3775835
17501, 15, 13, 513268, 6957, 0, 0, 7101, 6929, 0, 0, 0, 28, 8477, 106.195961, 66.711548, 3793328
15654, 9, 95, 397219, 2463, 0, 0, 7101, 6953, 0, 0, 0, 550, 24730, 83.185654, 80.351349, 3808977
17234, 11, 10, 462513, 11673, 0, 0, 7101, 7042, 0, 0, 0, 1957, 28555, 281.491211, 147.360214, 3826205
16338, 13, 33, 438227, 6118, 0, 0, 7101, 6929, 0, 0, 0, 38, 5901, 115.334915, 91.316200, 3842536
13103, 11, 7, 335725, 3927, 0, 0, 7101, 6927, 0, 0, 0, 28, 6889, 76.493004, 52.865437, 3855634
16237, 14, 48, 408647, 6609, 0, 0, 7101, 6919, 0, 0, 0, 289, 1586, 92.618881, 34.020420, 3871863
17257, 14, 11, 469866, 2192, 0, 0, 7101, 6919, 0, 0, 0, 93, 1552, 93.096802, 31.527185, 3889113
17669, 14, 14, 465895, 13091, 0, 0, 7101, 7042, 0, 0, 0, 101, 16616, 238.332260, 75.281059, 3906775
15953, 15, 23, 426571, 7261, 0, 0, 7101, 6964, 0, 0, 0, 130, 12902, 180.764832, 81.051636, 3922721
12686, 11, 17, 300945, 13916, 0, 0, 7101, 6953, 0, 0, 0, 675, 22263, 127.326118, 127.326118, 3935401
16944, 14, 15, 443329, 9448, 0, 0, 7101, 6936, 0, 0, 0, 417, 12341, 102.089355, 63.163536, 3952337
28530, 14, 0, 363646, 87432, 0, 0, 7101, 7043, 0, 0, 0, 532, 36456, 272.150909, 113.241653, 3980860
11115, 8, 8, 263987, 9149, 0, 0, 7101, 6999, 0, 0, 0, 391, 16751, 220.082947, 68.065414, 3991971
16536, 14, 13, 431547, 11924, 0, 0, 7101, 7042, 0, 0, 0, 367, 29930, 235.675247, 144.007919, 4008500
17061, 16, 16, 425185, 37566, 0, 0, 7101, 7042, 0, 0, 0, 3849, 29248, 315.458588, 114.220665, 4025552
16466, 14, 14, 458321, 9072, 0, 0, 7101, 7042, 0, 0, 0, 305, 28696, 292.820038, 132.838913, 4042011
11940, 9, 7, 308867, 16708, 0, 0, 7101, 7042, 0, 0, 0, 1021, 31312, 242.833496, 147.053467, 4053946
11469, 6, 11, 249937, 15047, 0, 0, 7101, 7042, 0, 0, 0, 959, 18499, 275.333221, 76.447411, 4065411
28129, 22, 1, 363621, 84261, 0, 0, 7101, 7043, 0, 0, 0, 281, 13251, 173.005585, 70.421349, 4093532
25082, 11, 1, 417317, 70183, 0, 0, 7101, 7043, 0, 0, 0, 39, 3199, 37.100830, 21.959923, 4118607
10369, 9, 21, 267597, 14403, 0, 0, 7101, 7042, 0, 0, 0, 1732, 29841, 253.784225, 161.175446, 4128971
10257, 7, 6, 244728, 5336, 0, 0, 7101, 6919, 0, 0, 0, 610, 21945, 119.414299, 75.852371, 4139224
27945, 13, 0, 364472, 85914, 0, 0, 7101, 7043, 0, 0, 0, 57, 867, 307.797455, 41.097656, 4167162
24779, 14, 0, 328548, 80388, 0, 0, 7101, 7043, 0, 0, 0, 635, 28170, 264.974121, 125.284988, 4191933
10291, 9, 9, 254017, 6938, 0, 0, 7101, 6962, 0, 0, 0, 577, 24622, 151.331345, 117.264275, 4202218
15457, 11, 16, 448562, 12291, 0, 0, 7101, 7042, 0, 0, 0, 2308, 32078, 256.299805, 131.785400, 4217669
13888, 10, 9, 335323, 4369, 0, 0, 7101, 6919, 0, 0, 0, 141, 21121, 84.095840, 59.948265, 4231552
28875, 14, 1, 421999, 81621, 0, 0, 7101, 7043, 0, 0, 0, 34, 4724, 187.178284, 22.664762, 4260419
1199740, 7, 37, 269907, 19078, 0, 0, 7101, 7042, 0, 0, 0, 6280547, 6305095, 203.246857, 148.833740, 5460155
18968, 21, 55, 468416, 10871, 0, 0, 7101, 7042, 0, 0, 0, 1027, 45494, 253.499466, 162.269150, 5479109
13351, 13, 9, 335453, 7654, 0, 0, 7101, 6953, 0, 0, 0, 48, 21889, 133.932983, 112.801460, 5492453
15661, 15, 9, 413322, 4233, 0, 0, 7101, 6931, 0, 0, 0, 63, 9724, 82.002426, 71.750336, 5508106
12491, 10, 13, 291405, 7853, 0, 0, 7101, 6962, 0, 0, 0, 64, 16189, 191.865295, 98.650513, 5520592
17265, 14, 10, 471446, 32080, 0, 0, 7101, 7042, 0, 0, 0, 3579, 45168, 344.720428, 153.105713, 5537848
22780, 10, 1, 273989, 47755, 0, 0, 7101, 7043, 0, 0, 0, 382, 21461, 290.323883, 109.409790, 5560623
9664, 7, 7, 231027, 4776, 0, 0, 7101, 6942, 0, 0, 0, 34, 15499, 124.073242, 88.899483, 5570283
16384, 12, 13, 462657, 8602, 0, 0, 7101, 6951, 0, 0, 0, 142, 22368, 119.794655, 117.356659, 5586661
16749, 14, 11, 454863, 20825, 0, 0, 7101, 7042, 0, 0, 0, 2166, 45101, 274.980042, 126.888107, 5603403
13063, 10, 10, 302176, 8339, 0, 0, 7101, 6953, 0, 0, 0, 1551, 43245, 122.851669, 122.851669, 5616461
16114, 14, 60, 401805, 8364, 0, 0, 7101, 6958, 0, 0, 0, 74, 22601, 188.807526, 67.306458, 5632568
