querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
32296, 9, 325, 136386, 1891, 0, 0, 34388, 34092, 0, 0, 0, 264621, 575543, 72.049370, 62.247360, 32291
5459, 11, 217, 63809, 70, 0, 0, 34388, 34092, 0, 0, 0, 59, 14702, 6.810528, 5.631339, 37743
9763, 6, 174, 56044, 439, 0, 0, 34388, 34092, 0, 0, 0, 15165, 183476, 35.669392, 29.198050, 47502
4149, 7, 138, 56899, 151, 0, 0, 34388, 34092, 0, 0, 0, 137, 11335, 3.502792, 3.371729, 51647
4011, 5, 61, 59674, 123, 0, 0, 34388, 34092, 0, 0, 0, 12, 1116, 6.185989, 6.185989, 55655
957183, 5, 2289, 67443, 4675, 0, 0, 34388, 34312, 0, 0, 0, 12155037, 12752866, 107.154747, 107.154747, 1012834
10917, 15, 496, 119858, 327, 0, 0, 34388, 34092, 0, 0, 0, 3193, 56718, 13.997404, 13.997404, 1023743
8497, 13, 84, 99491, 362, 0, 0, 34388, 34092, 0, 0, 0, 2966, 27379, 25.387943, 24.051296, 1032233
6400, 10, 400, 87775, 133, 0, 0, 34388, 34092, 0, 0, 0, 43, 5894, 0.000000, 0.000000, 1038627
13047, 6, 1114, 77530, 1463, 0, 0, 34388, 34092, 0, 0, 0, 147906, 337488, 38.112732, 38.112732, 1051671
6211, 10, 208, 77263, 159, 0, 0, 34388, 34092, 0, 0, 0, 98, 29035, 3.071645, 2.832206, 1057875
11757, 6, 153, 72331, 4466, 0, 0, 34388, 34092, 0, 0, 0, 86953, 298435, 71.582321, 49.776207, 1069628
6997, 11, 359, 100601, 43, 0, 0, 34388, 34092, 0, 0, 0, 142, 21957, 0.506250, 0.506250, 1076618
4345, 5, 73, 61840, 173, 0, 0, 34388, 34092, 0, 0, 0, 16, 8245, 2.831873, 2.831873, 1080960
4651, 5, 107, 66519, 127, 0, 0, 34388, 34092, 0, 0, 0, 66, 13549, 3.081250, 3.081250, 1085608
