querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
131671, 10, 52, 325134, 78104, 0, 0, 65566, 65566, 0, 0, 0, 3748651, 4160375, 281.198700, 243.993103, 131666
97781, 17, 40, 240963, 67372, 0, 0, 65566, 65566, 0, 0, 0, 3257266, 4160336, 340.183655, 150.606812, 229438
132851, 17, 45, 242945, 73529, 0, 0, 65566, 65566, 0, 0, 0, 3966283, 4160338, 353.542999, 218.079269, 362279
129356, 17, 74, 219217, 77844, 0, 0, 65566, 65566, 0, 0, 0, 3950511, 4160383, 368.679840, 214.058029, 491626
127874, 17, 51, 235577, 78244, 0, 0, 65566, 65566, 0, 0, 0, 4010264, 4160344, 332.738342, 239.503174, 619490
126579, 16, 49, 235659, 72603, 0, 0, 65566, 65566, 0, 0, 0, 3675033, 4160344, 333.661926, 196.681717, 746060
118875, 17, 43, 236271, 74151, 0, 0, 65566, 65566, 0, 0, 0, 3735147, 4160330, 360.468689, 228.887680, 864925
128534, 16, 39, 239496, 73872, 0, 0, 65566, 65566, 0, 0, 0, 3930763, 4160327, 379.336670, 234.888672, 993450
96354, 17, 45, 236707, 76690, 0, 0, 65566, 65566, 0, 0, 0, 2519595, 4160338, 235.447723, 160.424622, 1089793
128977, 18, 79, 233915, 70372, 0, 0, 65566, 65566, 0, 0, 0, 4023512, 4160390, 393.338348, 231.059952, 1218758
101341, 18, 38, 247323, 90742, 0, 0, 65566, 65566, 0, 0, 0, 2296943, 4160327, 291.313934, 178.847946, 1320088
39921, 17, 45, 239027, 85139, 0, 0, 65566, 65556, 0, 0, 0, 12619, 2601983, 195.444870, 113.034195, 1360000
129169, 16, 37, 217921, 76674, 0, 0, 65566, 65566, 0, 0, 0, 3868171, 4160326, 358.669861, 229.595108, 1489160
120611, 17, 45, 243923, 74838, 0, 0, 65566, 65566, 0, 0, 0, 3256378, 4160337, 258.349213, 175.587921, 1609761
106483, 18, 51, 226903, 64116, 0, 0, 65566, 65566, 0, 0, 0, 3448880, 4160350, 289.797485, 165.262955, 1716233
