querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1048080, 7, 314, 485801, 93074, 0, 0, 66906, 66888, 0, 0, 0, 81070334, 100001039, 167.865067, 135.980820, 1048076
52016, 13, 1829, 94196, 15130, 0, 0, 66906, 65248, 0, 0, 0, 302702, 15734129, 38.953938, 35.997318, 1100086
817549, 13, 361, 238603, 96637, 0, 0, 66906, 66888, 0, 0, 0, 60860547, 99999691, 148.291229, 121.714348, 1917629
36493, 12, 753, 91847, 4750, 0, 0, 66906, 65180, 0, 0, 0, 154281, 10730525, 33.050209, 33.050209, 1954115
947903, 13, 1311, 252165, 94224, 0, 0, 66906, 66888, 0, 0, 0, 71513261, 100004935, 171.207047, 133.919449, 2902012
60471, 14, 843, 108103, 11989, 0, 0, 66906, 65242, 0, 0, 0, 426525, 19097948, 39.098438, 37.562794, 2962476
916356, 14, 686, 228873, 92659, 0, 0, 66906, 66888, 0, 0, 0, 76775549, 100001831, 167.394073, 141.361832, 3878826
51394, 13, 1316, 93537, 8185, 0, 0, 66906, 65212, 0, 0, 0, 296421, 16812791, 37.818684, 37.818684, 3930214
987667, 13, 557, 234416, 93439, 0, 0, 66906, 66888, 0, 0, 0, 83974759, 100001380, 168.404175, 142.787064, 4917875
68652, 14, 851, 111796, 18053, 0, 0, 66906, 65278, 0, 0, 0, 439125, 21838540, 41.707611, 38.735657, 4986520
1083781, 14, 354, 215355, 94639, 0, 0, 66906, 66888, 0, 0, 0, 96788526, 100001208, 173.505447, 147.225845, 6070295
37049, 14, 752, 83559, 10806, 0, 0, 66906, 65200, 0, 0, 0, 173348, 12696145, 36.939472, 33.858295, 6107338
926286, 13, 1193, 220517, 92025, 0, 0, 66906, 66888, 0, 0, 0, 83769639, 100004008, 169.089890, 146.604675, 7033618
44890, 14, 1006, 97819, 16485, 0, 0, 66906, 65276, 0, 0, 0, 247529, 14418725, 42.808865, 36.259361, 7078501
977466, 13, 1307, 228234, 88282, 0, 0, 66906, 66888, 0, 0, 0, 91960679, 100004944, 167.366211, 141.119568, 8055962
49671, 13, 853, 93296, 15987, 0, 0, 66906, 65250, 0, 0, 0, 458053, 17444419, 42.265224, 39.176804, 8105627
1042962, 13, 372, 226795, 91374, 0, 0, 66906, 66888, 0, 0, 0, 93777001, 100001155, 171.239838, 153.828018, 9148584
41768, 13, 802, 108458, 10296, 0, 0, 66906, 65196, 0, 0, 0, 234017, 11047029, 35.327938, 33.522602, 9190346
1110637, 14, 171, 225737, 94044, 0, 0, 66906, 66888, 0, 0, 0, 95311534, 100000466, 176.113907, 148.015671, 10300977
46355, 14, 2725, 97299, 10207, 0, 0, 66906, 65244, 0, 0, 0, 292905, 13301013, 37.852814, 35.467793, 10347326
977568, 13, 510, 226297, 93705, 0, 0, 66906, 66888, 0, 0, 0, 87862001, 100001314, 160.416962, 144.147156, 11324887
25405, 13, 719, 82692, 7045, 0, 0, 66906, 65194, 0, 0, 0, 105561, 7284715, 31.241741, 26.935045, 11350286
1051003, 12, 332, 225583, 92844, 0, 0, 66906, 66888, 0, 0, 0, 93983541, 100001051, 178.479630, 145.101181, 12401283
49300, 14, 828, 100705, 8149, 0, 0, 66906, 65196, 0, 0, 0, 387612, 15556429, 37.275608, 37.071327, 12450577
972866, 12, 260, 214924, 92638, 0, 0, 66906, 66888, 0, 0, 0, 84382057, 99999310, 175.594940, 148.147324, 13423437
34970, 15, 1351, 84094, 5037, 0, 0, 66906, 65214, 0, 0, 0, 250286, 11497708, 33.610691, 33.610691, 13458399
981627, 12, 219, 220030, 90342, 0, 0, 66906, 66888, 0, 0, 0, 89662317, 100000638, 144.073669, 143.996552, 14440020
32154, 14, 995, 96158, 14002, 0, 0, 66906, 65204, 0, 0, 0, 117708, 9516695, 35.589520, 30.574600, 14472168
1001890, 13, 1051, 223156, 88675, 0, 0, 66906, 66888, 0, 0, 0, 93688910, 100003934, 158.963791, 143.262451, 15474052
33814, 14, 696, 102743, 7254, 0, 0, 66906, 65180, 0, 0, 0, 98787, 10032234, 31.687355, 30.535421, 15507860
1048530, 14, 554, 223323, 91039, 0, 0, 66906, 66888, 0, 0, 0, 96185602, 100002012, 173.869537, 148.748535, 16556384
41817, 14, 823, 112866, 9171, 0, 0, 66906, 65196, 0, 0, 0, 233803, 12237046, 35.523994, 33.535660, 16598195
1041580, 13, 847, 227001, 90362, 0, 0, 66906, 66888, 0, 0, 0, 99944018, 100002976, 174.199432, 150.166672, 17639769
53436, 13, 2248, 122630, 32169, 0, 0, 66906, 65274, 0, 0, 0, 303142, 15384942, 45.908672, 36.541496, 17693199
881057, 13, 177, 206585, 91912, 0, 0, 66906, 66888, 0, 0, 0, 74787328, 100000295, 172.100998, 135.990601, 18574250
32280, 13, 916, 86697, 10082, 0, 0, 66906, 65234, 0, 0, 0, 183638, 9812468, 35.800282, 31.092827, 18606524
1011547, 13, 991, 228038, 88290, 0, 0, 66906, 66888, 0, 0, 0, 98055201, 100003899, 152.847092, 145.601196, 19618064
