querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
638324, 8, 1137, 188315, 117726, 0, 0, 50057, 48765, 0, 0, 0, 31177260, 99919574, 59.569481, 51.895214, 638320
346684, 14, 9, 202529, 101896, 0, 0, 50057, 48766, 0, 0, 0, 2081705, 91655200, 101.342194, 36.224579, 984997
117926, 15, 1870, 126647, 12442, 0, 0, 50057, 44088, 0, 0, 0, 143810, 37899833, 19.078070, 19.078070, 1102915
296158, 15, 10, 295103, 76642, 0, 0, 50057, 48766, 0, 0, 0, 410154, 88858444, 62.508995, 21.251453, 1399066
264753, 13, 9, 200839, 75422, 0, 0, 50057, 48766, 0, 0, 0, 1986930, 73998805, 101.995880, 30.531563, 1663813
537457, 13, 323, 159523, 98890, 0, 0, 50057, 48765, 0, 0, 0, 22698968, 99897739, 79.598328, 64.408295, 2201264
485513, 14, 9, 190921, 138116, 0, 0, 50057, 48766, 0, 0, 0, 13318675, 99312539, 117.919846, 55.455639, 2686770
230820, 15, 10, 330334, 119105, 0, 0, 50057, 48766, 0, 0, 0, 166571, 48981983, 46.816189, 18.778326, 2917583
590752, 14, 2242, 250979, 233719, 0, 0, 50057, 48765, 0, 0, 0, 13563184, 99959092, 62.731953, 56.610989, 3508328
298851, 15, 11, 331803, 126342, 0, 0, 50057, 48766, 0, 0, 0, 1254521, 70173831, 48.374969, 35.827152, 3807172
292870, 14, 9, 324411, 117783, 0, 0, 50057, 48766, 0, 0, 0, 945509, 66095335, 126.797462, 29.562952, 4100035
302468, 15, 3591, 228959, 48959, 0, 0, 50057, 48765, 0, 0, 0, 3637919, 97023181, 46.332790, 40.874527, 4402495
252248, 14, 10, 206031, 126230, 0, 0, 50057, 48766, 0, 0, 0, 925193, 64678010, 119.428169, 25.919355, 4654737
275643, 15, 10, 330332, 74103, 0, 0, 50057, 48766, 0, 0, 0, 1110804, 71736024, 122.937607, 31.971146, 4930372
385563, 12, 10, 190396, 72217, 0, 0, 50057, 48766, 0, 0, 0, 8783800, 97612961, 135.055328, 34.025208, 5315929
360240, 14, 365, 117340, 63834, 0, 0, 50057, 48753, 0, 0, 0, 12484368, 94713743, 57.654503, 47.194710, 5676163
202427, 13, 2656, 87633, 29307, 0, 0, 50057, 48030, 0, 0, 0, 2677722, 70378867, 41.127701, 33.831333, 5878583
290101, 13, 10, 192868, 71972, 0, 0, 50057, 48766, 0, 0, 0, 2547006, 83851085, 111.946175, 39.507542, 6168678
200935, 13, 367, 97703, 36496, 0, 0, 50057, 48725, 0, 0, 0, 921304, 81326291, 31.763330, 23.175108, 6369608
175750, 14, 10, 193826, 66842, 0, 0, 50057, 48766, 0, 0, 0, 75676, 45552439, 152.207916, 11.921934, 6545352
356699, 15, 10, 193111, 82440, 0, 0, 50057, 48766, 0, 0, 0, 6312679, 99241989, 124.253029, 39.000286, 6902044
99147, 13, 9, 172825, 62888, 0, 0, 50057, 48766, 0, 0, 0, 85843, 10883690, 90.857941, 4.172885, 7001184
143275, 11, 2750, 80076, 14651, 0, 0, 50057, 46230, 0, 0, 0, 458823, 55021886, 20.546518, 14.442435, 7144454
161296, 13, 11, 201211, 98707, 0, 0, 50057, 48766, 0, 0, 0, 283548, 36513265, 104.957443, 15.494273, 7305744
153290, 14, 3729, 83199, 11974, 0, 0, 50057, 46254, 0, 0, 0, 466900, 59507193, 23.890129, 23.890129, 7459028
167465, 13, 9, 197653, 67686, 0, 0, 50057, 48766, 0, 0, 0, 819043, 36176693, 93.300034, 42.481491, 7626488
278294, 14, 9, 193014, 67627, 0, 0, 50057, 48766, 0, 0, 0, 2637605, 81796130, 132.236603, 32.695904, 7904774
165334, 14, 9, 192869, 56352, 0, 0, 50057, 48766, 0, 0, 0, 171095, 40145181, 121.475044, 12.823502, 8070101
259054, 13, 10, 194087, 73278, 0, 0, 50057, 48766, 0, 0, 0, 1428267, 80248425, 110.630821, 32.532623, 8329149
194677, 13, 10, 189445, 82358, 0, 0, 50057, 48766, 0, 0, 0, 280326, 53245090, 94.854523, 16.004932, 8523820
60066, 13, 1993, 63007, 4481, 0, 0, 50057, 42356, 0, 0, 0, 342058, 19737082, 14.666492, 11.604307, 8583879
58155, 13, 573, 58846, 2740, 0, 0, 50057, 42840, 0, 0, 0, 17970, 20620363, 5.512075, 4.416142, 8642028
182005, 13, 1172, 96363, 23921, 0, 0, 50057, 48188, 0, 0, 0, 148347, 76092156, 29.354828, 26.473785, 8824027
113969, 13, 978, 81567, 20112, 0, 0, 50057, 47373, 0, 0, 0, 354659, 45424712, 34.390820, 26.615772, 8937989
147660, 13, 9, 198202, 89458, 0, 0, 50057, 48766, 0, 0, 0, 254961, 29726176, 165.692413, 14.905596, 9085643
324255, 15, 10, 314888, 125925, 0, 0, 50057, 48766, 0, 0, 0, 2339019, 68411526, 86.579346, 25.421726, 9409891
200252, 14, 11, 339740, 100114, 0, 0, 50057, 48766, 0, 0, 0, 305173, 40509930, 114.259064, 20.533939, 9610137
108878, 16, 1298, 118774, 25960, 0, 0, 50057, 45802, 0, 0, 0, 258868, 36476366, 27.681622, 21.073164, 9719007
236859, 14, 1401, 162565, 41287, 0, 0, 50057, 48541, 0, 0, 0, 356478, 83995522, 26.875610, 22.067575, 9955858
252924, 14, 1962, 194263, 77849, 0, 0, 50057, 48748, 0, 0, 0, 763094, 86182293, 51.717159, 30.800407, 10208775
310828, 15, 10, 334773, 131457, 0, 0, 50057, 48766, 0, 0, 0, 808848, 73406984, 65.404457, 27.061529, 10519595
254098, 15, 3606, 199036, 39761, 0, 0, 50057, 47551, 0, 0, 0, 912362, 78298932, 38.543869, 38.543869, 10773686
266201, 16, 11, 339087, 93687, 0, 0, 50057, 48766, 0, 0, 0, 1090258, 51654808, 57.642242, 26.072588, 11039879
113986, 16, 1312, 159827, 41809, 0, 0, 50057, 47372, 0, 0, 0, 239688, 39611129, 32.746277, 18.391691, 11153857
312769, 14, 10, 230478, 78602, 0, 0, 50057, 48766, 0, 0, 0, 1602333, 92841134, 104.386894, 31.381674, 11466619
98328, 14, 9, 202632, 80475, 0, 0, 50057, 48766, 0, 0, 0, 34358, 9195076, 21.705843, 5.655378, 11564940
264384, 10, 7, 249538, 90209, 0, 0, 50057, 48766, 0, 0, 0, 797710, 66952219, 81.463303, 19.622787, 11829319
303069, 16, 11, 330194, 106038, 0, 0, 50057, 48766, 0, 0, 0, 1223626, 68901362, 142.080444, 29.521936, 12132380
191957, 15, 4328, 145914, 28545, 0, 0, 50057, 46261, 0, 0, 0, 658036, 57692143, 20.665079, 15.978544, 12324330
352670, 16, 11, 329887, 112053, 0, 0, 50057, 48766, 0, 0, 0, 419529, 92660276, 147.524429, 31.344019, 12676992
293461, 10, 6, 311143, 110278, 0, 0, 50057, 48766, 0, 0, 0, 238656, 78064328, 113.476158, 26.018694, 12970447
310999, 15, 10, 342403, 119365, 0, 0, 50057, 48766, 0, 0, 0, 806591, 66952219, 81.463303, 19.622787, 13281437
105769, 14, 10, 336756, 112138, 0, 0, 50057, 48766, 0, 0, 0, 38055, 4042547, 112.046410, 0.909322, 13387199
314514, 14, 9, 330281, 114362, 0, 0, 50057, 48766, 0, 0, 0, 1103286, 75065090, 128.890915, 35.669899, 13701706
224699, 15, 10, 331383, 119464, 0, 0, 50057, 48766, 0, 0, 0, 265190, 47074620, 33.731113, 16.037388, 13926397
282636, 15, 10, 334046, 102418, 0, 0, 50057, 48766, 0, 0, 0, 621751, 68033392, 222.365875, 30.027534, 14209026
301842, 16, 2927, 226727, 84477, 0, 0, 50057, 48765, 0, 0, 0, 263938, 98755166, 37.284996, 27.097370, 14510860
164696, 17, 10, 333187, 110841, 0, 0, 50057, 48766, 0, 0, 0, 234687, 25115451, 68.629555, 14.479393, 14675548
440320, 15, 11, 332453, 138245, 0, 0, 50057, 48766, 0, 0, 0, 3673292, 98839087, 82.920761, 40.142441, 15115860
180969, 16, 10, 325979, 92988, 0, 0, 50057, 48766, 0, 0, 0, 300125, 32793986, 66.131592, 11.744432, 15296821
532935, 15, 10, 328374, 173427, 0, 0, 50057, 48766, 0, 0, 0, 8302534, 99008722, 142.496445, 44.564770, 15829749
363042, 16, 10, 360231, 109666, 0, 0, 50057, 48766, 0, 0, 0, 1112284, 86997477, 149.983215, 30.870806, 16192783
187856, 15, 10, 334046, 117387, 0, 0, 50057, 48766, 0, 0, 0, 458745, 35679910, 62.809933, 24.135292, 16380632
310482, 17, 11, 332259, 120850, 0, 0, 50057, 48766, 0, 0, 0, 1166654, 72652834, 99.193222, 29.817801, 16691106
740386, 16, 754, 262122, 142543, 0, 0, 50057, 48765, 0, 0, 0, 25995091, 99937445, 94.011024, 84.748589, 17431484
118352, 15, 10, 333263, 111367, 0, 0, 50057, 48766, 0, 0, 0, 124705, 9321226, 20.381649, 10.267477, 17549829
294965, 16, 10, 335966, 138745, 0, 0, 50057, 48766, 0, 0, 0, 1713207, 56897256, 39.968147, 15.568314, 17844786
284796, 16, 3732, 216717, 73318, 0, 0, 50057, 48661, 0, 0, 0, 2167868, 76069536, 48.166794, 36.490368, 18129574
305919, 16, 10, 334890, 105757, 0, 0, 50057, 48766, 0, 0, 0, 3085111, 58102742, 80.917633, 20.198439, 18435485
374058, 16, 10, 325641, 134957, 0, 0, 50057, 48766, 0, 0, 0, 1860100, 90188545, 140.151749, 35.430656, 18809536
206284, 15, 11, 349598, 112197, 0, 0, 50057, 48766, 0, 0, 0, 136093, 36596170, 94.755424, 9.507648, 19015813
192562, 15, 5834, 144908, 33262, 0, 0, 50057, 46443, 0, 0, 0, 939183, 53045837, 27.668015, 15.748881, 19208368
311445, 18, 740, 269386, 104786, 0, 0, 50057, 48765, 0, 0, 0, 1741632, 90415826, 68.652519, 39.449463, 19519804
310947, 15, 11, 335124, 113165, 0, 0, 50057, 48766, 0, 0, 0, 899334, 75587508, 109.950630, 32.668159, 19830743
348007, 15, 2683, 198855, 50017, 0, 0, 50057, 48495, 0, 0, 0, 4594814, 85126221, 35.447983, 31.636055, 20178742
282539, 16, 10, 334645, 117572, 0, 0, 50057, 48766, 0, 0, 0, 619030, 67901134, 140.502136, 26.845299, 20461273
181425, 16, 2786, 165897, 36550, 0, 0, 50057, 46882, 0, 0, 0, 605993, 55265411, 24.505077, 19.641876, 20642689
304302, 16, 10, 333112, 114064, 0, 0, 50057, 48766, 0, 0, 0, 1719226, 64350548, 184.504684, 15.208391, 20946983
300172, 16, 5824, 235610, 67500, 0, 0, 50057, 48606, 0, 0, 0, 1179776, 90493288, 41.342926, 33.643707, 21247146
186498, 16, 10, 333783, 106765, 0, 0, 50057, 48766, 0, 0, 0, 68772, 34227790, 164.536896, 3.689782, 21433636
149763, 15, 10, 326489, 123431, 0, 0, 50057, 48766, 0, 0, 0, 243085, 22141033, 62.245594, 14.599072, 21583392
206663, 15, 886, 205694, 48493, 0, 0, 50057, 47870, 0, 0, 0, 1334286, 60705558, 42.695976, 31.945740, 21790048
225446, 16, 10, 336477, 129874, 0, 0, 50057, 48766, 0, 0, 0, 341007, 48146836, 92.089661, 26.665833, 22015486
878386, 17, 10, 334356, 276444, 0, 0, 50057, 48766, 0, 0, 0, 30302600, 99980289, 116.515961, 53.372955, 22893864
206498, 17, 10, 329311, 118982, 0, 0, 50057, 48766, 0, 0, 0, 256413, 41628669, 40.712753, 19.793083, 23100354
185040, 16, 10, 330021, 114522, 0, 0, 50057, 48766, 0, 0, 0, 530541, 30359567, 20.484444, 15.688951, 23285385
336468, 15, 437, 216801, 74534, 0, 0, 50057, 48546, 0, 0, 0, 3122657, 91756100, 51.833866, 46.871426, 23621846
113968, 15, 11, 333818, 98441, 0, 0, 50057, 48766, 0, 0, 0, 35813, 9195076, 21.705843, 5.655378, 23735807
241411, 15, 10, 324824, 96938, 0, 0, 50057, 48766, 0, 0, 0, 366249, 55690253, 93.012054, 21.419231, 23977210
127153, 16, 2096, 166529, 73685, 0, 0, 50057, 46708, 0, 0, 0, 281065, 38655893, 54.052223, 34.487659, 24104355
189257, 15, 3446, 157879, 28080, 0, 0, 50057, 46896, 0, 0, 0, 954971, 57602922, 21.555609, 18.719467, 24293605
426616, 15, 10, 336154, 126542, 0, 0, 50057, 48766, 0, 0, 0, 3769719, 87063699, 61.204693, 30.011387, 24720214
387132, 70, 2269, 235113, 104650, 0, 0, 50057, 48765, 0, 0, 0, 4319411, 97000282, 38.065861, 33.074146, 25107285
86820, 16, 2178, 116274, 8328, 0, 0, 50057, 42786, 0, 0, 0, 224406, 25756505, 26.227688, 26.227688, 25194097
121893, 15, 10, 332098, 125102, 0, 0, 50057, 48766, 0, 0, 0, 66348, 12316457, 88.954315, 10.748975, 25315983
263921, 16, 11, 349597, 113709, 0, 0, 50057, 48766, 0, 0, 0, 327182, 57339194, 121.963257, 14.056778, 25579896
196389, 16, 11, 331557, 107474, 0, 0, 50057, 48766, 0, 0, 0, 187525, 36509048, 82.727859, 10.501097, 25776277
449853, 15, 11, 330525, 153318, 0, 0, 50057, 48766, 0, 0, 0, 4237984, 96243492, 166.701355, 37.551834, 26226121
138596, 15, 1176, 132879, 15142, 0, 0, 50057, 44920, 0, 0, 0, 73523, 44543732, 16.031742, 16.031742, 26364708
107076, 16, 4036, 121184, 11757, 0, 0, 50057, 43559, 0, 0, 0, 250183, 33872463, 16.314491, 16.314491, 26471776
264725.530000, 15.200000, 800.930000, 245099.280000, 88784.040000, 0.000000, 0.000000, 50057, 48186.280000, 0.000000, 0.000000, 0.000000, 2640432.740000, 62539030.870000, 77.830643, 26.546880, 26471776.000000
