querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
93641, 0, 0, 0, 0, 0, 0, 22192, 22093, 0, 0, 0, 3758, 63375005, 93.155975, 63.475746, 93641
7175, 0, 0, 0, 0, 0, 0, 22192, 4262, 0, 0, 0, 124, 3312834, 22.958139, 15.619765, 100816
17815, 0, 0, 0, 0, 0, 0, 22192, 9406, 0, 0, 0, 526, 15848702, 31.258190, 22.877386, 118631
2784, 0, 0, 0, 0, 0, 0, 22192, 582, 0, 0, 0, 39, 322462, 1.379703, 1.379703, 121415
61459, 0, 0, 0, 0, 0, 0, 22192, 18917, 0, 0, 0, 644, 59858008, 81.909348, 63.104500, 182874
6926, 0, 0, 0, 0, 0, 0, 22192, 1350, 0, 0, 0, 49, 2397078, 5.833897, 5.833897, 189800
4059, 0, 0, 0, 0, 0, 0, 22192, 2422, 0, 0, 0, 189, 1539171, 9.821677, 4.495729, 193859
40893, 0, 0, 0, 0, 0, 0, 22192, 17093, 0, 0, 0, 254, 39184847, 61.108131, 36.586964, 234752
5288, 0, 0, 0, 0, 0, 0, 22192, 2606, 0, 0, 0, 82, 3724722, 13.834515, 13.834515, 240040
20492, 0, 0, 0, 0, 0, 0, 22192, 13390, 0, 0, 0, 157, 20718816, 30.101994, 22.127977, 260532
50398, 0, 0, 0, 0, 0, 0, 22192, 16070, 0, 0, 0, 398, 50886778, 68.670311, 58.902103, 310930
9189, 0, 0, 0, 0, 0, 0, 22192, 5493, 0, 0, 0, 40, 7956347, 22.452415, 17.210236, 320119
18269, 0, 0, 0, 0, 0, 0, 22192, 13406, 0, 0, 0, 110, 22257255, 51.384575, 40.741020, 338388
26168, 0, 0, 0, 0, 0, 0, 22192, 14910, 0, 0, 0, 282, 30697561, 55.117767, 31.880358, 364556
13297, 0, 0, 0, 0, 0, 0, 22192, 1790, 0, 0, 0, 117, 3299396, 10.445631, 10.445631, 377853
65416, 0, 0, 0, 0, 0, 0, 22192, 19734, 0, 0, 0, 6445, 57510925, 82.067322, 71.535187, 443269
14774, 0, 0, 0, 0, 0, 0, 22192, 6542, 0, 0, 0, 64, 16757228, 29.525372, 23.247166, 458043
20061, 0, 0, 0, 0, 0, 0, 22192, 8006, 0, 0, 0, 177, 19579475, 29.765179, 26.051794, 478104
4434, 0, 0, 0, 0, 0, 0, 22192, 2814, 0, 0, 0, 123, 1616825, 8.296680, 5.066967, 482538
21379, 0, 0, 0, 0, 0, 0, 22192, 11014, 0, 0, 0, 229, 23673174, 40.533638, 30.577793, 503917
30343, 0, 0, 0, 0, 0, 0, 22192, 12670, 0, 0, 0, 1004, 33269277, 58.082119, 41.077839, 534260
36655, 0, 0, 0, 0, 0, 0, 22192, 21989, 0, 0, 0, 578, 40534906, 52.142326, 29.387695, 570915
34522, 0, 0, 0, 0, 0, 0, 22192, 20253, 0, 0, 0, 266, 38081624, 65.761223, 32.041988, 605437
72106, 0, 0, 0, 0, 0, 0, 22192, 22173, 0, 0, 0, 1421, 72094951, 107.832977, 66.867790, 677543
17957, 0, 0, 0, 0, 0, 0, 22192, 9190, 0, 0, 0, 148, 21534207, 39.333496, 29.515297, 695500
19146, 0, 0, 0, 0, 0, 0, 22192, 10702, 0, 0, 0, 149, 19718113, 32.867142, 22.878397, 714646
9993, 0, 0, 0, 0, 0, 0, 22192, 6478, 0, 0, 0, 276, 11412205, 31.423229, 31.210968, 724639
13022, 0, 0, 0, 0, 0, 0, 22192, 7854, 0, 0, 0, 104, 13623571, 28.947197, 19.422846, 737661
28242, 0, 0, 0, 0, 0, 0, 22192, 12422, 0, 0, 0, 186, 32899848, 42.062481, 37.927917, 765903
16503, 0, 0, 0, 0, 0, 0, 22192, 8790, 0, 0, 0, 124, 18616621, 38.450661, 30.085695, 782406
23630, 0, 0, 0, 0, 0, 0, 22192, 11358, 0, 0, 0, 1172, 26238581, 57.956543, 33.502525, 806036
21372, 0, 0, 0, 0, 0, 0, 22192, 9461, 0, 0, 0, 170, 23225179, 32.485569, 26.450653, 827408
28107, 0, 0, 0, 0, 0, 0, 22192, 15629, 0, 0, 0, 281, 29587920, 40.487858, 27.691145, 855515
23881, 0, 0, 0, 0, 0, 0, 22192, 10526, 0, 0, 0, 688, 30262895, 56.248234, 37.375439, 879396
19151, 0, 0, 0, 0, 0, 0, 22192, 10750, 0, 0, 0, 189, 21447315, 39.531242, 28.364965, 898547
48248, 0, 0, 0, 0, 0, 0, 22192, 19022, 0, 0, 0, 952, 54280880, 62.893570, 45.796955, 946795
30986, 0, 0, 0, 0, 0, 0, 22192, 16390, 0, 0, 0, 911, 36625444, 53.002758, 38.491802, 977781
