querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
40898, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2054540, 3809874, 358.011383, 339.123413, 40898
1208, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 22, 27140, 0.655206, 0.365176, 42106
30612, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1896217, 3648666, 334.399445, 304.093292, 72718
1158, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 8, 12590, 1.638407, 1.638407, 73876
19615, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1257126, 2965304, 215.852890, 194.679367, 93491
11140, 0, 0, 0, 0, 0, 0, 1128, 1011, 0, 0, 0, 536407, 2844600, 191.787735, 187.058197, 104631
1195, 0, 0, 0, 0, 0, 0, 1128, 292, 0, 0, 0, 16, 26527, 4.338750, 3.834274, 105826
960, 0, 0, 0, 0, 0, 0, 1128, 260, 0, 0, 0, 30, 21231, 1.939525, 1.939525, 106786
1004, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 58, 22193, 1.046239, 0.892898, 107790
19807, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1186809, 3343115, 311.548096, 251.283997, 127597
1261, 0, 0, 0, 0, 0, 0, 1128, 284, 0, 0, 0, 17, 45652, 1.697101, 1.697101, 128858
972, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 15, 12762, 0.119568, 0.119568, 129830
31370, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1926201, 3712075, 340.882843, 322.906403, 161200
1335, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 30, 71771, 3.684936, 3.514809, 162535
1264, 0, 0, 0, 0, 0, 0, 1128, 308, 0, 0, 0, 37, 159546, 7.109738, 6.178798, 163799
1102, 0, 0, 0, 0, 0, 0, 1128, 300, 0, 0, 0, 38, 120315, 4.848814, 4.848814, 164901
1731, 0, 0, 0, 0, 0, 0, 1128, 771, 0, 0, 0, 44, 1459750, 102.810837, 102.810837, 166632
1404, 0, 0, 0, 0, 0, 0, 1128, 340, 0, 0, 0, 29, 338349, 13.943946, 12.769118, 168036
13719, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 673146, 3346565, 271.768250, 253.340530, 181755
1279, 0, 0, 0, 0, 0, 0, 1128, 292, 0, 0, 0, 24, 63079, 5.605164, 5.605164, 183034
1035, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 52, 47234, 2.413368, 2.319895, 184069
10478, 0, 0, 0, 0, 0, 0, 1128, 1083, 0, 0, 0, 464188, 2763435, 219.243408, 151.521973, 194547
34614, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1995004, 3775042, 372.191162, 338.448669, 229161
