querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
2669, 0, 0, 0, 0, 0, 0, 36844, 608, 0, 0, 0, 36, 270903, 7.589795, 6.812838, 2669
1002, 0, 0, 0, 0, 0, 0, 36844, 167, 0, 0, 0, 44, 25283, 1.347354, 1.293659, 3671
5350, 0, 0, 0, 0, 0, 0, 36844, 1260, 0, 0, 0, 682, 345038, 0.411729, 0.411729, 9021
11364, 0, 0, 0, 0, 0, 0, 36844, 1892, 0, 0, 0, 2403, 715208, 0.765964, 0.550013, 20385
1310, 0, 0, 0, 0, 0, 0, 36844, 385, 0, 0, 0, 44, 100681, 1.929553, 1.692372, 21695
1864, 0, 0, 0, 0, 0, 0, 36844, 231, 0, 0, 0, 65, 53176, 0.407790, 0.407790, 23559
10483, 0, 0, 0, 0, 0, 0, 36844, 1680, 0, 0, 0, 4234, 449426, 0.226137, 0.085353, 34042
4642, 0, 0, 0, 0, 0, 0, 36844, 469, 0, 0, 0, 460, 150475, 1.085684, 0.611919, 38684
8237, 0, 0, 0, 0, 0, 0, 36844, 891, 0, 0, 0, 703, 256446, 0.447677, 0.404469, 46921
1670, 0, 0, 0, 0, 0, 0, 36844, 313, 0, 0, 0, 91, 196694, 11.225079, 11.225079, 48591
1935, 0, 0, 0, 0, 0, 0, 36844, 1105, 0, 0, 0, 225, 229934, 0.413171, 0.301291, 50526
2661, 0, 0, 0, 0, 0, 0, 36844, 315, 0, 0, 0, 322, 159868, 1.555297, 0.482695, 53187
3165, 0, 0, 0, 0, 0, 0, 36844, 655, 0, 0, 0, 347, 204124, 0.555291, 0.419714, 56352
11068, 0, 0, 0, 0, 0, 0, 36844, 466, 0, 0, 0, 1003, 197846, 0.353816, 0.116234, 67420
3710, 0, 0, 0, 0, 0, 0, 36844, 1013, 0, 0, 0, 112, 163201, 0.279175, 0.239017, 71130
5975, 0, 0, 0, 0, 0, 0, 36844, 616, 0, 0, 0, 573, 223726, 1.325828, 0.688139, 77105
1191, 0, 0, 0, 0, 0, 0, 36844, 559, 0, 0, 0, 80, 53769, 0.176631, 0.058809, 78296
1848, 0, 0, 0, 0, 0, 0, 36844, 676, 0, 0, 0, 105, 199696, 0.166407, 0.097089, 80144
2477, 0, 0, 0, 0, 0, 0, 36844, 438, 0, 0, 0, 143, 93381, 0.210868, 0.207114, 82621
2619, 0, 0, 0, 0, 0, 0, 36844, 450, 0, 0, 0, 167, 133068, 0.385891, 0.282896, 85240
5235, 0, 0, 0, 0, 0, 0, 36844, 1060, 0, 0, 0, 369, 166218, 0.290489, 0.156645, 90475
800, 0, 0, 0, 0, 0, 0, 36844, 304, 0, 0, 0, 36, 54916, 0.741146, 0.741146, 91275
7303, 0, 0, 0, 0, 0, 0, 36844, 277, 0, 0, 0, 725, 210054, 0.404476, 0.352708, 98578
768, 0, 0, 0, 0, 0, 0, 36844, 241, 0, 0, 0, 44, 48440, 1.122522, 1.122522, 99346
2766, 0, 0, 0, 0, 0, 0, 36844, 458, 0, 0, 0, 293, 278671, 0.564216, 0.432175, 102112
1647, 0, 0, 0, 0, 0, 0, 36844, 357, 0, 0, 0, 70, 50697, 0.297171, 0.221304, 103759
3409, 0, 0, 0, 0, 0, 0, 36844, 616, 0, 0, 0, 386, 123095, 0.142241, 0.084105, 107168
721, 0, 0, 0, 0, 0, 0, 36844, 201, 0, 0, 0, 10, 21375, 1.657799, 1.657799, 107889
