querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
8224, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 43362, 481665, 258.584229, 252.075409, 8224
13080, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 158044, 515588, 356.840088, 305.809296, 21304
7161, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 78635, 499409, 289.379425, 257.408691, 28465
4867, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 39783, 477588, 257.914459, 227.161224, 33332
3844, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 26607, 486107, 254.796417, 252.694427, 37176
2621, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 380, 475316, 259.693939, 239.022827, 39797
8326, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 164674, 522953, 364.658691, 330.186005, 48123
7567, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 160802, 515530, 370.574005, 295.016510, 55690
2592, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 434, 471705, 231.599503, 231.599503, 58282
2983, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 5826, 490317, 289.835480, 255.593002, 61265
9540, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 184197, 532939, 367.796234, 332.273407, 70805
2579, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 216, 473147, 219.572067, 219.572067, 73384
7258, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 124940, 499300, 343.863464, 270.149353, 80642
9738, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 205482, 533713, 364.843292, 354.312714, 90380
6162, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 96189, 505306, 302.205627, 284.677368, 96542
8651, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 134918, 514357, 328.625732, 304.460144, 105193
2337, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 1980, 455876, 222.469299, 185.877975, 107530
2307, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 824, 489417, 290.386505, 261.093567, 109837
2558, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 3138, 451577, 279.192505, 184.020081, 112395
4991, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 68321, 503221, 300.376434, 274.723969, 117386
2739, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 729, 488749, 280.793549, 258.643982, 120125
2841, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 826, 481298, 275.879150, 242.973755, 122966
3746, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 26320, 495051, 325.897552, 244.364624, 126712
2088, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 199, 466704, 250.209030, 212.744431, 128800
8295, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 176004, 525180, 336.467529, 336.467529, 137095
7008, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 103265, 509086, 299.803467, 298.238647, 144103
2061, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 219, 462191, 244.704987, 207.232269, 146164
5529, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 67979, 505375, 332.560791, 283.994293, 151693
4774, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 57423, 492224, 278.813965, 226.505020, 156467
2173, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 105, 465525, 237.165253, 210.800079, 158640
2631, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 92, 469152, 253.333649, 219.827896, 161271
2711, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 2878, 477235, 238.040848, 238.040848, 163982
3688, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 17293, 499541, 302.869873, 265.024353, 167670
6584, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 91971, 488515, 264.025208, 264.025208, 174254
1254, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 170, 367109, 144.687119, 137.577896, 175508
1356, 0, 0, 0, 0, 0, 0, 197, 67, 0, 0, 0, 387, 82898, 56.780586, 56.780586, 176864
1597, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 38, 444654, 183.246552, 183.246552, 178461
7841, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 168654, 518680, 360.740265, 320.937531, 186302
4585, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 64774, 503870, 322.910675, 283.712799, 190887
1130, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 48, 383213, 155.137512, 147.246307, 192017
2517, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 629, 477983, 245.239914, 231.156464, 194534
2244, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 502, 466169, 278.571381, 217.473221, 196778
6580, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 98798, 500924, 312.427368, 269.029541, 203358
2984, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 16633, 475473, 290.290833, 229.691208, 206342
2089, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 11659, 413123, 212.460632, 169.502441, 208431
8911, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 202254, 532499, 370.237244, 348.267395, 217342
6914, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 114877, 504596, 314.392517, 288.034302, 224256
7728, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 135372, 522850, 345.928406, 323.682526, 231984
8644, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 158643, 515551, 334.082977, 308.801544, 240628
8955, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 213271, 532719, 377.202362, 346.626892, 249583
10727, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 224954, 543481, 382.833374, 344.637634, 260310
8750, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 180811, 523483, 348.116943, 324.062988, 269060
7015, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 135778, 507880, 337.456909, 284.234650, 276075
8759, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 162229, 522106, 373.859375, 329.938477, 284834
8138, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 142290, 512754, 359.176819, 311.169556, 292972
4040, 0, 0, 0, 0, 0, 0, 197, 187, 0, 0, 0, 56257, 435429, 232.296707, 197.448776, 297012
