querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
2853, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 16982, 46903, 175.216614, 158.258011, 2853
2641, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 28088, 53150, 204.945953, 181.711288, 5494
1583, 0, 0, 0, 0, 0, 0, 1488, 380, 0, 0, 0, 1630, 23430, 85.829338, 85.829338, 7077
1735, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 15301, 44726, 161.469330, 101.962395, 8812
1884, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 13883, 43434, 148.433670, 147.802338, 10696
3171, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 29090, 50101, 193.552597, 183.378067, 13867
1586, 0, 0, 0, 0, 0, 0, 1488, 436, 0, 0, 0, 2280, 30768, 91.945015, 91.945015, 15453
1810, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 13164, 42160, 135.380249, 135.380249, 17263
1599, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 6275, 36488, 93.383331, 93.383331, 18862
2112, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 19198, 48488, 182.048187, 143.090012, 20974
1682, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 6206, 42831, 140.418671, 53.414455, 22656
1183, 0, 0, 0, 0, 0, 0, 1488, 276, 0, 0, 0, 1724, 9143, 44.603931, 44.603931, 23839
1588, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 15280, 48194, 175.939758, 146.280670, 25427
1753, 0, 0, 0, 0, 0, 0, 1488, 532, 0, 0, 0, 18726, 59253, 189.169159, 116.066116, 27180
1432, 0, 0, 0, 0, 0, 0, 1488, 436, 0, 0, 0, 2307, 25742, 93.357925, 92.917755, 28612
1589, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 8280, 39814, 135.642960, 111.920456, 30201
2251, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 25304, 51021, 194.605774, 194.605774, 32452
1477, 0, 0, 0, 0, 0, 0, 1488, 452, 0, 0, 0, 15028, 46314, 170.052307, 111.665489, 33929
