querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
8725, 0, 0, 0, 0, 0, 0, 19999, 1235, 0, 0, 0, 17, 1773946, 16.219980, 12.447767, 8725
1174, 0, 0, 0, 0, 0, 0, 19999, 179, 0, 0, 0, 11, 64201, 1.665452, 1.665452, 9899
9200, 0, 0, 0, 0, 0, 0, 19999, 1187, 0, 0, 0, 13, 1959232, 20.164251, 20.164251, 19099
238116, 0, 0, 0, 0, 0, 0, 19999, 15014, 0, 0, 0, 815798, 47576629, 256.220612, 213.470169, 257215
18976, 0, 0, 0, 0, 0, 0, 19999, 5514, 0, 0, 0, 34, 9477493, 73.656654, 49.990952, 276191
446, 0, 0, 0, 0, 0, 0, 19999, 139, 0, 0, 0, 15, 21307, 0.409124, 0.179217, 276637
144320, 0, 0, 0, 0, 0, 0, 19999, 14625, 0, 0, 0, 36221, 41679371, 177.853394, 151.610733, 420957
71001, 0, 0, 0, 0, 0, 0, 19999, 18097, 0, 0, 0, 186, 31564414, 231.911194, 92.912659, 491958
49512, 0, 0, 0, 0, 0, 0, 19999, 5234, 0, 0, 0, 18332, 13636222, 54.210293, 48.675865, 541470
516, 0, 0, 0, 0, 0, 0, 19999, 251, 0, 0, 0, 8, 97609, 0.989567, 0.989567, 541986
9512, 0, 0, 0, 0, 0, 0, 19999, 1851, 0, 0, 0, 48, 3004273, 17.821199, 14.495573, 551498
23896, 0, 0, 0, 0, 0, 0, 19999, 9283, 0, 0, 0, 88, 18800144, 103.583076, 55.950470, 575394
139648, 0, 0, 0, 0, 0, 0, 19999, 16713, 0, 0, 0, 55577, 45634773, 212.011642, 181.264847, 715042
642, 0, 0, 0, 0, 0, 0, 19999, 339, 0, 0, 0, 8, 82370, 6.714112, 6.714112, 715684
11674, 0, 0, 0, 0, 0, 0, 19999, 3331, 0, 0, 0, 650, 5230440, 49.684109, 37.990635, 727358
31290, 0, 0, 0, 0, 0, 0, 19999, 3003, 0, 0, 0, 25510, 7891631, 74.123863, 65.409508, 758648
101601, 0, 0, 0, 0, 0, 0, 19999, 13025, 0, 0, 0, 51753, 34089107, 202.627625, 141.049728, 860249
59990, 0, 0, 0, 0, 0, 0, 19999, 15775, 0, 0, 0, 77215, 23238832, 175.317291, 54.946808, 920239
68562, 0, 0, 0, 0, 0, 0, 19999, 15756, 0, 0, 0, 64, 39642225, 178.814270, 137.332855, 988801
111854, 0, 0, 0, 0, 0, 0, 19999, 16634, 0, 0, 0, 436082, 35253490, 217.186111, 126.871033, 1100655
128175, 0, 0, 0, 0, 0, 0, 19999, 18741, 0, 0, 0, 10145, 47636903, 261.592682, 202.817993, 1228830
749, 0, 0, 0, 0, 0, 0, 19999, 139, 0, 0, 0, 15, 59198, 0.802219, 0.770838, 1229579
3913, 0, 0, 0, 0, 0, 0, 19999, 2651, 0, 0, 0, 17, 2833184, 46.965187, 38.999683, 1233492
517, 0, 0, 0, 0, 0, 0, 19999, 267, 0, 0, 0, 14, 46249, 1.980150, 1.148669, 1234009
43480, 0, 0, 0, 0, 0, 0, 19999, 7010, 0, 0, 0, 1069, 17706922, 96.013565, 82.649544, 1277489
86347, 0, 0, 0, 0, 0, 0, 19999, 13403, 0, 0, 0, 125, 39819387, 189.180756, 150.033905, 1363836
5489, 0, 0, 0, 0, 0, 0, 19999, 915, 0, 0, 0, 76, 1612503, 7.558423, 7.403674, 1369325
46112, 0, 0, 0, 0, 0, 0, 19999, 15235, 0, 0, 0, 54, 33234321, 176.538544, 98.353348, 1415437
102132, 0, 0, 0, 0, 0, 0, 19999, 15302, 0, 0, 0, 499, 44200014, 189.105255, 175.922211, 1517569
19600, 0, 0, 0, 0, 0, 0, 19999, 2215, 0, 0, 0, 21156, 5070200, 15.101699, 14.879477, 1537169
4192, 0, 0, 0, 0, 0, 0, 19999, 955, 0, 0, 0, 43, 1841981, 12.238750, 12.238750, 1541361
48701, 0, 0, 0, 0, 0, 0, 19999, 16607, 0, 0, 0, 224, 33862452, 204.046692, 110.184891, 1590062
488, 0, 0, 0, 0, 0, 0, 19999, 155, 0, 0, 0, 8, 61908, 1.052321, 1.052321, 1590550
540, 0, 0, 0, 0, 0, 0, 19999, 115, 0, 0, 0, 19, 52317, 0.839579, 0.839579, 1591090
50775, 0, 0, 0, 0, 0, 0, 19999, 15138, 0, 0, 0, 149790, 21156605, 185.486893, 43.081024, 1641865
2552, 0, 0, 0, 0, 0, 0, 19999, 2355, 0, 0, 0, 26, 1755512, 22.863537, 16.145891, 1644417
58284, 0, 0, 0, 0, 0, 0, 19999, 15511, 0, 0, 0, 8887, 29653633, 191.803864, 88.550842, 1702701
