querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
8297, 0, 0, 0, 0, 0, 0, 807, 382, 0, 0, 0, 1520, 807357, 62.247360, 62.247360, 8297
1223, 0, 0, 0, 0, 0, 0, 807, 154, 0, 0, 0, 46, 33909, 6.325023, 5.631339, 9520
5156, 0, 0, 0, 0, 0, 0, 807, 182, 0, 0, 0, 649, 153629, 29.198050, 29.198050, 14676
920, 0, 0, 0, 0, 0, 0, 807, 158, 0, 0, 0, 37, 37868, 3.646834, 3.371729, 15596
871, 0, 0, 0, 0, 0, 0, 807, 170, 0, 0, 0, 37, 39308, 6.185989, 6.185989, 16467
5719, 0, 0, 0, 0, 0, 0, 807, 762, 0, 0, 0, 671, 1979869, 107.154747, 107.154747, 22186
1379, 0, 0, 0, 0, 0, 0, 807, 162, 0, 0, 0, 201, 75499, 16.428461, 13.997404, 23565
1993, 0, 0, 0, 0, 0, 0, 807, 458, 0, 0, 0, 162, 318973, 25.387943, 24.051296, 25558
644, 0, 0, 0, 0, 0, 0, 807, 130, 0, 0, 0, 8, 134, 0.000000, 0.000000, 26202
2385, 0, 0, 0, 0, 0, 0, 807, 262, 0, 0, 0, 480, 479763, 43.143997, 38.112732, 28587
779, 0, 0, 0, 0, 0, 0, 807, 162, 0, 0, 0, 34, 46193, 4.016717, 2.832206, 29366
10068, 0, 0, 0, 0, 0, 0, 807, 330, 0, 0, 0, 5875, 566358, 57.085896, 49.776207, 39434
778, 0, 0, 0, 0, 0, 0, 807, 190, 0, 0, 0, 64, 45457, 0.506250, 0.506250, 40212
543, 0, 0, 0, 0, 0, 0, 807, 142, 0, 0, 0, 38, 23484, 4.909945, 2.831873, 40755
658, 0, 0, 0, 0, 0, 0, 807, 162, 0, 0, 0, 59, 43090, 4.065889, 3.081250, 41413
736, 0, 0, 0, 0, 0, 0, 807, 162, 0, 0, 0, 60, 41521, 7.334002, 7.334002, 42149
567, 0, 0, 0, 0, 0, 0, 807, 170, 0, 0, 0, 38, 38908, 0.799904, 0.348326, 42716
522, 0, 0, 0, 0, 0, 0, 807, 142, 0, 0, 0, 18, 17317, 0.603243, 0.502818, 43238
3995, 0, 0, 0, 0, 0, 0, 807, 764, 0, 0, 0, 291, 2032595, 160.994156, 124.780502, 47233
700, 0, 0, 0, 0, 0, 0, 807, 162, 0, 0, 0, 38, 31481, 2.057920, 0.978197, 47933
590, 0, 0, 0, 0, 0, 0, 807, 166, 0, 0, 0, 22, 27905, 1.048083, 0.821146, 48523
1020, 0, 0, 0, 0, 0, 0, 807, 230, 0, 0, 0, 44, 89523, 0.724756, 0.470098, 49543
669, 0, 0, 0, 0, 0, 0, 807, 178, 0, 0, 0, 158, 57032, 2.561924, 2.395940, 50212
11743, 0, 0, 0, 0, 0, 0, 807, 764, 0, 0, 0, 73224, 2540467, 278.181519, 218.710754, 61955
