querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
29423, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 425706, 4001355, 274.359253, 243.993103, 29423
14784, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 343864, 3991176, 329.997498, 150.606812, 44207
9342, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 54171, 3999394, 298.701996, 218.079269, 53549
11799, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 265551, 3999342, 276.576294, 214.058029, 65348
9465, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 79297, 4001762, 281.801239, 239.503174, 74813
6298, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 2039, 4000530, 264.139648, 196.681717, 81111
7376, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 6584, 3999451, 245.084869, 228.887680, 88487
9201, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 64252, 3999387, 308.985657, 234.888672, 97688
4721, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 118, 3995169, 213.987717, 160.424622, 102409
21825, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 962725, 4000736, 317.521271, 231.059952, 124234
4654, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 70, 3992201, 206.109833, 178.847946, 128888
3333, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 111, 3922032, 181.037399, 113.034195, 132221
10031, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 177026, 4001729, 305.831970, 229.595108, 142252
6513, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1393, 3998213, 283.069977, 175.587921, 148765
5757, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 513, 3996648, 234.666718, 165.262955, 154522
6935, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 5088, 3999242, 261.875427, 219.725174, 161457
21774, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1027776, 4001769, 297.072388, 255.989929, 183231
23981, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1183379, 4000551, 280.480682, 236.959137, 207212
8819, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 71163, 4001769, 348.352631, 255.837006, 216031
17466, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 568500, 4000492, 294.714783, 216.517853, 233497
24164, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1106848, 4001772, 314.830383, 255.991608, 257661
6660, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 12182, 3998225, 288.753845, 187.160278, 264321
16220, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 690721, 4001694, 309.732147, 232.524597, 280541
21880, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 993628, 4002835, 279.100433, 250.405792, 302421
5328, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 106, 3997111, 242.957611, 190.958191, 307749
21078, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 881177, 4001707, 306.187195, 243.094238, 328827
9662, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 204206, 3999469, 348.119843, 236.400665, 338489
7321, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1004, 3999337, 223.611877, 215.161835, 345810
4160, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 139, 3930746, 127.947960, 87.816544, 349970
5298, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 232, 3977395, 213.107407, 122.827515, 355268
6868, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 3819, 3999387, 247.441666, 230.207062, 362136
4925, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 176, 3993774, 220.737640, 157.214447, 367061
4403, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 558, 3973820, 206.745789, 121.485970, 371464
10932, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 298239, 3965847, 156.752899, 109.317284, 382396
6823, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 12492, 3999092, 279.171112, 199.947586, 389219
19166, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 761405, 3999450, 295.450592, 223.902496, 408385
7916, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 75068, 3999366, 287.916199, 217.547638, 416301
4950, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 474, 3999330, 277.928467, 192.676620, 421251
6299, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 5221, 3998700, 260.061829, 190.665390, 427550
6622, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 81294, 3986211, 243.145172, 135.844391, 434172
11716, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 415923, 3989582, 313.317902, 143.709915, 445888
22448, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1139346, 3999371, 302.100403, 220.630951, 468336
5157, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 293, 3962858, 209.875427, 107.220505, 473493
18768, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 722322, 3999890, 284.348724, 187.090149, 492261
21127, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1036880, 4002723, 282.759674, 209.030334, 513388
7681, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 30062, 3999397, 258.398407, 214.924438, 521069
6656, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 8298, 4000326, 311.488892, 199.142838, 527725
21615, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1175324, 4001768, 314.414795, 255.634369, 549340
4547, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 296, 3949184, 209.288071, 98.236710, 553887
16401, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 578402, 4002825, 312.191559, 241.935974, 570288
4290, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 170, 3994798, 236.342026, 180.632614, 574578
10262, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 180813, 3978400, 143.931381, 120.998085, 584840
4554, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 72, 3992564, 207.303818, 158.858978, 589394
4944, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 502, 3994506, 227.735321, 163.453415, 594338
14472, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 597913, 4001751, 325.262909, 225.491425, 608810
7810, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 46186, 4002824, 302.656250, 245.684143, 616620
15377, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 574052, 4001720, 309.092377, 242.841888, 631997
7022, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 15809, 3999258, 248.863464, 205.862061, 639019
7820, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 8807, 3999389, 276.409515, 214.281876, 646839
5600, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 274, 3993067, 227.759125, 152.441223, 652439
7062, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 3367, 3999457, 247.214874, 222.736954, 659501
18290, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 771862, 4001434, 285.833679, 198.683136, 677791
9470, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 120219, 3999283, 296.769012, 212.861511, 687261
8102, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 31492, 3999209, 274.075806, 201.073898, 695363
18865, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 787025, 4001737, 305.368408, 224.214249, 714228
14978, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 493282, 3999660, 261.320221, 205.864807, 729206
6428, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1961, 3998808, 248.281631, 221.038574, 735634
4202, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 299, 3993732, 241.878738, 158.989151, 739836
10280, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 211533, 4001762, 288.351166, 236.994110, 750116
5066, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 424, 3977849, 140.493713, 123.902039, 755182
7219, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 8770, 3999304, 265.878296, 215.359375, 762401
17751, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 730608, 4003462, 306.478302, 255.988495, 780152
19054, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 759212, 4002776, 324.078339, 220.850555, 799206
6963, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1047, 3999455, 254.178406, 233.355576, 806169
5631, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 3252, 3996504, 238.346695, 188.458023, 811800
6947, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 4665, 4001670, 262.386841, 216.994446, 818747
8666, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 55128, 3999440, 308.717102, 228.104324, 827413
4876, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 567, 3994804, 249.582123, 174.128571, 832289
6942, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 30601, 3891472, 121.499817, 72.251282, 839231
12736, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 375098, 3980830, 199.709076, 126.829346, 851967
11291, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 249190, 4001756, 305.662537, 255.987015, 863258
5382, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1049, 3989190, 201.327850, 141.381302, 868640
5611, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 429, 3998574, 259.032623, 194.860275, 874251
7197, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 2260, 3999251, 256.500732, 202.055405, 881448
6227, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 295, 3993364, 260.885254, 155.009811, 887675
6313, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1084, 3998760, 242.518906, 220.699615, 893988
21847, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 966419, 4002828, 302.122894, 255.991028, 915835
5302, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 676, 3993118, 212.613037, 156.508163, 921137
8288, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 94840, 3958792, 199.155457, 103.928101, 929425
16209, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 687180, 4001736, 310.129700, 255.986084, 945634
12451, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 417637, 4002817, 314.715057, 255.988403, 958085
6025, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 851, 3992666, 269.870605, 153.665222, 964110
13439, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 527903, 3997066, 202.935928, 167.082184, 977549
19823, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 833653, 4003493, 323.186981, 255.987137, 997372
5525, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 300, 3998435, 242.219833, 194.823318, 1002897
24573, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1304125, 4000556, 272.619629, 240.180206, 1027470
20485, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1038103, 4001761, 324.438538, 231.256195, 1047955
4745, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 100, 3974435, 200.909042, 119.743744, 1052700
8176, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 65100, 4001720, 301.066406, 251.800476, 1060876
22028, 0, 0, 0, 0, 0, 0, 769, 750, 0, 0, 0, 1070010, 4001827, 323.352386, 223.355209, 1082904
10829.040000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 769, 750.000000, 0.000000, 0.000000, 0.000000, 285516.750000, 3993492.100000, 263.833130, 197.297596, 1082904.000000
