querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
334728, 0, 0, 0, 0, 0, 0, 18295, 18228, 0, 0, 0, 54651, 92646, 368.939514, 17.696831, 334728
135495, 0, 0, 0, 0, 0, 0, 18295, 18239, 0, 0, 0, 46945, 137305, 379.079590, 14.898205, 470223
4984, 0, 0, 0, 0, 0, 0, 18295, 9187, 0, 0, 0, 775, 94413, 17.828831, 17.828831, 475207
75262, 0, 0, 0, 0, 0, 0, 18295, 18246, 0, 0, 0, 69384, 90085, 399.803070, 15.856451, 550469
9010, 0, 0, 0, 0, 0, 0, 18295, 3088, 0, 0, 0, 11190, 11857, 14.364670, 14.364670, 559479
60963, 0, 0, 0, 0, 0, 0, 18295, 18252, 0, 0, 0, 75645, 126051, 422.440735, 15.054003, 620442
46977, 0, 0, 0, 0, 0, 0, 18295, 18254, 0, 0, 0, 89316, 346013, 461.045685, 16.723976, 667419
4762, 0, 0, 0, 0, 0, 0, 18295, 6852, 0, 0, 0, 6419, 47081, 16.485149, 16.485149, 672181
24727, 0, 0, 0, 0, 0, 0, 18295, 18242, 0, 0, 0, 39143, 199279, 364.411438, 15.144853, 696908
17677, 0, 0, 0, 0, 0, 0, 18295, 18254, 0, 0, 0, 163463, 198639, 475.913116, 15.658474, 714585
1934, 0, 0, 0, 0, 0, 0, 18295, 4576, 0, 0, 0, 1945, 54103, 14.940657, 14.940657, 716519
11768, 0, 0, 0, 0, 0, 0, 18295, 18250, 0, 0, 0, 103663, 202842, 419.891266, 14.938226, 728287
10833, 0, 0, 0, 0, 0, 0, 18295, 18242, 0, 0, 0, 75471, 596897, 374.429443, 14.115511, 739120
11281, 0, 0, 0, 0, 0, 0, 18295, 18230, 0, 0, 0, 47140, 94381, 348.938904, 16.976395, 750401
6774, 0, 0, 0, 0, 0, 0, 18295, 17661, 0, 0, 0, 1964, 751888, 129.868942, 15.534547, 757175
636, 0, 0, 0, 0, 0, 0, 18295, 1115, 0, 0, 0, 4, 8628, 15.949064, 15.949064, 757811
1030, 0, 0, 0, 0, 0, 0, 18295, 1446, 0, 0, 0, 1595, 12650, 20.205748, 20.205748, 758841
934, 0, 0, 0, 0, 0, 0, 18295, 1055, 0, 0, 0, 1392, 5376, 16.048643, 16.048643, 759775
581, 0, 0, 0, 0, 0, 0, 18295, 866, 0, 0, 0, 2, 5609, 15.684229, 15.684229, 760356
