querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
55891, 0, 0, 0, 0, 0, 0, 24248, 17928, 0, 0, 0, 898, 43532896, 75.870728, 51.895214, 55891
24851, 0, 0, 0, 0, 0, 0, 24248, 17353, 0, 0, 0, 236, 25389321, 50.788445, 36.224579, 80742
8499, 0, 0, 0, 0, 0, 0, 24248, 4737, 0, 0, 0, 133, 8412988, 19.078070, 19.078070, 89241
12014, 0, 0, 0, 0, 0, 0, 24248, 10947, 0, 0, 0, 167, 11757055, 28.092388, 21.251453, 101255
22165, 0, 0, 0, 0, 0, 0, 24248, 13260, 0, 0, 0, 324, 21518204, 37.694607, 30.531563, 123420
61746, 0, 0, 0, 0, 0, 0, 24248, 22925, 0, 0, 0, 657, 64829020, 77.344254, 64.408295, 185166
46033, 0, 0, 0, 0, 0, 0, 24248, 19551, 0, 0, 0, 745, 49052312, 69.508957, 55.455639, 231199
5532, 0, 0, 0, 0, 0, 0, 24248, 7428, 0, 0, 0, 114, 5480004, 25.042562, 18.778326, 236731
53004, 0, 0, 0, 0, 0, 0, 24248, 23043, 0, 0, 0, 672, 56005715, 67.776001, 56.610989, 289735
15697, 0, 0, 0, 0, 0, 0, 24248, 8952, 0, 0, 0, 164, 19440847, 40.182129, 35.827152, 305432
23334, 0, 0, 0, 0, 0, 0, 24248, 16791, 0, 0, 0, 211, 27021808, 38.132401, 29.562952, 328766
33638, 0, 0, 0, 0, 0, 0, 24248, 18345, 0, 0, 0, 481, 38703749, 56.025429, 40.874527, 362404
14260, 0, 0, 0, 0, 0, 0, 24248, 8403, 0, 0, 0, 127, 17277410, 25.919355, 25.919355, 376664
18508, 0, 0, 0, 0, 0, 0, 24248, 10411, 0, 0, 0, 147, 20626433, 34.585472, 31.971146, 395172
28671, 0, 0, 0, 0, 0, 0, 24248, 19972, 0, 0, 0, 542, 30371421, 52.048061, 34.025208, 423843
34029, 0, 0, 0, 0, 0, 0, 24248, 15613, 0, 0, 0, 286, 40647366, 49.957626, 47.194710, 457872
14253, 0, 0, 0, 0, 0, 0, 24248, 7077, 0, 0, 0, 154, 17210033, 33.831333, 33.831333, 472125
33788, 0, 0, 0, 0, 0, 0, 24248, 18153, 0, 0, 0, 538, 39261515, 44.941673, 39.507542, 505913
15134, 0, 0, 0, 0, 0, 0, 24248, 8806, 0, 0, 0, 218, 16530687, 27.278128, 23.175108, 521047
4112, 0, 0, 0, 0, 0, 0, 24248, 5766, 0, 0, 0, 126, 3079182, 18.879948, 11.921934, 525159
28927, 0, 0, 0, 0, 0, 0, 24248, 17105, 0, 0, 0, 237, 33325480, 55.937199, 39.000286, 554086
1877, 0, 0, 0, 0, 0, 0, 24248, 739, 0, 0, 0, 240, 865870, 4.172885, 4.172885, 555963
5493, 0, 0, 0, 0, 0, 0, 24248, 4377, 0, 0, 0, 180, 5467152, 15.935807, 14.442435, 561456
8055, 0, 0, 0, 0, 0, 0, 24248, 6989, 0, 0, 0, 40, 8104976, 18.100607, 15.494273, 569511
10343, 0, 0, 0, 0, 0, 0, 24248, 10322, 0, 0, 0, 160, 10941183, 27.960154, 23.890129, 579854
13324, 0, 0, 0, 0, 0, 0, 24248, 6402, 0, 0, 0, 241, 17734848, 42.481491, 42.481491, 593178
21661, 0, 0, 0, 0, 0, 0, 24248, 10555, 0, 0, 0, 111, 26092748, 32.695904, 32.695904, 614839
6577, 0, 0, 0, 0, 0, 0, 24248, 8262, 0, 0, 0, 98, 5949895, 20.191425, 12.823502, 621416
23760, 0, 0, 0, 0, 0, 0, 24248, 15572, 0, 0, 0, 160, 27249595, 40.861492, 32.532623, 645176
8739, 0, 0, 0, 0, 0, 0, 24248, 12204, 0, 0, 0, 231, 7924415, 41.952831, 16.004932, 653915
5457, 0, 0, 0, 0, 0, 0, 24248, 3335, 0, 0, 0, 215, 5515350, 14.046049, 11.604307, 659372
1645, 0, 0, 0, 0, 0, 0, 24248, 659, 0, 0, 0, 122, 539767, 4.416142, 4.416142, 661017
10566, 0, 0, 0, 0, 0, 0, 24248, 8976, 0, 0, 0, 35, 10719327, 30.809072, 26.473785, 671583
7203, 0, 0, 0, 0, 0, 0, 24248, 4568, 0, 0, 0, 94, 8563173, 30.431028, 26.615772, 678786
3580, 0, 0, 0, 0, 0, 0, 24248, 3118, 0, 0, 0, 36, 3119042, 19.492355, 14.905596, 682366
13077, 0, 0, 0, 0, 0, 0, 24248, 8599, 0, 0, 0, 182, 15599524, 30.945925, 25.421726, 695443
6637, 0, 0, 0, 0, 0, 0, 24248, 5252, 0, 0, 0, 56, 7799663, 23.501402, 20.533939, 702080
8227, 0, 0, 0, 0, 0, 0, 24248, 5973, 0, 0, 0, 154, 8791594, 27.179224, 21.073164, 710307
14269, 0, 0, 0, 0, 0, 0, 24248, 9329, 0, 0, 0, 50, 15576126, 26.875610, 22.067575, 724576
