querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
103129, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 53232, 85869911, 272.817993, 217.268494, 103129
65281, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 239, 83859071, 228.792160, 147.639908, 168410
55105, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 1163, 82893254, 250.703918, 124.486542, 223515
62945, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 1156, 85091934, 254.171387, 184.155121, 286460
34414, 0, 0, 0, 0, 0, 0, 19295, 18872, 0, 0, 0, 290, 69787268, 162.111023, 120.844978, 320874
48672, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 283, 82895668, 207.146927, 127.045845, 369546
55009, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 714, 84577617, 249.932541, 167.251038, 424555
47939, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 3524, 83424322, 195.866440, 154.674896, 472494
53914, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 1430, 84397802, 257.770203, 162.522446, 526408
1779, 0, 0, 0, 0, 0, 0, 19295, 1108, 0, 0, 0, 23, 1007838, 41.256969, 41.256969, 528187
57883, 0, 0, 0, 0, 0, 0, 19295, 19252, 0, 0, 0, 158, 84129740, 224.079391, 165.862076, 586070
56981, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 2638, 85081715, 285.238770, 184.297760, 643051
54694, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 188, 84255131, 229.945267, 157.931213, 697745
47191, 0, 0, 0, 0, 0, 0, 19295, 19250, 0, 0, 0, 227, 83053514, 214.254044, 130.274887, 744936
46583, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 1068, 82816542, 222.891113, 127.069702, 791519
53220, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 522, 84906055, 237.362000, 179.548904, 844739
51902, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 1253, 84689492, 250.276657, 170.973923, 896641
96371, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 133613, 86411983, 323.691101, 248.867752, 993012
50546, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 455, 83730066, 266.780273, 143.385269, 1043558
75980, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 51990, 85675181, 272.269836, 205.413025, 1119538
54223, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 1559, 84925554, 236.669144, 182.777618, 1173761
60328, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 429, 85100047, 233.210571, 190.047455, 1234089
57511, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 2621, 84826533, 304.098846, 175.201584, 1291600
48706, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 465, 83607215, 253.640762, 141.163986, 1340306
57457, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 1463, 84687310, 231.130646, 171.076935, 1397763
68649, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 122517, 85411646, 271.855042, 201.524429, 1466412
51438, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 410, 84412039, 262.332214, 162.945328, 1517850
67112, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 71017, 85371853, 278.703308, 194.481155, 1584962
70102, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 79810, 85758730, 280.073181, 209.982590, 1655064
50975, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 711, 84237725, 252.648239, 157.164444, 1706039
48134, 0, 0, 0, 0, 0, 0, 19295, 19240, 0, 0, 0, 67, 83208139, 137.309509, 131.958099, 1754173
53074, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 6643, 84853154, 298.343811, 176.389191, 1807247
51914, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 3789, 84835355, 263.323334, 175.430099, 1859161
52057, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 1975, 85264917, 292.435272, 191.212799, 1911218
49296, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 855, 84435923, 289.214203, 163.357971, 1960514
55253, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 21106, 85026144, 338.733521, 183.865067, 2015767
42817, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 384, 83315773, 182.987045, 154.893814, 2058584
50161, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 803, 84794421, 263.061920, 174.735184, 2108745
49688, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 636, 84650843, 225.582474, 174.501190, 2158433
60706, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 60042, 85261444, 321.560333, 190.393585, 2219139
44315, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 120, 81959109, 210.275528, 106.782005, 2263454
46711, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 636, 84412920, 227.899078, 163.529907, 2310165
48397, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 555, 83571777, 265.360504, 140.182251, 2358562
43524, 0, 0, 0, 0, 0, 0, 19295, 19250, 0, 0, 0, 186, 82362773, 209.694366, 119.883598, 2402086
39977, 0, 0, 0, 0, 0, 0, 19295, 19184, 0, 0, 0, 226, 78935342, 178.981796, 136.432861, 2442063
59288, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 32258, 85540094, 278.580902, 206.949310, 2501351
52233, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 1454, 84790760, 242.794250, 175.126724, 2553584
47713, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 486, 84147907, 269.222290, 155.385574, 2601297
42664, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 265, 81812141, 241.277161, 109.062462, 2643961
45739, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 418, 81941823, 274.956543, 107.266907, 2689700
52064, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 2669, 84573744, 272.952057, 167.964569, 2741764
48769, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 1262, 84571802, 221.944122, 176.333313, 2790533
55737, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 2332, 85325365, 277.629944, 192.752533, 2846270
59306, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 8098, 85672109, 275.398254, 209.436707, 2905576
48498, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 319, 82898754, 235.041428, 125.747108, 2954074
69407, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 69180, 85746150, 286.199493, 209.595230, 3023481
45799, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 715, 82392367, 273.488342, 115.334541, 3069280
55114, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 720, 85168462, 253.112366, 186.990906, 3124394
45391, 0, 0, 0, 0, 0, 0, 19295, 19252, 0, 0, 0, 153, 83294946, 227.145874, 136.315247, 3169785
70687, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 83970, 86089042, 319.224213, 224.671631, 3240472
54993, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 12667, 84968228, 267.262817, 180.247009, 3295465
43005, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 1978, 82198429, 276.477081, 118.555550, 3338470
48198, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 581, 83484170, 240.763184, 138.261108, 3386668
59791, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 31396, 85236510, 292.324799, 188.258484, 3446459
54272, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 2044, 85141372, 239.697220, 187.001068, 3500731
47994, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 632, 82427886, 290.237610, 114.894836, 3548725
80158, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 740511, 86001632, 312.217224, 221.502960, 3628883
44188, 0, 0, 0, 0, 0, 0, 19295, 19254, 0, 0, 0, 613, 81985072, 228.980850, 107.997246, 3673071
46559, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 739, 82786503, 261.595398, 123.035782, 3719630
52439, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 2435, 84581642, 323.215790, 167.876678, 3772069
54846, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 1270, 85137663, 268.228271, 186.172546, 3826915
58292, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 20068, 85286954, 305.400146, 191.371338, 3885207
49666, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 794, 84043403, 285.192719, 151.143890, 3934873
46766, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 458, 83125846, 242.075241, 130.267105, 3981639
50381, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 1661, 84635850, 296.591095, 169.752426, 4032020
50013, 0, 0, 0, 0, 0, 0, 19295, 19256, 0, 0, 0, 744, 84486327, 238.149033, 164.245041, 4082033
81881, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 1039750, 85980791, 272.788300, 219.017151, 4163914
51452, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 512, 84857273, 257.808777, 176.772247, 4215366
56199, 0, 0, 0, 0, 0, 0, 19295, 19258, 0, 0, 0, 4682, 85387063, 303.118713, 195.026550, 4271565
44630, 0, 0, 0, 0, 0, 0, 19295, 19248, 0, 0, 0, 432, 84033299, 190.067810, 158.856476, 4316195
