querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
95092, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 5580417, 35691569, 231.081543, 197.435654, 95092
19328, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 342, 29049029, 142.408157, 104.374054, 114420
25906, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1388, 35667541, 225.685394, 180.244339, 140326
26616, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 5855, 35721213, 279.366730, 197.705124, 166942
19093, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 82, 35338417, 150.312317, 143.106445, 186035
164863, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 17350422, 35795765, 331.072662, 252.393997, 350898
24178, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 10240, 35598737, 286.976288, 161.773743, 375076
212375, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 19605724, 35812565, 320.319885, 255.999405, 587451
94186, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 7358575, 35742881, 300.160919, 226.760910, 681637
95186, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 9443305, 35564691, 190.986771, 149.130676, 776823
109996, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 10426801, 35670057, 239.640778, 177.441101, 886819
14864, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 27950, 19843651, 80.151733, 25.845432, 901683
210068, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 20458010, 35813482, 352.364441, 255.999298, 1111751
31646, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 97100, 35767039, 251.522903, 226.074768, 1143397
21471, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 411, 35634185, 208.026154, 169.612061, 1164868
23986, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 776, 35710375, 229.872314, 196.722870, 1188854
106058, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 9183157, 35807582, 293.036530, 250.125214, 1294912
21054, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1747, 35667705, 245.544403, 180.750015, 1315966
179113, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 16816685, 35830012, 333.772003, 255.998138, 1495079
31313, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 58943, 35771858, 257.203613, 226.219116, 1526392
26588, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 3939, 35707649, 262.252075, 191.079590, 1552980
25269, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 2424, 35677473, 265.905945, 183.750427, 1578249
77651, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 5247201, 35699735, 223.082932, 191.238434, 1655900
21257, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 195, 35633638, 184.976257, 169.300980, 1677157
20002, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 2194, 35536558, 182.788406, 147.729996, 1697159
4889, 0, 0, 0, 0, 0, 0, 6065, 2740, 0, 0, 0, 352, 4465253, 144.101578, 88.271446, 1702048
81091, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 5535383, 35790064, 283.987518, 237.982239, 1783139
21074, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1023, 35612914, 249.544357, 162.195740, 1804213
24921, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 4010, 35659231, 290.644745, 173.879700, 1829134
36934, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 548414, 35758366, 299.707245, 219.060059, 1866068
20727, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 369, 35640999, 226.839996, 174.843048, 1886795
183690, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 17530415, 35817340, 347.433624, 255.998871, 2070485
34175, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 314768, 35772369, 251.708008, 230.416183, 2104660
105455, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 8192121, 35796153, 325.207306, 255.999191, 2210115
23316, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 6915, 35424097, 157.129990, 136.511703, 2233431
25540, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 3250, 35749630, 276.285980, 211.081268, 2258971
20298, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1650, 35523768, 197.499954, 154.440582, 2279269
65119, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 4791686, 35661995, 269.320679, 178.396225, 2344388
15553, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 269, 32204912, 188.158722, 123.541138, 2359941
28212, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 47612, 35720546, 263.883484, 202.385361, 2388153
22544, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 748, 35644390, 240.026733, 172.721222, 2410697
92479, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 7103196, 35789519, 315.470520, 239.335861, 2503176
23837, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 670, 35688449, 260.780212, 187.490829, 2527013
32150, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 137963, 35774796, 273.685242, 216.625839, 2559163
100062, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 7077266, 35808499, 333.283813, 253.178970, 2659225
27810, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 7572, 35728073, 248.197784, 204.300858, 2687035
184867, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 17869706, 35812334, 353.668701, 255.997589, 2871902
