querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
852, 0, 0, 0, 0, 0, 0, 27673, 71, 0, 0, 0, 78, 3311, 0.000000, 0.000000, 852
123238, 0, 0, 0, 0, 0, 0, 27673, 25776, 0, 0, 0, 613, 80117014, 46.671448, 34.549793, 124090
316, 0, 0, 0, 0, 0, 0, 27673, 71, 0, 0, 0, 18, 145, 0.000000, 0.000000, 124406
117593, 0, 0, 0, 0, 0, 0, 27673, 25521, 0, 0, 0, 693, 81538631, 44.810150, 38.919632, 241999
443, 0, 0, 0, 0, 0, 0, 27673, 71, 0, 0, 0, 143, 1429, 0.000000, 0.000000, 242442
282, 0, 0, 0, 0, 0, 0, 27673, 71, 0, 0, 0, 115, 282, 0.000000, 0.000000, 242724
35587, 0, 0, 0, 0, 0, 0, 27673, 25203, 0, 0, 0, 87, 23715222, 38.516804, 15.690112, 278311
600, 0, 0, 0, 0, 0, 0, 27673, 71, 0, 0, 0, 744, 1041, 0.000000, 0.000000, 278911
124687, 0, 0, 0, 0, 0, 0, 27673, 26932, 0, 0, 0, 9814, 88852372, 57.760101, 42.899731, 403598
78149, 0, 0, 0, 0, 0, 0, 27673, 22536, 0, 0, 0, 289, 67551289, 35.315331, 35.166306, 481747
92152, 0, 0, 0, 0, 0, 0, 27673, 26225, 0, 0, 0, 165, 80845234, 36.929279, 36.619648, 573899
26591, 0, 0, 0, 0, 0, 0, 27673, 26625, 0, 0, 0, 2209, 13469411, 59.357220, 11.109506, 600490
27451, 0, 0, 0, 0, 0, 0, 27673, 13512, 0, 0, 0, 77, 21327528, 15.164784, 15.164784, 627941
113106, 0, 0, 0, 0, 0, 0, 27673, 27663, 0, 0, 0, 1860, 87980864, 62.441208, 37.922192, 741047
27778, 0, 0, 0, 0, 0, 0, 27673, 26914, 0, 0, 0, 9591, 11906885, 65.959076, 13.402409, 768825
198691, 0, 0, 0, 0, 0, 0, 27673, 27663, 0, 0, 0, 48759, 96010066, 81.739098, 51.779781, 967516
17714, 0, 0, 0, 0, 0, 0, 27673, 9596, 0, 0, 0, 352, 11785189, 11.827599, 10.243480, 985230
191870, 0, 0, 0, 0, 0, 0, 27673, 27663, 0, 0, 0, 6390, 96608069, 58.272736, 55.759556, 1177100
77771, 0, 0, 0, 0, 0, 0, 27673, 26251, 0, 0, 0, 261, 67998147, 48.065907, 30.069393, 1254871
25811, 0, 0, 0, 0, 0, 0, 27673, 13562, 0, 0, 0, 82, 19372294, 19.773933, 16.314886, 1280682
90976, 0, 0, 0, 0, 0, 0, 27673, 25689, 0, 0, 0, 327, 70699658, 50.102570, 28.263241, 1371658
71736, 0, 0, 0, 0, 0, 0, 27673, 27663, 0, 0, 0, 780, 59308558, 61.988220, 22.642014, 1443394
26520, 0, 0, 0, 0, 0, 0, 27673, 19636, 0, 0, 0, 700, 20115314, 32.176918, 16.834091, 1469914
111205, 0, 0, 0, 0, 0, 0, 27673, 26799, 0, 0, 0, 313, 82363387, 38.662098, 32.403099, 1581119
13845, 0, 0, 0, 0, 0, 0, 27673, 5624, 0, 0, 0, 2554, 10685224, 19.679853, 15.549284, 1594964
