querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
7710, 13, 645, 185582, 641, 0, 0, 51495, 2, 0, 0, 0, 9270, 9269, 0.000000, 0.000000, 7701
69491, 19, 1, 241611, 53945, 0, 0, 51495, 65, 0, 0, 0, 643912, 650542, 292.683014, 0.011769, 77176
56152, 11, 1, 388628, 86036, 0, 0, 51495, 50, 0, 0, 0, 493261, 499885, 292.615784, 0.047113, 133321
64887, 13, 2, 252342, 59981, 0, 0, 51495, 65, 0, 0, 0, 587793, 594423, 292.558594, 0.106084, 198198
57405, 9, 2, 200764, 60661, 0, 0, 51495, 62, 0, 0, 0, 637489, 644119, 292.511536, 0.188722, 255596
65108, 17, 2, 200085, 74422, 0, 0, 51495, 58, 0, 0, 0, 570890, 577515, 292.474609, 0.295057, 320692
53437, 10, 2, 178965, 63140, 0, 0, 51495, 64, 0, 0, 0, 577236, 583857, 292.447845, 0.425111, 374121
62190, 16, 2, 417365, 116799, 0, 0, 51495, 60, 0, 0, 0, 618371, 624151, 292.431122, 0.578896, 436300
57283, 12, 2, 444200, 103583, 0, 0, 51495, 61, 0, 0, 0, 561454, 574259, 292.424683, 0.756411, 493575
66642, 22, 2, 457373, 87265, 0, 0, 51495, 61, 0, 0, 0, 518205, 556924, 292.428406, 0.957650, 560200
72212, 26, 2, 464899, 113085, 0, 0, 51495, 58, 0, 0, 0, 515370, 521964, 292.442200, 1.182593, 632393
54989, 13, 1, 433673, 123123, 0, 0, 51495, 67, 0, 0, 0, 506390, 581355, 292.466248, 1.431213, 687375
52776, 13, 1, 478075, 120241, 0, 0, 51495, 54, 0, 0, 0, 431080, 524267, 292.500519, 1.703470, 740145
55208, 9, 1, 479087, 105210, 0, 0, 51495, 54, 0, 0, 0, 469587, 577098, 292.544891, 1.999317, 795346
55164, 10, 1, 429994, 90974, 0, 0, 51495, 71, 0, 0, 0, 574743, 746161, 292.599335, 2.318696, 850503
52403, 8, 1, 419618, 114197, 0, 0, 51495, 78, 0, 0, 0, 540213, 810967, 292.664062, 2.661540, 902899
66860, 27, 2, 358402, 106777, 0, 0, 51495, 81, 0, 0, 0, 496719, 776091, 292.738831, 3.027771, 969739
67099, 26, 2, 317001, 102561, 0, 0, 51495, 100, 0, 0, 0, 515168, 978743, 292.823669, 3.417302, 1036818
66923, 28, 1, 304103, 101611, 0, 0, 51495, 118, 0, 0, 0, 458765, 1150854, 292.918579, 3.830037, 1103721
75682, 10, 1, 272294, 114188, 0, 0, 51495, 155, 0, 0, 0, 558716, 1345125, 293.023529, 4.265870, 1179396
62566, 22, 1, 361342, 94194, 0, 0, 51495, 181, 0, 0, 0, 582117, 1617383, 104.853653, 4.724687, 1241946
87248, 27, 2, 272096, 107789, 0, 0, 51495, 227, 0, 0, 0, 568615, 1924626, 105.222626, 5.206360, 1329173
56988, 10, 2, 231424, 104585, 0, 0, 51495, 299, 0, 0, 0, 553852, 2373832, 105.609879, 5.710759, 1386154
68093, 13, 1, 235698, 110572, 0, 0, 51495, 351, 0, 0, 0, 622694, 2754619, 106.015274, 6.237741, 1454238
60900, 12, 1, 220574, 79630, 0, 0, 51495, 423, 0, 0, 0, 611290, 3300149, 106.438705, 6.787153, 1515128
60306, 13, 1, 220583, 94992, 0, 0, 51495, 505, 0, 0, 0, 544561, 3952067, 106.880020, 7.358836, 1575425
63457, 17, 1, 222189, 111176, 0, 0, 51495, 594, 0, 0, 0, 564742, 4548738, 107.339111, 7.952621, 1638870
66362, 19, 8, 220562, 90489, 0, 0, 51495, 697, 0, 0, 0, 566800, 5372426, 107.815834, 8.568335, 1705219
77437, 12, 1, 230729, 126141, 0, 0, 51495, 783, 0, 0, 0, 632606, 6098635, 108.310020, 9.205786, 1782648
63458, 12, 1, 233710, 85222, 0, 0, 51495, 887, 0, 0, 0, 591644, 6951592, 108.821564, 9.864790, 1846098
68718, 18, 1, 245037, 96800, 0, 0, 51495, 981, 0, 0, 0, 620510, 7711291, 109.350273, 10.545137, 1914803
76463, 13, 2, 256684, 90055, 0, 0, 51495, 1082, 0, 0, 0, 556078, 8639755, 109.895981, 11.246633, 1991257
69686, 14, 2, 251646, 79535, 0, 0, 51495, 1182, 0, 0, 0, 573306, 9532609, 110.458527, 11.969043, 2060932
78487, 13, 1, 266766, 85419, 0, 0, 51495, 1329, 0, 0, 0, 600119, 10586755, 111.037735, 12.712160, 2139410
72631, 13, 1, 251224, 66298, 0, 0, 51495, 1457, 0, 0, 0, 557592, 11791274, 111.633423, 13.475749, 2212033
77049, 12, 2, 244404, 85004, 0, 0, 51495, 1635, 0, 0, 0, 625239, 13160325, 112.245392, 14.259572, 2289073
76819, 13, 2, 242970, 94157, 0, 0, 51495, 1848, 0, 0, 0, 613350, 14709351, 112.873466, 15.063391, 2365883
90230, 14, 1, 265976, 83403, 0, 0, 51495, 2064, 0, 0, 0, 572240, 16302522, 113.517441, 15.886956, 2456103
68285, 10, 1, 204684, 112029, 0, 0, 51495, 2369, 0, 0, 0, 610399, 18136984, 114.177109, 16.730011, 2524381
84777, 10, 2, 234603, 74626, 0, 0, 51495, 2692, 0, 0, 0, 569644, 20280814, 114.852257, 17.592297, 2609151
86154, 13, 2, 228881, 82139, 0, 0, 51495, 3111, 0, 0, 0, 576911, 22716356, 115.542702, 18.473545, 2695296
91472, 14, 2, 262375, 88665, 0, 0, 51495, 3560, 0, 0, 0, 632212, 25431484, 116.248192, 19.373489, 2786758
93092, 10, 1, 236620, 60135, 0, 0, 51495, 4015, 0, 0, 0, 598914, 28258474, 116.968536, 20.291847, 2879843
98752, 13, 1, 232105, 61647, 0, 0, 51495, 4527, 0, 0, 0, 603974, 31431232, 117.703514, 21.228342, 2978587
102775, 13, 2, 239438, 61945, 0, 0, 51495, 5009, 0, 0, 0, 547882, 34460505, 118.452850, 22.182688, 3081353
113855, 12, 1, 236698, 69602, 0, 0, 51495, 5474, 0, 0, 0, 605429, 37276980, 119.216385, 23.154602, 3195200
107594, 15, 1, 247194, 74912, 0, 0, 51495, 5947, 0, 0, 0, 601532, 40314674, 119.993828, 24.143776, 3302785
111676, 13, 1, 227915, 80573, 0, 0, 51495, 6439, 0, 0, 0, 660675, 43513017, 120.784966, 25.149925, 3414453
118338, 14, 2, 244687, 72382, 0, 0, 51495, 6941, 0, 0, 0, 581948, 46720735, 121.589546, 26.172745, 3532782
122153, 14, 1, 239416, 56489, 0, 0, 51495, 7451, 0, 0, 0, 607542, 49618776, 122.407349, 27.211931, 3654926
129570, 14, 1, 234292, 83367, 0, 0, 51495, 7973, 0, 0, 0, 627446, 52584504, 123.238129, 28.267179, 3784487
130043, 13, 1, 226941, 81586, 0, 0, 51495, 8565, 0, 0, 0, 675007, 55512703, 124.081612, 29.338179, 3914520
143506, 15, 2, 267958, 54489, 0, 0, 51495, 9212, 0, 0, 0, 662267, 58728428, 124.937569, 30.424620, 4058015
140181, 13, 2, 215756, 71265, 0, 0, 51495, 9924, 0, 0, 0, 635168, 61986892, 125.805756, 31.526188, 4198187
150846, 19, 1, 239397, 54598, 0, 0, 51495, 10719, 0, 0, 0, 756173, 65492002, 126.685898, 32.642567, 4349019
139902, 12, 1, 196822, 60141, 0, 0, 51495, 11517, 0, 0, 0, 748459, 69008517, 127.577744, 33.773430, 4488914
162449, 13, 2, 247403, 70514, 0, 0, 51495, 12336, 0, 0, 0, 830867, 72285367, 128.481064, 34.918476, 4651354
166022, 15, 2, 259766, 78388, 0, 0, 51495, 13076, 0, 0, 0, 902772, 75254112, 129.395584, 36.077377, 4817365
171006, 13, 1, 257311, 65088, 0, 0, 51495, 13797, 0, 0, 0, 1072846, 78190849, 130.321060, 37.249805, 4988363
176516, 14, 2, 241619, 67284, 0, 0, 51495, 14393, 0, 0, 0, 1231316, 80485383, 131.257233, 38.435463, 5164870
182758, 14, 1, 249698, 72443, 0, 0, 51495, 14945, 0, 0, 0, 1406260, 82257486, 132.203812, 39.633995, 5347618
183581, 14, 1, 214859, 63651, 0, 0, 51495, 15470, 0, 0, 0, 1636114, 83690123, 133.160583, 40.845100, 5531190
191423, 14, 1, 242342, 65709, 0, 0, 51495, 16004, 0, 0, 0, 1968852, 85060720, 134.127274, 42.068451, 5722604
149123, 14, 3395, 210386, 54324, 0, 0, 51495, 16610, 0, 0, 0, 2330281, 86455292, 135.103607, 43.303715, 5871717
153492, 13, 3334, 195139, 70356, 0, 0, 51495, 17270, 0, 0, 0, 2785196, 88052174, 136.089371, 44.550587, 6025201
160416, 16, 3849, 247516, 55056, 0, 0, 51495, 17977, 0, 0, 0, 3311933, 89636690, 137.084259, 45.808746, 6185607
164189, 14, 3438, 209846, 49322, 0, 0, 51495, 18628, 0, 0, 0, 4036267, 90871899, 138.088043, 47.077850, 6349787
168993, 15, 3439, 196070, 48115, 0, 0, 51495, 19308, 0, 0, 0, 4795812, 91933853, 139.100449, 48.357605, 6518769
174431, 15, 3460, 201771, 69620, 0, 0, 51495, 19806, 0, 0, 0, 5713820, 92690119, 140.121246, 49.647678, 6693190
179365, 16, 3943, 205762, 58933, 0, 0, 51495, 20330, 0, 0, 0, 6759025, 93153039, 141.150177, 50.947754, 6872545
183366, 14, 3425, 204402, 51524, 0, 0, 51495, 20779, 0, 0, 0, 7930235, 93390920, 142.186966, 52.257511, 7055901
189267, 13, 3341, 199128, 82444, 0, 0, 51495, 21188, 0, 0, 0, 9255916, 93579671, 143.231384, 53.576645, 7245160
196243, 16, 3824, 244573, 56555, 0, 0, 51495, 21683, 0, 0, 0, 10755012, 93924945, 144.283157, 54.904839, 7441393
