querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
202460, 14, 9730, 725735, 75639, 0, 0, 66746, 64403, 0, 0, 0, 12241408, 99956566, 58.678009, 45.758892, 202457
86260, 15, 1535, 338311, 41170, 0, 0, 66746, 37156, 0, 0, 0, 684028, 62757079, 31.651720, 31.651720, 288710
78690, 9, 368, 334988, 190614, 0, 0, 66746, 54557, 0, 0, 0, 476152, 82986030, 31.432718, 27.509565, 367395
64678, 6, 544, 263591, 192874, 0, 0, 66746, 25603, 0, 0, 0, 1976040, 57007320, 42.543987, 23.646791, 432069
7632, 8, 419, 141012, 131, 0, 0, 66746, 97, 0, 0, 0, 6372, 475350, 1.062729, 1.062729, 439696
145413, 10, 1300, 314432, 73785, 0, 0, 66746, 63331, 0, 0, 0, 6238289, 99414297, 52.559147, 38.349384, 585106
94943, 9, 107, 312479, 57894, 0, 0, 66746, 61828, 0, 0, 0, 921324, 96341868, 34.417458, 26.243298, 680045
21589, 6, 1156, 150695, 35645, 0, 0, 66746, 5443, 0, 0, 0, 256375, 18791128, 17.764874, 9.777862, 701631
8553, 8, 637, 143828, 1558, 0, 0, 66746, 1651, 0, 0, 0, 7550, 3932419, 5.602267, 5.602267, 710178
55134, 6, 1407, 233848, 112987, 0, 0, 66746, 24121, 0, 0, 0, 326786, 52714290, 35.702366, 24.724426, 765308
40610, 9, 1117, 256759, 170338, 0, 0, 66746, 18024, 0, 0, 0, 228869, 34890775, 36.951588, 17.586506, 805914
122253, 9, 2055, 302492, 88790, 0, 0, 66746, 52264, 0, 0, 0, 2452048, 87414320, 30.665815, 29.762897, 928163
56616, 8, 195, 256851, 90149, 0, 0, 66746, 41262, 0, 0, 0, 138930, 54607545, 19.229828, 19.024351, 984773
136628, 7, 512, 315759, 71071, 0, 0, 66746, 64013, 0, 0, 0, 4648585, 99886326, 52.709938, 38.455406, 1121398
142840, 14, 3399, 332894, 125518, 0, 0, 66746, 62931, 0, 0, 0, 4327968, 98373120, 51.815159, 40.038719, 1264232
134108, 8, 197, 334186, 80665, 0, 0, 66746, 63901, 0, 0, 0, 5818436, 99991361, 62.143375, 41.392410, 1398335
159975, 15, 1333, 352110, 164227, 0, 0, 66746, 62613, 0, 0, 0, 6901235, 98587731, 63.937977, 42.017906, 1558304
91776, 8, 4165, 299750, 201766, 0, 0, 66746, 46293, 0, 0, 0, 2123206, 78234280, 42.383835, 35.950954, 1650074
39484, 7, 1039, 249375, 137650, 0, 0, 66746, 28281, 0, 0, 0, 355978, 39624548, 18.803123, 12.127181, 1689554
208489, 6, 2332, 319078, 77486, 0, 0, 66746, 64763, 0, 0, 0, 19583766, 100000000, 45.182343, 42.290161, 1898039
154038, 8, 1033, 324149, 70596, 0, 0, 66746, 64106, 0, 0, 0, 8077785, 100000000, 53.132057, 41.540337, 2052073
104882, 8, 256, 316145, 105426, 0, 0, 66746, 58404, 0, 0, 0, 2882976, 92921244, 43.615643, 26.595650, 2156950
49603, 7, 1466, 197715, 56771, 0, 0, 66746, 30701, 0, 0, 0, 135377, 51449562, 23.359482, 22.826756, 2206548
12381, 6, 1291, 144417, 1059, 0, 0, 66746, 1759, 0, 0, 0, 20590, 9191760, 6.481960, 6.481960, 2218925
121427, 7, 372, 318394, 54365, 0, 0, 66746, 63772, 0, 0, 0, 2029918, 99991361, 63.084026, 28.055147, 2340348
141865, 7, 255, 338686, 56168, 0, 0, 66746, 64170, 0, 0, 0, 5350693, 100000000, 55.633274, 36.819664, 2482209
89845, 7, 383, 310534, 110919, 0, 0, 66746, 52355, 0, 0, 0, 1607600, 82279244, 47.103722, 35.896297, 2572050
72355, 8, 371, 291817, 148538, 0, 0, 66746, 35206, 0, 0, 0, 1174999, 56505726, 39.800903, 28.109751, 2644400
70439, 8, 618, 262969, 126583, 0, 0, 66746, 41849, 0, 0, 0, 657991, 66792378, 37.073158, 31.866488, 2714833
143386, 7, 2818, 302396, 136609, 0, 0, 66746, 59373, 0, 0, 0, 8559460, 95228211, 54.196762, 46.889095, 2858216
179277, 9, 478, 321270, 70431, 0, 0, 66746, 64466, 0, 0, 0, 13763370, 100000000, 64.739769, 55.955456, 3037488
37800, 15, 2351, 308386, 67855, 0, 0, 66746, 11488, 0, 0, 0, 109826, 21531223, 33.922523, 25.360928, 3075281
40884, 9, 183, 289472, 234537, 0, 0, 66746, 31042, 0, 0, 0, 148952, 30170256, 25.881897, 17.977362, 3116161
119664, 7, 483, 286159, 150190, 0, 0, 66746, 51491, 0, 0, 0, 4140472, 87203748, 39.406544, 34.034847, 3235821
69395, 14, 1519, 323828, 58474, 0, 0, 66746, 35352, 0, 0, 0, 193042, 54062311, 23.669573, 23.007076, 3305210
82140, 8, 598, 346744, 286073, 0, 0, 66746, 41380, 0, 0, 0, 1267413, 74368019, 53.609108, 31.295284, 3387345
134486, 8, 279, 318508, 79422, 0, 0, 66746, 63915, 0, 0, 0, 3463675, 100000000, 42.332993, 28.594110, 3521827
94879, 7, 1010, 300106, 101415, 0, 0, 66746, 49932, 0, 0, 0, 995633, 79532473, 41.621895, 31.030716, 3616703
137189, 8, 378, 317877, 63502, 0, 0, 66746, 63938, 0, 0, 0, 4384765, 99920919, 67.340172, 39.348129, 3753888
55003, 15, 1853, 345115, 122537, 0, 0, 66746, 24245, 0, 0, 0, 295774, 43275817, 27.845175, 24.147123, 3808885
94716, 7, 71, 365825, 148101, 0, 0, 66746, 53349, 0, 0, 0, 1555386, 80659490, 36.683052, 26.751387, 3903597
