querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
8928, 20, 72, 251912, 681, 0, 0, 66478, 2, 0, 0, 0, 852, 851, 0.000000, 0.000000, 8924
12114, 7, 1476, 307966, 727, 0, 0, 66478, 3, 0, 0, 0, 18649, 25569, 0.003883, 0.003883, 21035
12476, 11, 1290, 342923, 1951, 0, 0, 66478, 5, 0, 0, 0, 18649, 31484, 0.015523, 0.015523, 33507
11417, 11, 936, 338368, 1149, 0, 0, 66478, 7, 0, 0, 0, 18649, 38828, 0.034906, 0.034906, 44920
11242, 4, 1022, 318709, 1228, 0, 0, 66478, 12, 0, 0, 0, 18649, 59662, 0.062013, 0.062013, 56161
11102, 5, 1051, 319452, 1774, 0, 0, 66478, 17, 0, 0, 0, 18649, 68330, 0.096824, 0.096824, 67261
12469, 5, 1016, 325147, 464, 0, 0, 66478, 21, 0, 0, 0, 18649, 105840, 0.139316, 0.139316, 79728
11609, 14, 937, 343563, 1404, 0, 0, 66478, 39, 0, 0, 0, 18649, 184426, 0.189462, 0.189462, 91332
11435, 4, 857, 349644, 1015, 0, 0, 66478, 51, 0, 0, 0, 18649, 228729, 0.247234, 0.247234, 102765
11358, 4, 953, 341305, 504, 0, 0, 66478, 68, 0, 0, 0, 18649, 298018, 0.312600, 0.312600, 114121
11967, 4, 1081, 329244, 199, 0, 0, 66478, 109, 0, 0, 0, 18649, 409063, 0.385527, 0.385527, 126087
12356, 6, 1262, 311244, 287, 0, 0, 66478, 195, 0, 0, 0, 18649, 703938, 0.465978, 0.465978, 138440
12948, 6, 1434, 289262, 471, 0, 0, 66478, 297, 0, 0, 0, 18649, 984471, 0.553913, 0.553913, 151386
24915, 5, 1905, 719810, 207611, 0, 0, 66478, 424, 0, 0, 0, 323769, 1318340, 24.719452, 0.649291, 176298
22274, 7, 1533, 471863, 206494, 0, 0, 66478, 621, 0, 0, 0, 419575, 1707715, 24.619122, 0.752068, 198568
25211, 12, 2578, 412922, 194787, 0, 0, 66478, 935, 0, 0, 0, 530677, 2309035, 24.525528, 0.862197, 223775
24193, 10, 1740, 511803, 193749, 0, 0, 66478, 1283, 0, 0, 0, 375575, 2905326, 24.438646, 0.979630, 247963
26493, 12, 1884, 505657, 200727, 0, 0, 66478, 1684, 0, 0, 0, 694903, 3588333, 24.358454, 1.104315, 274450
28243, 12, 2463, 412051, 214046, 0, 0, 66478, 2200, 0, 0, 0, 720716, 4330101, 24.284927, 1.236198, 302688
25977, 10, 1705, 495857, 159752, 0, 0, 66478, 2733, 0, 0, 0, 570145, 5202878, 24.218037, 1.375224, 328659
28908, 11, 2336, 409640, 187247, 0, 0, 66478, 3346, 0, 0, 0, 631171, 6207522, 24.157753, 1.521335, 357562
29913, 12, 2392, 389465, 191756, 0, 0, 66478, 4058, 0, 0, 0, 559184, 7491354, 24.104044, 1.674471, 387471
29334, 11, 1749, 474834, 199360, 0, 0, 66478, 4881, 0, 0, 0, 626695, 8903647, 24.056873, 1.834570, 416799
31434, 10, 1895, 378255, 259242, 0, 0, 66478, 5852, 0, 0, 0, 665958, 10625046, 24.016207, 2.001568, 448226
36230, 16, 2861, 380259, 257458, 0, 0, 66478, 7033, 0, 0, 0, 751617, 12416436, 23.982006, 2.175399, 484448
32819, 10, 1673, 424195, 249292, 0, 0, 66478, 8228, 0, 0, 0, 533871, 14385985, 23.954233, 2.355994, 517262
34320, 11, 2009, 392506, 205629, 0, 0, 66478, 9399, 0, 0, 0, 788540, 16243531, 23.932838, 2.543284, 551576
35073, 12, 2113, 368890, 168300, 0, 0, 66478, 10429, 0, 0, 0, 991856, 17962097, 23.917786, 2.737198, 586643
33159, 10, 1681, 426253, 206863, 0, 0, 66478, 11520, 0, 0, 0, 606854, 19703468, 23.909027, 2.937662, 619797
34767, 11, 1823, 359143, 206951, 0, 0, 66478, 12700, 0, 0, 0, 633632, 21616992, 23.906515, 3.144603, 654559
35981, 8, 1481, 400428, 182837, 0, 0, 66478, 14008, 0, 0, 0, 759551, 23590720, 23.910196, 3.357941, 690536
44104, 17, 2864, 376281, 222465, 0, 0, 66478, 15427, 0, 0, 0, 805342, 25806036, 23.920029, 3.577602, 734632
37058, 8, 1201, 426373, 172439, 0, 0, 66478, 16790, 0, 0, 0, 607432, 27999572, 23.935949, 3.803504, 771686
40458, 10, 1674, 392629, 190634, 0, 0, 66478, 18141, 0, 0, 0, 688229, 29873544, 23.957914, 4.035569, 812139
40943, 10, 1628, 368725, 150941, 0, 0, 66478, 19383, 0, 0, 0, 689832, 31610653, 23.985859, 4.273713, 853075
