querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
98422, 15, 123, 485476, 71285, 0, 0, 58919, 55754, 0, 0, 0, 4991825, 4999929, 381.733948, 339.123474, 98411
6427, 14, 92, 165305, 331, 0, 0, 58919, 12, 0, 0, 0, 1449, 4851, 0.365176, 0.365176, 104829
68340, 9, 12, 292466, 226309, 0, 0, 58919, 51515, 0, 0, 0, 4197688, 4479820, 474.164307, 304.093292, 173162
6006, 14, 32, 163243, 3635, 0, 0, 58919, 136, 0, 0, 0, 213, 14492, 3.116335, 1.638407, 179159
34161, 10, 366, 216234, 304802, 0, 0, 58919, 33690, 0, 0, 0, 1858712, 2706862, 224.860107, 194.679367, 213313
29516, 11, 48, 221544, 253963, 0, 0, 58919, 30975, 0, 0, 0, 1695915, 2601993, 199.452774, 187.058197, 242822
5351, 12, 25, 140531, 1946, 0, 0, 58919, 69, 0, 0, 0, 262, 20348, 4.338750, 3.834274, 248164
5995, 10, 70, 162687, 1095, 0, 0, 58919, 24, 0, 0, 0, 789, 11242, 2.546554, 1.939525, 254152
5784, 10, 144, 154380, 3613, 0, 0, 58919, 62, 0, 0, 0, 1708, 21321, 0.992339, 0.892899, 259928
50079, 9, 49, 306245, 198869, 0, 0, 58919, 51287, 0, 0, 0, 3955454, 4803118, 360.003448, 251.284012, 310001
6552, 13, 272, 163960, 2487, 0, 0, 58919, 108, 0, 0, 0, 2611, 42552, 1.837635, 1.697101, 316544
6070, 10, 121, 160683, 1180, 0, 0, 58919, 41, 0, 0, 0, 1416, 12927, 0.119568, 0.119568, 322607
71168, 9, 187, 315337, 163397, 0, 0, 58919, 54698, 0, 0, 0, 4599660, 4990641, 426.216125, 322.906403, 393769
6297, 14, 183, 162571, 3888, 0, 0, 58919, 349, 0, 0, 0, 1493, 79354, 3.766309, 3.514809, 400056
6446, 10, 5, 164868, 14477, 0, 0, 58919, 2024, 0, 0, 0, 769, 164490, 12.870272, 6.178798, 406495
5905, 10, 292, 149783, 4788, 0, 0, 58919, 336, 0, 0, 0, 2902, 91281, 5.209632, 4.848814, 412393
9226, 15, 26, 180347, 69329, 0, 0, 58919, 11275, 0, 0, 0, 6330, 1061838, 201.800888, 102.810822, 421612
8076, 10, 32, 158844, 50905, 0, 0, 58919, 4034, 0, 0, 0, 73271, 323640, 22.244724, 12.769119, 429681
53520, 11, 10, 337514, 351776, 0, 0, 58919, 50482, 0, 0, 0, 3157478, 4684436, 457.869171, 253.340515, 483193
11056, 23, 151, 330461, 7016, 0, 0, 58919, 453, 0, 0, 0, 1339, 30361, 5.605164, 5.605164, 494233
6227, 11, 217, 163621, 1258, 0, 0, 58919, 113, 0, 0, 0, 2580, 36439, 2.461449, 2.319895, 500452
32505, 11, 147, 271377, 287006, 0, 0, 58919, 34783, 0, 0, 0, 2139044, 2819755, 219.243454, 151.521957, 532949
