querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
25544, 30, 216, 326099, 180622, 0, 0, 29989, 18565, 0, 0, 0, 438622, 573593, 346.387604, 252.075409, 25534
21951, 12, 834, 187988, 206793, 0, 0, 29989, 23248, 0, 0, 0, 581323, 578853, 381.508484, 305.809296, 47477
18208, 12, 437, 186278, 176252, 0, 0, 29989, 17891, 0, 0, 0, 426909, 572446, 307.513702, 257.408691, 65677
14403, 10, 65, 173631, 147135, 0, 0, 29989, 13587, 0, 0, 0, 283750, 545901, 300.181763, 227.161194, 80074
22096, 16, 75, 322951, 223347, 0, 0, 29989, 18780, 0, 0, 0, 411760, 570867, 389.500610, 252.694427, 102161
17662, 11, 113, 188654, 199988, 0, 0, 29989, 17835, 0, 0, 0, 428197, 572455, 306.818329, 239.022842, 119816
22096, 16, 70, 241662, 198698, 0, 0, 29989, 23522, 0, 0, 0, 578954, 578853, 436.440247, 330.185974, 141902
20600, 11, 839, 189191, 189782, 0, 0, 29989, 22957, 0, 0, 0, 581323, 578853, 295.016541, 295.016541, 162495
18175, 12, 222, 183588, 192988, 0, 0, 29989, 17868, 0, 0, 0, 420637, 571162, 322.252533, 231.599518, 180662
15878, 13, 98, 178167, 167317, 0, 0, 29989, 15904, 0, 0, 0, 341246, 564579, 323.496368, 255.593063, 196532
22923, 14, 342, 263425, 223987, 0, 0, 29989, 23470, 0, 0, 0, 579560, 578853, 405.868622, 332.273438, 219445
16607, 13, 69, 189717, 198225, 0, 0, 29989, 16510, 0, 0, 0, 354287, 558789, 326.888580, 219.572067, 236043
20135, 13, 224, 191073, 222406, 0, 0, 29989, 21911, 0, 0, 0, 542283, 577316, 403.053223, 270.149384, 256169
23362, 15, 661, 250828, 205291, 0, 0, 29989, 23527, 0, 0, 0, 580016, 578853, 370.112152, 354.312744, 279522
22025, 14, 1119, 186706, 220039, 0, 0, 29989, 23520, 0, 0, 0, 581882, 578853, 357.296600, 284.677338, 301538
