querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
916327, 33, 260, 885718, 95021, 0, 0, 66553, 64675, 0, 0, 0, 37307312, 37344838, 255.995071, 160.474442, 916325
903135, 7, 69, 453920, 105665, 0, 0, 66553, 64530, 0, 0, 0, 37292848, 37344444, 255.997742, 140.199997, 1819459
14008, 7, 20, 363502, 1407, 0, 0, 66553, 20, 0, 0, 0, 24, 57337, 14.664797, 8.134409, 1833466
14692, 6, 77, 346713, 1159, 0, 0, 66553, 33, 0, 0, 0, 259, 134457, 21.622063, 6.328071, 1848157
38385, 6, 255, 431902, 226666, 0, 0, 66553, 22952, 0, 0, 0, 239443, 9291392, 255.985229, 107.638672, 1886539
13094, 7, 144, 334285, 478, 0, 0, 66553, 42, 0, 0, 0, 523, 128086, 29.842976, 29.842976, 1899632
9935, 4, 62, 238498, 1747, 0, 0, 66553, 19, 0, 0, 0, 467, 40103, 17.870623, 11.716393, 1909566
12629, 5, 121, 325715, 1458, 0, 0, 66553, 14, 0, 0, 0, 630, 35836, 9.954462, 9.954462, 1922194
846726, 5, 3050, 423121, 105359, 0, 0, 66553, 64605, 0, 0, 0, 37298401, 37344315, 255.996002, 64.074570, 2768919
15314, 7, 288, 380161, 636, 0, 0, 66553, 17, 0, 0, 0, 561, 66298, 10.271839, 10.271839, 2784232
13565, 6, 132, 328152, 1805, 0, 0, 66553, 71, 0, 0, 0, 578, 341458, 26.008465, 25.018688, 2797796
26395, 5, 54, 259884, 122266, 0, 0, 66553, 15475, 0, 0, 0, 1212, 7332805, 119.042519, 102.369072, 2824190
764096, 6, 80, 332974, 105879, 0, 0, 66553, 64581, 0, 0, 0, 37302674, 37344754, 255.995148, 121.175713, 3588284
30399, 7, 45, 442360, 233164, 0, 0, 66553, 8256, 0, 0, 0, 329562, 4225932, 167.043335, 73.848846, 3618682
812322, 5, 82, 382470, 99629, 0, 0, 66553, 64561, 0, 0, 0, 37300719, 37344698, 255.995834, 127.825340, 4431003
15322, 7, 477, 376644, 3020, 0, 0, 66553, 40, 0, 0, 0, 3863, 155486, 68.335114, 7.556457, 4446323
13103, 6, 135, 356711, 1327, 0, 0, 66553, 5, 0, 0, 0, 458, 876, 1.750371, 1.750371, 4459425
796089, 6, 4697, 414226, 101705, 0, 0, 66553, 64543, 0, 0, 0, 37306766, 37343757, 255.989731, 145.661316, 5255513
837624, 7, 251, 456222, 110349, 0, 0, 66553, 64484, 0, 0, 0, 37292840, 37344204, 255.998276, 105.415886, 6093135
39992, 7, 1825, 437860, 241392, 0, 0, 66553, 24806, 0, 0, 0, 311053, 9032517, 255.987488, 158.617188, 6133126
24182, 6, 1390, 230727, 166943, 0, 0, 66553, 19148, 0, 0, 0, 9781, 7548718, 152.414978, 133.686996, 6157306
841066, 3, 129, 355237, 106308, 0, 0, 66553, 64584, 0, 0, 0, 37296790, 37344553, 255.998825, 101.880653, 6998370
813610, 7, 143, 439166, 106147, 0, 0, 66553, 64495, 0, 0, 0, 37299529, 37344698, 255.977158, 125.038994, 7811979
828196, 7, 135, 439728, 106860, 0, 0, 66553, 64450, 0, 0, 0, 37291417, 37344370, 255.987823, 142.428604, 8640174
66527, 20, 679, 485845, 177314, 0, 0, 66553, 25610, 0, 0, 0, 3109214, 9796936, 255.994202, 108.611481, 8706700
22661, 4, 70, 315998, 149512, 0, 0, 66553, 25213, 0, 0, 0, 62885, 9954340, 255.989014, 102.284157, 8729360
6509, 3, 44, 167869, 1840, 0, 0, 66553, 16, 0, 0, 0, 171, 50855, 8.168142, 3.007715, 8735869
692224, 2, 79, 309618, 82442, 0, 0, 66553, 63939, 0, 0, 0, 37301798, 37344763, 255.994827, 135.470581, 9428092
14306, 8, 14, 370323, 840, 0, 0, 66553, 77, 0, 0, 0, 27, 249263, 34.015835, 34.015835, 9442397
29663, 6, 187, 334632, 114305, 0, 0, 66553, 14789, 0, 0, 0, 1450, 6914295, 74.786240, 74.786240, 9472059
12387, 4, 337, 241397, 63349, 0, 0, 66553, 870, 0, 0, 0, 3599, 1272170, 172.311081, 84.753769, 9484445
8933, 3, 13, 212767, 2534, 0, 0, 66553, 31, 0, 0, 0, 44, 165198, 12.077406, 12.021811, 9493378
9983, 4, 96, 263566, 2049, 0, 0, 66553, 6, 0, 0, 0, 515, 879, 2.198871, 1.861399, 9503360
