querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
33228, 20, 9722, 276848, 393, 0, 0, 1666, 283, 0, 0, 0, 291740, 858135, 67.359436, 62.247364, 33215
15264, 23, 1842, 314807, 245, 0, 0, 1666, 9, 0, 0, 0, 14304, 79473, 5.631338, 5.631338, 48465
17020, 17, 1888, 349674, 759, 0, 0, 1666, 35, 0, 0, 0, 19560, 186001, 29.611649, 29.198051, 65474
12835, 19, 265, 323029, 122, 0, 0, 1666, 5, 0, 0, 0, 1375, 14264, 3.371730, 3.371730, 78299
12970, 16, 674, 317056, 122, 0, 0, 1666, 11, 0, 0, 0, 4695, 33061, 6.185990, 6.185990, 91259
1836434, 15, 2371, 323290, 1106, 0, 0, 1666, 1079, 0, 0, 0, 11302714, 13689915, 107.154762, 107.154762, 1927682
19847, 23, 3495, 355190, 155, 0, 0, 1666, 13, 0, 0, 0, 17772, 74853, 13.997404, 13.997404, 1947515
15121, 15, 293, 351636, 231, 0, 0, 1666, 116, 0, 0, 0, 5099, 544487, 26.377106, 24.051296, 1962625
13521, 17, 1457, 309096, 2634, 0, 0, 1666, 2, 0, 0, 0, 11374, 11373, 0.000000, 0.000000, 1976136
24980, 16, 7023, 290389, 225, 0, 0, 1666, 127, 0, 0, 0, 116576, 583787, 41.936138, 38.112732, 2001105
11191, 15, 1195, 224279, 1144, 0, 0, 1666, 9, 0, 0, 0, 13894, 50827, 2.832206, 2.832206, 2012287
30099, 19, 10070, 254803, 271, 0, 0, 1666, 130, 0, 0, 0, 118312, 479688, 53.659122, 49.776207, 2042374
11818, 14, 126, 292841, 1231, 0, 0, 1666, 9, 0, 0, 0, 1362, 45038, 0.506250, 0.506250, 2054183
11876, 15, 1157, 269800, 2956, 0, 0, 1666, 7, 0, 0, 0, 10506, 43011, 4.073520, 2.831873, 2066050
9905, 11, 874, 214633, 85, 0, 0, 1666, 3, 0, 0, 0, 10476, 20385, 3.081249, 3.081249, 2075949
11093, 9, 459, 270197, 144, 0, 0, 1666, 11, 0, 0, 0, 3942, 50787, 7.334002, 7.334002, 2087036
7847, 12, 423, 195718, 114, 0, 0, 1666, 4, 0, 0, 0, 5764, 11885, 0.348326, 0.348326, 2094878
9050, 10, 711, 180165, 2828, 0, 0, 1666, 4, 0, 0, 0, 9844, 36084, 0.502818, 0.502818, 2103921
1559061, 7, 467, 212307, 1619, 0, 0, 1666, 1153, 0, 0, 0, 11564991, 14125577, 224.556671, 124.780502, 3662977
15492, 41, 700, 348502, 125, 0, 0, 1666, 7, 0, 0, 0, 5091, 44450, 1.851789, 0.978197, 3678447
12765, 15, 781, 331738, 2117, 0, 0, 1666, 7, 0, 0, 0, 7591, 15161, 1.048083, 0.821146, 3691202
12977, 18, 184, 334023, 1630, 0, 0, 1666, 15, 0, 0, 0, 1142, 45356, 0.470098, 0.470098, 3704169
12399, 15, 1480, 251544, 1287, 0, 0, 1666, 8, 0, 0, 0, 8304, 35360, 2.395939, 2.395939, 3716560
2191401, 15, 2310, 325633, 1309, 0, 0, 1666, 1357, 0, 0, 0, 13276504, 14789013, 240.911804, 218.710754, 5907951
15361, 23, 749, 375002, 408, 0, 0, 1666, 15, 0, 0, 0, 5220, 77536, 8.719486, 6.422733, 5923297
15229, 19, 1810, 334838, 1436, 0, 0, 1666, 3, 0, 0, 0, 14221, 22563, 1.705613, 1.705613, 5938515
9998, 11, 770, 208666, 3833, 0, 0, 1666, 3, 0, 0, 0, 11330, 21796, 0.499470, 0.499470, 5948505
1970071, 19, 3470, 345136, 1305, 0, 0, 1666, 1195, 0, 0, 0, 12378472, 14255768, 245.373154, 165.894653, 7918565
2033830, 23, 2513, 359426, 1416, 0, 0, 1666, 1368, 0, 0, 0, 12403562, 14811305, 239.067902, 191.295502, 9952379
20029, 37, 4598, 328094, 799, 0, 0, 1666, 58, 0, 0, 0, 25523, 180918, 6.114903, 6.114903, 9972387
12381, 10, 1540, 183452, 225, 0, 0, 1666, 82, 0, 0, 0, 22112, 264777, 49.165436, 46.039608, 9984762
14456, 18, 673, 336962, 117, 0, 0, 1666, 9, 0, 0, 0, 4934, 38785, 12.747492, 10.488314, 9999206
15577, 19, 1265, 361332, 180, 0, 0, 1666, 2, 0, 0, 0, 10118, 10109, 2.247051, 2.247051, 10014772
15886, 18, 731, 374801, 138, 0, 0, 1666, 5, 0, 0, 0, 5536, 44793, 1.466505, 1.354160, 10030647
14907, 18, 1323, 337318, 1198, 0, 0, 1666, 3, 0, 0, 0, 10216, 18312, 1.680820, 1.680820, 10045543
15592, 17, 887, 353901, 1550, 0, 0, 1666, 4, 0, 0, 0, 6348, 30435, 0.870312, 0.870312, 10061124
15683, 16, 670, 327245, 1181, 0, 0, 1666, 49, 0, 0, 0, 14629, 239056, 6.352734, 6.212248, 10076795
14338, 17, 2030, 273117, 4098, 0, 0, 1666, 26, 0, 0, 0, 16557, 100574, 2.285158, 2.277662, 10091121
10481, 11, 567, 227554, 3603, 0, 0, 1666, 7, 0, 0, 0, 7210, 32762, 3.187462, 3.187462, 10101595
14397, 20, 1293, 325694, 181, 0, 0, 1666, 5, 0, 0, 0, 10137, 30198, 0.342386, 0.342386, 10115981
11189, 13, 419, 254447, 220, 0, 0, 1666, 21, 0, 0, 0, 3718, 74106, 5.754169, 5.754169, 10127162
17730, 19, 3068, 346480, 2968, 0, 0, 1666, 13, 0, 0, 0, 17221, 116255, 16.695684, 16.473316, 10144879
18769, 12, 4709, 218059, 1255, 0, 0, 1666, 44, 0, 0, 0, 46397, 217024, 23.576351, 23.576351, 10163641
10527, 13, 451, 236200, 2138, 0, 0, 1666, 3, 0, 0, 0, 6376, 20326, 0.393232, 0.381663, 10174160
10312, 13, 615, 203161, 2208, 0, 0, 1666, 9, 0, 0, 0, 8408, 90960, 1.804435, 1.148154, 10184465
15861, 19, 1967, 317460, 4168, 0, 0, 1666, 3, 0, 0, 0, 15799, 27113, 0.261102, 0.254297, 10200315
21935, 19, 4085, 343606, 2652, 0, 0, 1666, 17, 0, 0, 0, 23775, 87662, 9.277637, 9.277637, 10222238
25073, 19, 290, 344771, 1808, 0, 0, 1666, 868, 0, 0, 0, 33299, 2215176, 193.647873, 76.521469, 10247299
14901, 20, 1209, 340941, 136, 0, 0, 1666, 3, 0, 0, 0, 9901, 24137, 1.077951, 1.077951, 10262187
16222, 19, 2078, 335370, 1584, 0, 0, 1666, 5, 0, 0, 0, 16369, 47337, 0.484307, 0.484307, 10278397
2200849, 19, 3767, 319582, 1587, 0, 0, 1666, 1235, 0, 0, 0, 12473012, 14271067, 238.787720, 164.311386, 12479234
27176, 24, 3655, 340029, 317, 0, 0, 1666, 184, 0, 0, 0, 86089, 711689, 79.631691, 70.845047, 12506393
15544, 46, 147, 379859, 1346, 0, 0, 1666, 7, 0, 0, 0, 1032, 34085, 1.979427, 1.979427, 12521904
15082, 18, 801, 347738, 1185, 0, 0, 1666, 3, 0, 0, 0, 6097, 16552, 0.288547, 0.209112, 12536974
15931, 19, 225, 348509, 1769, 0, 0, 1666, 40, 0, 0, 0, 2500, 220115, 12.744722, 10.719604, 12552893
20451, 19, 348, 355281, 1062, 0, 0, 1666, 588, 0, 0, 0, 17075, 1602364, 110.724350, 84.853859, 12573332
14759, 18, 718, 338475, 248, 0, 0, 1666, 16, 0, 0, 0, 5524, 160559, 1.683931, 1.683931, 12588079
14185, 20, 229, 334059, 153, 0, 0, 1666, 6, 0, 0, 0, 1297, 33626, 0.704195, 0.572744, 12602252
2029986, 17, 4520, 355042, 1582, 0, 0, 1666, 1305, 0, 0, 0, 12106291, 14655554, 202.385666, 169.894394, 14632227
28817, 52, 1315, 342703, 1482, 0, 0, 1666, 1123, 0, 0, 0, 213590, 3000438, 194.743942, 136.214310, 14661015
9967, 25, 1048, 189815, 217, 0, 0, 1666, 5, 0, 0, 0, 15552, 29300, 1.705551, 1.332065, 14670963
18461, 9, 417, 181952, 1307, 0, 0, 1666, 793, 0, 0, 0, 18251, 2281813, 176.688568, 74.293152, 14689418
11059, 10, 742, 210700, 113, 0, 0, 1666, 5, 0, 0, 0, 13997, 41966, 2.418155, 2.418155, 14700471
16844, 19, 2262, 356189, 375, 0, 0, 1666, 9, 0, 0, 0, 16507, 87387, 7.776399, 7.776399, 14717303
25652, 12, 1365, 264879, 657, 0, 0, 1666, 433, 0, 0, 0, 606643, 1350465, 114.847733, 97.510429, 14742948
7186, 13, 54, 180152, 110, 0, 0, 1666, 4, 0, 0, 0, 580, 7883, 0.191052, 0.191052, 14750125
13416, 16, 1157, 332720, 165, 0, 0, 1666, 5, 0, 0, 0, 9145, 25892, 0.536909, 0.536909, 14763531
9205, 10, 1049, 195950, 124, 0, 0, 1666, 2, 0, 0, 0, 15576, 15567, 0.634296, 0.634296, 14772730
7527, 7, 344, 186542, 153, 0, 0, 1666, 16, 0, 0, 0, 5198, 25117, 2.675025, 2.675025, 14780252
19727, 7, 1192, 149990, 1097, 0, 0, 1666, 828, 0, 0, 0, 17030, 2398087, 153.431137, 91.622925, 14799974
9024, 8, 713, 155161, 110, 0, 0, 1666, 5, 0, 0, 0, 15814, 53067, 3.527563, 3.527563, 14808993
2201629, 18, 1223, 344768, 1437, 0, 0, 1666, 1548, 0, 0, 0, 14069016, 15508794, 307.891663, 255.996048, 17010612
14352, 22, 154, 376932, 143, 0, 0, 1666, 14, 0, 0, 0, 931, 32800, 5.548815, 5.548815, 17024949
12393, 16, 1534, 267022, 1185, 0, 0, 1666, 3, 0, 0, 0, 11526, 27298, 1.900783, 1.900783, 17037332
8516, 11, 106, 221330, 153, 0, 0, 1666, 25, 0, 0, 0, 920, 36968, 1.533096, 1.533096, 17045841
12181, 10, 906, 283681, 113, 0, 0, 1666, 4, 0, 0, 0, 11974, 21522, 0.105561, 0.105561, 17058016
25455, 15, 2727, 312981, 1122, 0, 0, 1666, 832, 0, 0, 0, 14435, 2119017, 96.214417, 64.466240, 17083462
21763, 13, 2040, 214024, 573, 0, 0, 1666, 274, 0, 0, 0, 268222, 859999, 70.990700, 47.349865, 17105216
14970, 22, 929, 331090, 113, 0, 0, 1666, 4, 0, 0, 0, 6975, 23342, 1.775454, 1.775454, 17120173
11957, 18, 1461, 266699, 126, 0, 0, 1666, 2, 0, 0, 0, 12744, 12703, 0.130836, 0.130836, 17132119
11804, 11, 498, 253945, 929, 0, 0, 1666, 7, 0, 0, 0, 7058, 23190, 0.695343, 0.695343, 17143916
14930, 20, 1177, 321422, 157, 0, 0, 1666, 6, 0, 0, 0, 9284, 49210, 0.371073, 0.371073, 17158835
12949, 18, 196, 334207, 1353, 0, 0, 1666, 18, 0, 0, 0, 1066, 50684, 6.884379, 6.196164, 17171774
15253, 17, 2006, 339347, 101, 0, 0, 1666, 5, 0, 0, 0, 15802, 30850, 0.568128, 0.568128, 17187016
13482, 17, 906, 323595, 117, 0, 0, 1666, 5, 0, 0, 0, 7078, 23887, 0.884080, 0.541466, 17200487
2231672, 18, 302, 320221, 1390, 0, 0, 1666, 1398, 0, 0, 0, 13062421, 14947207, 297.045929, 228.503952, 19432149
17708, 35, 2249, 358878, 517, 0, 0, 1666, 10, 0, 0, 0, 15064, 90692, 2.143254, 2.143254, 19449831
1616063, 16, 5053, 255832, 1496, 0, 0, 1666, 1241, 0, 0, 0, 11821672, 14469118, 187.880005, 150.657227, 21065884
19166, 25, 2271, 372777, 906, 0, 0, 1666, 46, 0, 0, 0, 22740, 265912, 40.718639, 36.977669, 21085035
28220, 20, 2366, 329073, 1194, 0, 0, 1666, 1067, 0, 0, 0, 89614, 2815777, 136.178543, 107.609291, 21113242
18119, 16, 643, 216367, 321, 0, 0, 1666, 132, 0, 0, 0, 138669, 541925, 36.662930, 32.978249, 21131349
12256, 15, 1483, 213735, 711, 0, 0, 1666, 63, 0, 0, 0, 26203, 226269, 7.657548, 7.657548, 21143594
