querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
75211, 16, 77, 618475, 100373, 0, 0, 65736, 61265, 0, 0, 0, 3534660, 4091230, 279.870972, 243.993118, 75200
47905, 24, 20, 219142, 64201, 0, 0, 65736, 60192, 0, 0, 0, 3041661, 4091219, 377.803345, 150.606842, 123085
66768, 12, 7, 221066, 76355, 0, 0, 65736, 62195, 0, 0, 0, 3791335, 4091237, 438.985596, 218.079254, 189844
66419, 12, 67, 230736, 107463, 0, 0, 65736, 61983, 0, 0, 0, 3687366, 4091239, 302.984100, 214.058014, 256254
64068, 12, 77, 216449, 86886, 0, 0, 65736, 61851, 0, 0, 0, 3867027, 4160285, 342.898804, 239.503143, 320314
64750, 12, 97, 213813, 89300, 0, 0, 65736, 61705, 0, 0, 0, 3507072, 4091232, 342.639252, 196.681702, 385056
60683, 12, 85, 220655, 78404, 0, 0, 65736, 61485, 0, 0, 0, 3616176, 4091235, 281.632294, 228.887695, 445730
66661, 13, 39, 220057, 75180, 0, 0, 65736, 62041, 0, 0, 0, 3728451, 4091238, 367.828796, 234.888641, 512382
50374, 12, 92, 222670, 72053, 0, 0, 65736, 59970, 0, 0, 0, 2225048, 4091112, 251.839447, 160.424606, 562746
68878, 13, 60, 217723, 85924, 0, 0, 65736, 62230, 0, 0, 0, 3926145, 4091238, 355.800903, 231.059952, 631616
56032, 11, 71, 217572, 68816, 0, 0, 65736, 61074, 0, 0, 0, 2595285, 4091174, 236.435425, 178.847961, 687640
15106, 12, 41, 203395, 63546, 0, 0, 65736, 36340, 0, 0, 0, 23852, 2877106, 187.070358, 113.034195, 702737
67923, 11, 45, 214792, 69333, 0, 0, 65736, 62066, 0, 0, 0, 3736928, 4091237, 312.490173, 229.595108, 770652
65508, 12, 15, 225877, 76325, 0, 0, 65736, 61989, 0, 0, 0, 3358216, 4091222, 352.972870, 175.587906, 836151
52799, 12, 37, 216709, 87856, 0, 0, 65736, 60511, 0, 0, 0, 3298040, 4091222, 355.156433, 165.262939, 888941
57172, 12, 31, 214494, 75734, 0, 0, 65736, 61198, 0, 0, 0, 3505912, 4091232, 302.786377, 219.725189, 946104
65442, 12, 45, 222301, 83155, 0, 0, 65736, 62049, 0, 0, 0, 4082333, 4160286, 379.154510, 255.989914, 1011537
64829, 11, 56, 216319, 99304, 0, 0, 65736, 61796, 0, 0, 0, 4060916, 4160286, 399.932861, 236.959122, 1076358
69331, 12, 75, 210910, 73282, 0, 0, 65736, 62369, 0, 0, 0, 3993108, 4160286, 330.086975, 255.837036, 1145681
62205, 11, 34, 216746, 88314, 0, 0, 65736, 61531, 0, 0, 0, 3797181, 4091238, 379.313446, 216.517807, 1207877
