querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
114396, 13, 723, 270739, 27754, 0, 0, 47230, 16417, 0, 0, 0, 3850580, 65859363, 78.522705, 51.895206, 114388
83456, 9, 1, 154082, 52774, 0, 0, 47230, 7643, 0, 0, 0, 574679, 46133010, 118.622040, 36.224583, 197838
53527, 10, 2, 162975, 69960, 0, 0, 47230, 1961, 0, 0, 0, 423022, 14975395, 117.586296, 19.078072, 251359
63914, 9, 1, 151908, 66311, 0, 0, 47230, 3792, 0, 0, 0, 410128, 31758023, 106.199127, 21.251453, 315268
91082, 10, 1, 151917, 57953, 0, 0, 47230, 8096, 0, 0, 0, 709780, 53435524, 65.191200, 30.531570, 406343
158344, 9, 1582, 154928, 25588, 0, 0, 47230, 24589, 0, 0, 0, 8254123, 91136298, 71.537788, 64.408295, 564681
131402, 10, 1, 153693, 59180, 0, 0, 47230, 19838, 0, 0, 0, 2804978, 77132840, 125.556564, 55.455639, 696077
16748, 10, 464, 166474, 1498, 0, 0, 47230, 2339, 0, 0, 0, 37350, 12009828, 20.012434, 18.778326, 712819
125307, 10, 1263, 155237, 23230, 0, 0, 47230, 20772, 0, 0, 0, 2687336, 87011359, 67.776009, 56.610981, 838120
43713, 9, 2496, 141948, 5143, 0, 0, 47230, 8279, 0, 0, 0, 170825, 39373660, 35.827148, 35.827148, 881828
51813, 10, 1912, 138499, 8710, 0, 0, 47230, 7259, 0, 0, 0, 475442, 49134702, 38.132401, 29.562952, 933634
107423, 10, 1, 158317, 66624, 0, 0, 47230, 11985, 0, 0, 0, 1320244, 59322920, 89.362465, 40.874527, 1041050
71074, 9, 1, 149902, 76151, 0, 0, 47230, 4881, 0, 0, 0, 520684, 36992503, 44.298695, 25.919353, 1112118
78317, 11, 1, 153504, 54676, 0, 0, 47230, 8574, 0, 0, 0, 454252, 45044491, 54.517921, 31.971146, 1190427
116271, 9, 2, 153541, 69400, 0, 0, 47230, 11261, 0, 0, 0, 2040350, 72226977, 56.017307, 34.025208, 1306692
104509, 10, 3298, 151556, 17321, 0, 0, 47230, 15320, 0, 0, 0, 3876206, 74094100, 54.806919, 47.194710, 1411195
74886, 9, 2, 163023, 89879, 0, 0, 47230, 7662, 0, 0, 0, 1623237, 31612113, 38.230225, 33.831337, 1486075
111600, 9, 1, 157050, 62784, 0, 0, 47230, 11280, 0, 0, 0, 1027881, 71155301, 79.773621, 39.507542, 1597670
67358, 9, 2, 147097, 72241, 0, 0, 47230, 5364, 0, 0, 0, 499950, 32641488, 66.499504, 23.175106, 1665021
9106, 9, 711, 141538, 419, 0, 0, 47230, 733, 0, 0, 0, 12637, 3756898, 11.921935, 11.921935, 1674121
114218, 10, 1, 156748, 69438, 0, 0, 47230, 14527, 0, 0, 0, 2140624, 66677455, 91.633545, 39.000286, 1788332
