querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
38555, 17, 387, 248437, 2960, 0, 0, 58910, 57994, 0, 0, 0, 8269, 2529711, 27.290283, 12.447766, 38543
13167, 13, 363, 335236, 555, 0, 0, 58910, 57994, 0, 0, 0, 69, 137583, 1.665452, 1.665452, 51701
27504, 25, 3395, 321151, 1109, 0, 0, 58910, 57994, 0, 0, 0, 176836, 2825699, 20.164249, 20.164249, 79187
504552, 13, 266, 313629, 95783, 0, 0, 58910, 58431, 0, 0, 0, 36839638, 58028134, 261.102661, 213.470169, 583730
31539, 8, 264, 163436, 13879, 0, 0, 58910, 58172, 0, 0, 0, 1351188, 13122600, 74.513649, 49.990955, 615264
5902, 9, 100, 161957, 1001, 0, 0, 58910, 57994, 0, 0, 0, 8, 19361, 0.179217, 0.179217, 621159
407723, 7, 690, 178261, 106252, 0, 0, 58910, 58443, 0, 0, 0, 35497607, 57419908, 294.953186, 151.610733, 1028877
104013, 9, 597, 192848, 159378, 0, 0, 58910, 58443, 0, 0, 0, 12966064, 34485426, 227.576569, 92.912659, 1132883
108597, 18, 397, 163983, 15916, 0, 0, 58910, 58190, 0, 0, 0, 10008380, 17046548, 66.601341, 48.675865, 1241472
5947, 9, 194, 162320, 462, 0, 0, 58910, 57994, 0, 0, 0, 23, 102510, 0.989566, 0.989566, 1247413
24761, 7, 1084, 156302, 1478, 0, 0, 58910, 58030, 0, 0, 0, 1657308, 4420519, 16.126591, 14.495574, 1272168
18328, 7, 118, 163351, 52242, 0, 0, 58910, 58200, 0, 0, 0, 2197, 12027921, 149.546066, 55.950466, 1290491
332606, 10, 449, 181722, 76731, 0, 0, 58910, 58443, 0, 0, 0, 37933125, 60443698, 239.781174, 181.264832, 1623091
6351, 7, 395, 166915, 619, 0, 0, 58910, 57994, 0, 0, 0, 16, 179602, 6.714111, 6.714111, 1629437
23385, 7, 160, 160430, 53063, 0, 0, 58910, 58343, 0, 0, 0, 1641953, 9224091, 138.327423, 37.990635, 1652817
56212, 10, 484, 176063, 8575, 0, 0, 58910, 57994, 0, 0, 0, 3941218, 9853504, 76.375137, 65.409508, 1709022
181110, 9, 384, 172240, 105066, 0, 0, 58910, 58345, 0, 0, 0, 17770907, 40668869, 206.851959, 141.049713, 1890126
81967, 8, 4975, 184620, 159640, 0, 0, 58910, 58235, 0, 0, 0, 8733824, 27870946, 175.317276, 54.946804, 1972087
100217, 10, 348, 179648, 73233, 0, 0, 58910, 58235, 0, 0, 0, 6624074, 42129982, 178.814255, 137.332886, 2072297
148297, 10, 226, 194020, 200173, 0, 0, 58910, 58663, 0, 0, 0, 17698522, 43085181, 328.536591, 126.871048, 2220587
310720, 8, 158, 190217, 140429, 0, 0, 58910, 58479, 0, 0, 0, 24243640, 57546162, 289.397888, 202.817993, 2531302
6135, 9, 57, 166691, 511, 0, 0, 58910, 57994, 0, 0, 0, 108, 133845, 0.854668, 0.770839, 2537431
11062, 7, 100, 164660, 7366, 0, 0, 58910, 57994, 0, 0, 0, 164, 5343044, 87.303596, 38.999680, 2548488
6265, 9, 144, 171434, 247, 0, 0, 58910, 57994, 0, 0, 0, 35, 59646, 1.980150, 1.148669, 2554747
105453, 8, 332, 189961, 70095, 0, 0, 58910, 58331, 0, 0, 0, 7534860, 22954100, 146.925034, 82.649536, 2660195
214668, 8, 460, 180070, 75587, 0, 0, 58910, 58431, 0, 0, 0, 20432451, 51175998, 200.393387, 150.033920, 2874857
16810, 9, 2349, 164520, 369, 0, 0, 58910, 58006, 0, 0, 0, 543489, 1903830, 7.403674, 7.403674, 2891660
53196, 8, 678, 183351, 127716, 0, 0, 58910, 58294, 0, 0, 0, 31154, 35379809, 198.864792, 98.353355, 2944851
321232, 9, 427, 189160, 82970, 0, 0, 58910, 58443, 0, 0, 0, 37122158, 61773566, 256.140503, 175.922211, 3266076
46931, 8, 947, 167129, 4094, 0, 0, 58910, 58126, 0, 0, 0, 3330951, 6798087, 15.920543, 14.879477, 3313002
14724, 9, 1019, 161540, 533, 0, 0, 58910, 57994, 0, 0, 0, 315365, 2314895, 12.238750, 12.238750, 3327720
63316, 9, 606, 183025, 119137, 0, 0, 58910, 58241, 0, 0, 0, 554968, 35326990, 199.840469, 110.184891, 3391030
6112, 8, 203, 167354, 336, 0, 0, 58910, 57994, 0, 0, 0, 367, 120337, 1.052321, 1.052321, 3397136
5746, 7, 159, 162317, 117, 0, 0, 58910, 57994, 0, 0, 0, 546, 115199, 1.237104, 0.839579, 3402877
67717, 7, 3217, 180612, 153304, 0, 0, 58910, 58235, 0, 0, 0, 8239442, 25363506, 170.147369, 43.081028, 3470589
6823, 8, 47, 163242, 742, 0, 0, 58910, 58008, 0, 0, 0, 376, 866670, 22.863537, 16.145891, 3477406
110512, 8, 3750, 191356, 193894, 0, 0, 58910, 58311, 0, 0, 0, 12889822, 34026253, 227.297089, 88.550842, 3587912
91340, 8, 524, 168761, 19505, 0, 0, 58910, 58222, 0, 0, 0, 8037687, 30670073, 110.574158, 110.574158, 3679247
6601, 9, 118, 183911, 116, 0, 0, 58910, 57994, 0, 0, 0, 42, 128470, 1.997672, 1.997672, 3685842
61372, 7, 353, 166908, 65513, 0, 0, 58910, 58271, 0, 0, 0, 1221489, 35579606, 178.510986, 136.787476, 3747209
15044, 9, 885, 162660, 2076, 0, 0, 58910, 57994, 0, 0, 0, 559450, 3518465, 36.973343, 36.973343, 3762246
12698, 9, 2493, 178152, 114, 0, 0, 58910, 58052, 0, 0, 0, 135502, 892813, 1.307032, 1.286649, 3774938
6500, 8, 64, 162985, 94, 0, 0, 58910, 58006, 0, 0, 0, 33, 222422, 0.444287, 0.341315, 3781431
230452, 7, 175, 190080, 110869, 0, 0, 58910, 58455, 0, 0, 0, 23026001, 51801797, 248.566345, 128.640259, 4011878
22071, 8, 2040, 168700, 1773, 0, 0, 58910, 57994, 0, 0, 0, 1406596, 4337317, 33.237125, 28.337069, 4033943
49598, 9, 288, 160950, 25917, 0, 0, 58910, 58301, 0, 0, 0, 2238348, 25622811, 121.045044, 98.727242, 4083534
62984, 10, 596, 167611, 9354, 0, 0, 58910, 58148, 0, 0, 0, 5171962, 9882340, 48.594212, 33.754276, 4146512
6839, 9, 455, 161871, 113, 0, 0, 58910, 57994, 0, 0, 0, 12706, 319851, 0.545092, 0.545092, 4153346
6390, 7, 301, 166734, 961, 0, 0, 58910, 57994, 0, 0, 0, 2407, 103000, 1.195073, 1.195073, 4159731
124067, 6, 205, 179085, 19628, 0, 0, 58910, 58214, 0, 0, 0, 11057211, 18238605, 79.130219, 53.206837, 4283793
26294, 8, 475, 163266, 9349, 0, 0, 58910, 58081, 0, 0, 0, 981653, 10590870, 123.551979, 109.005836, 4310082
8731, 11, 273, 165923, 1387, 0, 0, 58910, 57994, 0, 0, 0, 23814, 2358949, 45.668144, 40.306618, 4318805
146078, 8, 141, 179270, 21436, 0, 0, 58910, 58202, 0, 0, 0, 14028514, 23397111, 90.431938, 73.460175, 4464877
343075, 9, 263, 179532, 68468, 0, 0, 58910, 58443, 0, 0, 0, 31462459, 56830756, 195.447891, 168.038574, 4807946
381025, 9, 354, 187471, 112205, 0, 0, 58910, 58467, 0, 0, 0, 36537092, 56948452, 318.156372, 195.492447, 5188965
8598, 9, 1680, 168606, 143, 0, 0, 58910, 58060, 0, 0, 0, 6372, 1071934, 3.029783, 2.747849, 5197557
8879, 6, 1565, 160046, 124, 0, 0, 58910, 58000, 0, 0, 0, 29266, 489108, 1.277868, 1.277868, 5206431
43648, 8, 170, 163253, 6771, 0, 0, 58910, 58162, 0, 0, 0, 3081553, 7451112, 22.560659, 14.453391, 5250073
6917, 8, 143, 162698, 896, 0, 0, 58910, 57994, 0, 0, 0, 69, 932823, 35.957802, 25.128290, 5256984
5745, 8, 148, 160128, 396, 0, 0, 58910, 57994, 0, 0, 0, 280, 116929, 2.775935, 2.775935, 5262723
20925, 6, 953, 162283, 2412, 0, 0, 58910, 57994, 0, 0, 0, 867745, 3180872, 37.723969, 33.536823, 5283643
23332, 11, 1617, 183275, 2617, 0, 0, 58910, 57994, 0, 0, 0, 949016, 4506011, 42.641956, 40.708431, 5306967
45065, 8, 153, 173259, 97252, 0, 0, 58910, 58235, 0, 0, 0, 38202, 30045115, 193.182907, 101.857559, 5352026
39065, 10, 396, 164735, 6055, 0, 0, 58910, 58056, 0, 0, 0, 3034297, 8240224, 51.146938, 30.935040, 5391085
6043, 9, 206, 159948, 390, 0, 0, 58910, 57994, 0, 0, 0, 29, 145691, 6.388825, 6.388825, 5397122
16472, 6, 204, 151615, 2191, 0, 0, 58910, 58120, 0, 0, 0, 1196194, 4504816, 9.790145, 7.357483, 5413589
60354, 7, 1301, 177259, 147615, 0, 0, 58910, 58455, 0, 0, 0, 6019653, 22030339, 165.281128, 38.279682, 5473938
10607, 8, 181, 161858, 11634, 0, 0, 58910, 58020, 0, 0, 0, 600, 4138150, 92.037285, 64.216354, 5484539
9024, 8, 606, 164402, 367, 0, 0, 58910, 58056, 0, 0, 0, 56968, 1601363, 3.378760, 3.378760, 5493557
149349, 8, 243, 178958, 48006, 0, 0, 58910, 58443, 0, 0, 0, 12847366, 34698819, 155.172211, 118.852631, 5642901
100503, 8, 178, 164530, 28846, 0, 0, 58910, 58130, 0, 0, 0, 7780523, 21770761, 130.579391, 113.454910, 5743399
265333, 9, 416, 191392, 115399, 0, 0, 58910, 58461, 0, 0, 0, 27626611, 64417907, 324.171967, 181.781403, 6008725
6564, 12, 141, 162641, 123, 0, 0, 58910, 57994, 0, 0, 0, 304, 755952, 8.320216, 6.876559, 6015280
5839, 8, 108, 154644, 132, 0, 0, 58910, 57994, 0, 0, 0, 542, 282428, 0.425795, 0.425339, 6021112
340875, 7, 460, 177737, 95010, 0, 0, 58910, 58445, 0, 0, 0, 32789427, 60527660, 275.037048, 222.880798, 6361982
6997, 9, 243, 163758, 10453, 0, 0, 58910, 58058, 0, 0, 0, 51738, 543276, 27.969982, 2.629232, 6368973
5870, 8, 226, 151874, 547, 0, 0, 58910, 57994, 0, 0, 0, 3498, 161168, 1.289774, 1.289774, 6374836
234628, 7, 301, 201256, 74275, 0, 0, 58910, 58455, 0, 0, 0, 35073110, 58481383, 274.425903, 174.078186, 6609459
57680, 12, 190, 170825, 47722, 0, 0, 58910, 58305, 0, 0, 0, 1391277, 34938376, 167.622223, 120.229622, 6667130
13653, 9, 58, 174720, 7456, 0, 0, 58910, 58082, 0, 0, 0, 514, 7294638, 40.596298, 28.203424, 6680777
6408, 9, 298, 168832, 1148, 0, 0, 58910, 57994, 0, 0, 0, 295, 86325, 0.596925, 0.596925, 6687179
13624, 7, 1332, 151854, 471, 0, 0, 58910, 58036, 0, 0, 0, 359853, 2370432, 5.044586, 5.044586, 6700799
53092, 9, 232, 180404, 21275, 0, 0, 58910, 58202, 0, 0, 0, 4415463, 13188071, 89.025826, 52.375340, 6753885
8076, 9, 1157, 169799, 67, 0, 0, 58910, 58024, 0, 0, 0, 12509, 491381, 1.025546, 1.025546, 6761955
7178, 7, 439, 152565, 166, 0, 0, 58910, 57994, 0, 0, 0, 34177, 967263, 3.347184, 3.124938, 6769128
379682, 9, 983, 206589, 90454, 0, 0, 58910, 58443, 0, 0, 0, 34086160, 76539268, 270.474640, 243.770126, 7148803
386616, 9, 459, 188095, 96851, 0, 0, 58910, 58443, 0, 0, 0, 38187409, 60269980, 280.461090, 173.558624, 7535413
6364, 8, 460, 159723, 250, 0, 0, 58910, 57994, 0, 0, 0, 32, 65737, 0.377449, 0.377449, 7541771
5777, 7, 274, 149192, 79, 0, 0, 58910, 57994, 0, 0, 0, 643, 314385, 2.480643, 2.480643, 7547542
