querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
36769, 9, 333, 251918, 2695, 0, 0, 34388, 34092, 0, 0, 0, 267747, 575543, 72.049370, 62.247364, 36763
8044, 63, 168, 181992, 307, 0, 0, 34388, 34092, 0, 0, 0, 59, 16711, 6.810528, 5.631338, 44747
14381, 8, 188, 179614, 738, 0, 0, 34388, 34092, 0, 0, 0, 16303, 183476, 35.669392, 29.198051, 59123
7297, 8, 154, 185945, 135, 0, 0, 34388, 34092, 0, 0, 0, 137, 11335, 3.502793, 3.371730, 66415
7342, 7, 73, 197580, 203, 0, 0, 34388, 34092, 0, 0, 0, 12, 1116, 6.185990, 6.185990, 73753
1865722, 5, 2766, 192576, 7003, 0, 0, 34388, 34312, 0, 0, 0, 12155037, 12752866, 107.154762, 107.154762, 1939472
17641, 19, 647, 390214, 502, 0, 0, 34388, 34092, 0, 0, 0, 3193, 56718, 13.997404, 13.997404, 1957101
13689, 14, 104, 323551, 505, 0, 0, 34388, 34092, 0, 0, 0, 3036, 27693, 25.387941, 24.051296, 1970781
14111, 15, 728, 376310, 106, 0, 0, 34388, 34092, 0, 0, 0, 43, 5894, 0.000000, 0.000000, 1984882
24211, 13, 2687, 340493, 1864, 0, 0, 34388, 34092, 0, 0, 0, 147906, 337488, 38.112732, 38.112732, 2009085
10019, 11, 244, 258423, 162, 0, 0, 34388, 34092, 0, 0, 0, 98, 29035, 3.071646, 2.832206, 2019097
17583, 5, 145, 231374, 4157, 0, 0, 34388, 34092, 0, 0, 0, 89545, 298435, 71.582329, 49.776207, 2036677
8678, 12, 283, 232898, 142, 0, 0, 34388, 34092, 0, 0, 0, 142, 21957, 0.506250, 0.506250, 2045346
8262, 5, 107, 222707, 348, 0, 0, 34388, 34092, 0, 0, 0, 16, 8245, 2.831873, 2.831873, 2053605
7985, 5, 118, 219214, 168, 0, 0, 34388, 34092, 0, 0, 0, 66, 13549, 3.081249, 3.081249, 2061587
8906, 5, 125, 218054, 182, 0, 0, 34388, 34092, 0, 0, 0, 421, 6068, 7.334002, 7.334002, 2070490
12897, 11, 1035, 308037, 158, 0, 0, 34388, 34092, 0, 0, 0, 24, 13020, 0.348326, 0.348326, 2083380
12251, 12, 361, 324153, 115, 0, 0, 34388, 34092, 0, 0, 0, 31, 5097, 0.502818, 0.502818, 2095625
1733231, 11, 3266, 381253, 250843, 0, 0, 34388, 34312, 0, 0, 0, 12247946, 12923305, 228.664001, 124.780502, 3828850
15054, 21, 225, 394069, 441, 0, 0, 34388, 34092, 0, 0, 0, 27, 2733, 0.978197, 0.978197, 3843890
13453, 14, 503, 350562, 173, 0, 0, 34388, 34092, 0, 0, 0, 47, 9062, 0.821146, 0.821146, 3857335
10891, 9, 181, 270089, 851, 0, 0, 34388, 34092, 0, 0, 0, 45, 8291, 0.470098, 0.470098, 3868221
14716, 13, 1375, 342298, 171, 0, 0, 34388, 34092, 0, 0, 0, 1682, 28104, 2.395939, 2.395939, 3882930
