querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
76593, 9, 2725, 359313, 9715, 0, 0, 50797, 49785, 0, 0, 0, 1599702, 4402735, 81.802528, 78.210190, 76587
1837367, 10, 222, 297976, 186694, 0, 0, 50797, 50668, 0, 0, 0, 16771818, 29675572, 298.580170, 206.411499, 1913947
1119183, 18, 317, 370805, 268658, 0, 0, 50797, 50453, 0, 0, 0, 16124353, 25768203, 268.526001, 171.566620, 3033120
1905924, 20, 1152, 456859, 86589, 0, 0, 50797, 50668, 0, 0, 0, 27058252, 31983379, 313.990631, 256.000031, 4939032
968173, 23, 652, 544397, 85656, 0, 0, 50797, 50205, 0, 0, 0, 8006053, 23572777, 225.816208, 155.947861, 5907190
1081267, 20, 1004, 459700, 88519, 0, 0, 50797, 50668, 0, 0, 0, 10044603, 23859387, 226.365128, 121.478043, 6988444
1050096, 22, 1310, 470471, 67418, 0, 0, 50797, 50668, 0, 0, 0, 17348112, 30275914, 302.357391, 182.873856, 8038525
26414, 19, 857, 430021, 1364, 0, 0, 50797, 49596, 0, 0, 0, 57498, 477116, 9.988600, 9.063293, 8064927
1451126, 21, 1000, 460227, 71597, 0, 0, 50797, 50668, 0, 0, 0, 20170074, 31959048, 272.434357, 219.588623, 9516039
1174208, 35, 786, 490308, 71049, 0, 0, 50797, 50668, 0, 0, 0, 15022934, 28981809, 258.913910, 185.919189, 10690233
1007095, 21, 1558, 454499, 84182, 0, 0, 50797, 50609, 0, 0, 0, 12175780, 25502192, 193.621078, 128.844208, 11697315
1332111, 20, 637, 446822, 68957, 0, 0, 50797, 50668, 0, 0, 0, 21214871, 31973833, 305.880585, 237.750717, 13029412
994331, 22, 5667, 427353, 57526, 0, 0, 50797, 50133, 0, 0, 0, 13248935, 23139163, 141.999008, 141.374176, 14023729
1243651, 19, 465, 431044, 67098, 0, 0, 50797, 50668, 0, 0, 0, 19505351, 31932984, 318.617065, 219.835876, 15267368
1227586, 20, 1094, 494456, 68924, 0, 0, 50797, 50668, 0, 0, 0, 19778975, 31906984, 290.607758, 205.275497, 16494941
33446, 23, 542, 489667, 16078, 0, 0, 50797, 49629, 0, 0, 0, 337666, 1738931, 43.800823, 43.800823, 16528372
988919, 17, 342, 411486, 70494, 0, 0, 50797, 50668, 0, 0, 0, 14667224, 27104201, 305.612244, 149.911179, 17517279
1073233, 21, 571, 490869, 107090, 0, 0, 50797, 50041, 0, 0, 0, 12375338, 21410861, 171.764297, 138.869049, 18590499
969963, 21, 499, 490225, 73957, 0, 0, 50797, 50668, 0, 0, 0, 12550597, 26823019, 220.069290, 144.602417, 19560449
1100168, 18, 505, 462032, 87405, 0, 0, 50797, 50668, 0, 0, 0, 15081571, 27295208, 282.714233, 162.322830, 20660603
1170392, 22, 605, 451629, 55255, 0, 0, 50797, 50508, 0, 0, 0, 9709339, 27224816, 214.945526, 169.900986, 21830981
76105, 20, 6376, 404464, 28707, 0, 0, 50797, 50038, 0, 0, 0, 3665566, 7889319, 121.341599, 86.938255, 21907073
1252395, 12, 229, 211291, 80010, 0, 0, 50797, 50668, 0, 0, 0, 16417541, 29918142, 330.924164, 183.295746, 23159459
1462071, 24, 1301, 542912, 84612, 0, 0, 50797, 50668, 0, 0, 0, 16188828, 30591145, 319.549927, 194.510422, 24621513
60466, 24, 376, 531402, 128336, 0, 0, 50797, 49905, 0, 0, 0, 12277, 12957601, 174.010132, 100.896454, 24681964
20299, 16, 666, 305178, 1229, 0, 0, 50797, 49711, 0, 0, 0, 376719, 1504723, 21.849850, 19.359430, 24702251
1460892, 21, 338, 225532, 72482, 0, 0, 50797, 50668, 0, 0, 0, 22445205, 31103825, 303.051636, 233.221298, 26163125
1333217, 23, 1030, 550161, 66562, 0, 0, 50797, 50668, 0, 0, 0, 21126276, 31974275, 252.799713, 218.898773, 27496327
1165045, 23, 898, 485471, 76136, 0, 0, 50797, 50668, 0, 0, 0, 18420648, 29297730, 263.999695, 185.422882, 28661358
1271383, 22, 908, 480662, 72786, 0, 0, 50797, 50668, 0, 0, 0, 19364451, 31677185, 320.690521, 205.612701, 29932727
67067, 22, 695, 509478, 141007, 0, 0, 50797, 50592, 0, 0, 0, 423138, 13879805, 213.863586, 76.868340, 29999780
1272577, 15, 438, 349469, 91677, 0, 0, 50797, 50668, 0, 0, 0, 14981078, 26821126, 287.071106, 145.756668, 31272346
1193341, 23, 1260, 577206, 65868, 0, 0, 50797, 50668, 0, 0, 0, 17949996, 30825897, 287.149750, 191.364471, 32465672
1220207, 22, 503, 518695, 61813, 0, 0, 50797, 50668, 0, 0, 0, 18638333, 30548909, 314.432129, 181.738907, 33685865
1290056, 23, 549, 559458, 66671, 0, 0, 50797, 50668, 0, 0, 0, 20868545, 31961736, 328.962006, 222.015717, 34975905
1470383, 23, 904, 558305, 71026, 0, 0, 50797, 50668, 0, 0, 0, 27429283, 31982797, 398.745239, 256.000000, 36446273
1382033, 22, 1264, 548670, 70938, 0, 0, 50797, 50668, 0, 0, 0, 23970558, 31974666, 328.073334, 235.551422, 37828292
1074470, 21, 517, 564283, 72132, 0, 0, 50797, 50668, 0, 0, 0, 18959307, 30835738, 300.858887, 183.872894, 38902749
1350904, 22, 1290, 508309, 97915, 0, 0, 50797, 50668, 0, 0, 0, 11701023, 25634302, 249.154022, 139.074951, 40253639
1186948, 23, 949, 560471, 139515, 0, 0, 50797, 50261, 0, 0, 0, 15349923, 24012406, 238.059128, 163.390503, 41440572
1241524, 22, 711, 539603, 72377, 0, 0, 50797, 50668, 0, 0, 0, 19606052, 31926223, 308.053619, 219.444733, 42682081
1141913, 20, 1284, 484494, 72880, 0, 0, 50797, 50668, 0, 0, 0, 15820192, 30486444, 284.729523, 195.208649, 43823981
1325673, 19, 824, 443940, 61881, 0, 0, 50797, 50668, 0, 0, 0, 29152106, 31982990, 338.014801, 251.223862, 45149641
1314677, 22, 240, 452659, 111379, 0, 0, 50797, 50221, 0, 0, 0, 14444641, 23447853, 238.339493, 148.668640, 46464304
1407058, 22, 1106, 547757, 65094, 0, 0, 50797, 50668, 0, 0, 0, 20005512, 31911766, 308.373718, 224.020676, 47871347
47307, 22, 11588, 402699, 953, 0, 0, 50797, 49844, 0, 0, 0, 877794, 2166409, 18.915403, 14.172218, 47918640
938692, 16, 391, 347735, 84794, 0, 0, 50797, 50668, 0, 0, 0, 12804026, 25913879, 309.859314, 146.828552, 48857322
1302441, 19, 268, 426620, 86796, 0, 0, 50797, 50668, 0, 0, 0, 14114770, 26254390, 330.233643, 135.984467, 50159751
26448, 23, 2092, 458819, 381, 0, 0, 50797, 49790, 0, 0, 0, 4007, 1518962, 8.363429, 7.577721, 50186184
