querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
23219, 19, 523, 393414, 170151, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 376.648499, 17.696831, 23205
60041, 16, 2062, 368750, 182918, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 398.000122, 14.898204, 83235
31788, 26, 34, 373509, 195306, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 489.802826, 17.828831, 115004
24014, 21, 619, 357072, 957, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.856450, 15.856450, 139003
17642, 13, 3981, 206569, 2521, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 14.364668, 14.364668, 156634
20047, 24, 146, 337321, 706, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.054004, 15.054004, 176663
31117, 17, 58, 442544, 185457, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 457.181213, 16.723976, 207767
16175, 19, 3041, 278659, 273, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 16.485147, 16.485147, 223928
30452, 18, 1108, 442348, 175578, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 424.258759, 15.144854, 254367
77918, 19, 0, 349569, 150575, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 15.658474, 15.658474, 332271
26614, 10, 4522, 378486, 154640, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 444.537231, 14.940656, 358878
12696, 13, 584, 244653, 455, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 14.938226, 14.938226, 371564
22022, 11, 587, 411632, 165054, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 183.710938, 14.115511, 393577
20364, 15, 347, 367752, 172105, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 397.961975, 16.976398, 413930
14430, 21, 1859, 271657, 2208, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.534549, 15.534549, 428345
24227, 25, 30, 370084, 192328, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 381.770081, 15.949063, 452552
22932, 22, 794, 354617, 196841, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 424.444977, 20.205744, 475467
19808, 12, 1318, 406372, 190295, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 382.588379, 16.048643, 495267
11256, 28, 1186, 218250, 1252, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.684227, 15.684227, 506512
21438, 16, 544, 376034, 189513, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 478.536224, 16.539320, 527938
25875, 23, 745, 368147, 162729, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 528.782837, 16.588627, 553796
20368, 13, 521, 352659, 170886, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 414.321136, 15.140232, 574155
72495, 16, 0, 405113, 166195, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 444.223175, 15.695456, 646638
9154, 10, 312, 189114, 1966, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 14.916829, 14.916829, 655784
12948, 19, 440, 348878, 2089, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 17.794754, 17.794754, 668716
26075, 24, 26, 365322, 176385, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 541.182190, 16.199396, 694772
17608, 26, 864, 360328, 269, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.173078, 15.173078, 712361
26178, 24, 54, 394479, 198379, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 444.226044, 15.217175, 738520
26113, 17, 1852, 417258, 182575, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 405.419098, 14.971380, 764620
25018, 20, 57, 390304, 162907, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 414.225983, 16.667353, 789623
28247, 25, 177, 377267, 146699, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 435.457703, 15.558429, 817852
23937, 12, 6366, 199707, 1963, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 13.905422, 13.905422, 841781
22155, 28, 891, 445860, 178152, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 493.045410, 14.534401, 863915
24869, 15, 1132, 343642, 203076, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 453.987030, 17.560816, 888772
20781, 17, 1390, 367591, 140178, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 160.016525, 15.518352, 909541
13480, 19, 473, 247924, 207, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 19.058027, 19.058027, 923007
11423, 14, 7, 215076, 345, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 16.948715, 16.948715, 934420
27352, 26, 17, 353795, 1534, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 17.251123, 17.251123, 961753
79371, 12, 1, 427149, 153786, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 422.315552, 16.809704, 1041115
7459, 12, 211, 175895, 792, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.718810, 15.718810, 1048566
8058, 9, 408, 188493, 190, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 16.938984, 16.938984, 1056616
11400, 15, 675, 241536, 517, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.584030, 15.584030, 1068005
16020, 19, 287, 264933, 698, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.348604, 15.348604, 1084010
29929, 13, 5707, 447557, 160160, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 380.345032, 14.753498, 1113929
19567, 26, 6, 402063, 196754, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 359.866211, 15.072355, 1133477
23613, 16, 28, 376772, 165837, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 480.893188, 17.910053, 1157079
10495, 12, 1368, 195136, 696, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 16.090786, 16.090786, 1167566
15008, 25, 530, 297064, 422, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 14.569680, 14.569680, 1182556
15491, 17, 343, 314861, 96208, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 86.502113, 17.636322, 1198034
17943, 25, 1463, 348802, 229, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 18.431206, 18.431206, 1215957
23465, 19, 832, 433158, 175709, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 425.455994, 13.573879, 1239408
26374, 23, 2158, 334721, 1292, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.641743, 15.641743, 1265764
17265, 21, 3332, 270807, 1010, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.386155, 15.386155, 1283013
15847, 25, 1624, 347589, 1942, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 13.919651, 13.919651, 1298841
21299, 25, 1308, 348842, 908, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 17.596750, 17.596750, 1320121
82561, 18, 0, 650330, 158361, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 134.069855, 16.382133, 1402669
7116, 10, 152, 182352, 1026, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 16.046892, 16.046892, 1409778
17749, 9, 1078, 401877, 155930, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 163.279617, 15.370667, 1427520
33140, 9, 25, 432746, 162009, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 445.276642, 18.061523, 1460653
7343, 13, 9, 171213, 871, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 17.027609, 17.027609, 1467986
7448, 9, 610, 162416, 324, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.316605, 15.316605, 1475427
20164, 13, 383, 334821, 161799, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 377.785919, 16.445267, 1495582
75440, 15, 0, 420879, 122266, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 419.293701, 18.326170, 1571010
16678, 10, 10, 179218, 1271, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.216118, 15.216118, 1587681
20243, 24, 194, 365974, 157646, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 427.626068, 16.022909, 1607905
29863, 12, 342, 191643, 4159, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 19.809908, 19.809908, 1637759
18619, 10, 754, 311554, 145149, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 469.186279, 18.029104, 1656371
76877, 16, 0, 398787, 179977, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 482.909760, 15.308310, 1733236
10779, 11, 612, 179144, 288, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 17.459818, 17.459818, 1744007
11223, 9, 692, 204781, 546, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 13.811756, 13.811756, 1755223
32690, 9, 976, 432184, 151006, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 406.554260, 17.023438, 1787906
80863, 14, 0, 432649, 148246, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 380.224518, 15.498199, 1868759
74157, 10, 0, 414347, 150600, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 503.968689, 17.407354, 1942909
73391, 26, 1, 397682, 164878, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 15.396122, 15.396122, 2016281
23831, 11, 1804, 366304, 142890, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 404.045105, 16.361980, 2040104
26295, 14, 2327, 372496, 163987, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 497.935944, 16.583746, 2066389
27071, 20, 2704, 335718, 159903, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 406.117218, 17.470057, 2093446
20984, 12, 1054, 374217, 179321, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 385.209320, 14.321319, 2114421
14719, 20, 1933, 350544, 2544, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 16.927353, 16.927353, 2129124
13860, 17, 358, 317086, 534, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.349579, 15.349579, 2142971
14587, 20, 1255, 275225, 195, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 16.572941, 16.572941, 2157543
30571, 15, 3380, 457065, 184774, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 477.084747, 14.662121, 2188103
21847, 16, 41, 336300, 146309, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 406.922974, 14.226965, 2209939
77804, 16, 0, 396034, 157725, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 495.216431, 16.510675, 2287731
9655, 10, 846, 193710, 679, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 15.488450, 15.488450, 2297379
9606, 10, 384, 178905, 241, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 14.174276, 14.174276, 2306977
9820, 8, 266, 209769, 974, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 14.521797, 14.521797, 2316790
23406, 24, 1749, 359987, 195909, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 396.928864, 14.666334, 2340177
63316, 19, 0, 363141, 137455, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 14.173974, 14.173974, 2403480
8478, 10, 286, 181101, 176, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 13.861348, 13.861348, 2411951
24977, 24, 60, 366349, 160142, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 422.385803, 16.379601, 2436910
70187, 18, 0, 352631, 142091, 0, 0, 51259, 1, 0, 0, 0, 0, 0, 490.904846, 16.177557, 2507084
8240, 10, 540, 180046, 940, 0, 0, 51259, 0, 0, 0, 0, 0, 0, 13.475739, 13.475739, 2515317
