querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
132055, 6, 148, 469292, 68715, 0, 0, 66222, 58329, 0, 0, 0, 1095790, 90954745, 62.830410, 45.758892, 132052
89405, 6, 455, 202312, 56586, 0, 0, 66222, 53062, 0, 0, 0, 641254, 76992057, 36.157223, 31.651720, 221454
61967, 7, 379, 183507, 31089, 0, 0, 66222, 45051, 0, 0, 0, 136834, 59226842, 27.509565, 27.509565, 283418
59763, 7, 3014, 183597, 106774, 0, 0, 66222, 23976, 0, 0, 0, 959062, 45148947, 33.000370, 23.646791, 343178
7134, 7, 134, 181006, 1173, 0, 0, 66222, 352, 0, 0, 0, 2049, 869758, 2.081141, 1.062729, 350309
144903, 5, 1962, 210672, 69045, 0, 0, 66222, 58534, 0, 0, 0, 3272432, 93914615, 59.179493, 38.349384, 495209
82441, 8, 621, 211699, 66643, 0, 0, 66222, 52687, 0, 0, 0, 504538, 77642319, 31.787905, 26.243298, 577646
21502, 6, 121, 188421, 86393, 0, 0, 66222, 5194, 0, 0, 0, 325643, 14331613, 34.358471, 9.777862, 599145
9332, 7, 691, 200506, 633, 0, 0, 66222, 1398, 0, 0, 0, 11819, 2401099, 5.602267, 5.602267, 608474
81432, 6, 445, 205032, 98516, 0, 0, 66222, 40617, 0, 0, 0, 759484, 70633701, 37.049778, 24.724426, 689903
59705, 8, 4166, 211972, 137147, 0, 0, 66222, 23969, 0, 0, 0, 317099, 50907698, 55.395199, 17.586506, 749605
120978, 6, 1409, 220600, 59969, 0, 0, 66222, 63468, 0, 0, 0, 1605800, 99485508, 30.540049, 29.762897, 870580
37176, 9, 595, 180561, 23651, 0, 0, 66222, 19979, 0, 0, 0, 79262, 33538873, 21.995626, 19.024351, 907752
134818, 7, 661, 223394, 58236, 0, 0, 66222, 64444, 0, 0, 0, 2491563, 99329309, 51.084747, 38.455406, 1042567
108660, 8, 560, 201227, 65316, 0, 0, 66222, 54818, 0, 0, 0, 1566118, 91430598, 43.209343, 40.038719, 1151223
139805, 7, 138, 211099, 54761, 0, 0, 66222, 64559, 0, 0, 0, 3648749, 99156644, 77.270508, 41.392410, 1291025
134555, 7, 572, 196122, 60707, 0, 0, 66222, 64276, 0, 0, 0, 3748559, 99724765, 61.707073, 42.017906, 1425576
111609, 7, 1504, 201656, 58384, 0, 0, 66222, 60430, 0, 0, 0, 1743195, 91542759, 47.936363, 35.950954, 1537182
18928, 6, 345, 173229, 9877, 0, 0, 66222, 11045, 0, 0, 0, 59021, 14088748, 15.211482, 12.127181, 1556108
181106, 7, 477, 203988, 65033, 0, 0, 66222, 64748, 0, 0, 0, 12245731, 99992933, 59.064358, 42.290161, 1737209
136346, 9, 470, 255875, 55171, 0, 0, 66222, 64300, 0, 0, 0, 1846088, 99168859, 45.442734, 41.540337, 1873551
115131, 7, 767, 191063, 49682, 0, 0, 66222, 64220, 0, 0, 0, 983885, 98329788, 28.513462, 26.595650, 1988679
35939, 7, 1042, 175703, 55924, 0, 0, 66222, 17888, 0, 0, 0, 49428, 29570800, 28.458813, 22.826756, 2024615
15029, 8, 470, 182689, 15479, 0, 0, 66222, 3252, 0, 0, 0, 120410, 8764955, 16.739456, 6.481960, 2039640
84026, 7, 221, 221738, 83682, 0, 0, 66222, 51307, 0, 0, 0, 126449, 79743128, 38.242100, 28.055147, 2123663
127219, 7, 261, 229321, 59969, 0, 0, 66222, 64092, 0, 0, 0, 1650765, 99184421, 73.115097, 36.819664, 2250879
100500, 8, 329, 273090, 137681, 0, 0, 66222, 52141, 0, 0, 0, 962065, 83776318, 52.352859, 35.896297, 2351376
99303, 8, 1527, 272134, 119642, 0, 0, 66222, 43308, 0, 0, 0, 849522, 75010482, 34.712784, 28.109751, 2450676
73804, 9, 564, 315308, 96178, 0, 0, 66222, 37621, 0, 0, 0, 339114, 58110754, 39.701057, 31.866488, 2524476
178075, 9, 573, 321949, 73297, 0, 0, 66222, 64448, 0, 0, 0, 11739054, 99823859, 82.779709, 46.889095, 2702547
190057, 7, 944, 199780, 67440, 0, 0, 66222, 64714, 0, 0, 0, 9633309, 99351977, 80.814934, 55.955456, 2892601
50904, 7, 304, 186087, 77817, 0, 0, 66222, 21576, 0, 0, 0, 348363, 44734319, 36.234909, 25.360928, 2943502
28874, 8, 270, 203524, 74920, 0, 0, 66222, 16339, 0, 0, 0, 44266, 23827211, 32.980907, 17.977362, 2972371
101764, 7, 641, 200627, 88070, 0, 0, 66222, 39729, 0, 0, 0, 2259984, 74492696, 40.604462, 34.034847, 3074131
43923, 7, 526, 180414, 74843, 0, 0, 66222, 26293, 0, 0, 0, 126394, 39762800, 32.217758, 23.007076, 3118051
106750, 7, 2153, 200745, 69750, 0, 0, 66222, 48177, 0, 0, 0, 1247849, 78431376, 33.758888, 31.295284, 3224797
53902, 8, 377, 234703, 81157, 0, 0, 66222, 32761, 0, 0, 0, 173075, 48635727, 36.328579, 28.594110, 3278695
125681, 7, 1925, 249747, 63026, 0, 0, 66222, 62882, 0, 0, 0, 1114126, 98040215, 39.096390, 31.030716, 3404372
99112, 8, 416, 194173, 92108, 0, 0, 66222, 47291, 0, 0, 0, 597904, 80689952, 50.218815, 39.348129, 3503480
77924, 7, 940, 192344, 72203, 0, 0, 66222, 40103, 0, 0, 0, 464440, 66599418, 27.432215, 24.147123, 3581401
60549, 7, 280, 225974, 97605, 0, 0, 66222, 39205, 0, 0, 0, 314552, 51803549, 42.329353, 26.751387, 3641947
53371, 8, 1409, 216774, 74234, 0, 0, 66222, 22831, 0, 0, 0, 1120447, 39209128, 27.006042, 20.446857, 3695315
117777, 7, 985, 227496, 127617, 0, 0, 66222, 52685, 0, 0, 0, 576598, 90389676, 42.485657, 34.239960, 3813090
158773, 9, 956, 350470, 77997, 0, 0, 66222, 63995, 0, 0, 0, 5208001, 98728809, 42.331627, 42.331627, 3971859
56984, 9, 528, 226033, 89875, 0, 0, 66222, 30821, 0, 0, 0, 214302, 50610166, 34.430000, 24.712809, 4028839
102494, 7, 4265, 185000, 29469, 0, 0, 66222, 32726, 0, 0, 0, 5165950, 64683140, 35.426807, 35.426807, 4131330
48530, 8, 195, 193136, 126571, 0, 0, 66222, 27267, 0, 0, 0, 270637, 42836747, 47.161118, 29.571522, 4179857
122025, 8, 422, 214839, 63060, 0, 0, 66222, 63865, 0, 0, 0, 2725765, 98688755, 36.512234, 35.021233, 4301877
113133, 9, 353, 292977, 110320, 0, 0, 66222, 55379, 0, 0, 0, 1163294, 87342982, 50.065109, 34.009331, 4415006
16774, 8, 553, 193536, 9710, 0, 0, 66222, 10697, 0, 0, 0, 10330, 10594927, 9.475058, 8.817135, 4431777
23058, 6, 726, 182965, 20256, 0, 0, 66222, 11720, 0, 0, 0, 39860, 17908252, 21.466919, 18.384207, 4454832
25611, 7, 420, 181737, 12569, 0, 0, 66222, 8358, 0, 0, 0, 108519, 19366254, 14.122952, 12.039651, 4480439
71224, 7, 626, 212219, 82176, 0, 0, 66222, 41266, 0, 0, 0, 190400, 65268028, 33.218109, 26.065420, 4551660
23870, 6, 239, 195157, 81479, 0, 0, 66222, 10547, 0, 0, 0, 34878, 18902594, 22.815573, 10.012355, 4575525
26879, 7, 353, 196718, 41398, 0, 0, 66222, 15554, 0, 0, 0, 12703, 22110829, 28.632162, 21.099491, 4602400
28067, 8, 637, 188712, 10345, 0, 0, 66222, 17597, 0, 0, 0, 18441, 23777437, 12.152555, 12.152555, 4630462
