querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
24088, 22, 169, 352709, 43626, 0, 0, 72286, 4828, 0, 0, 0, 2264, 5810086, 18.431543, 12.447766, 24081
14821, 12, 481, 292151, 41705, 0, 0, 72286, 158, 0, 0, 0, 12071, 1826991, 34.740356, 1.665452, 38895
44664, 14, 254, 310204, 51680, 0, 0, 72286, 16119, 0, 0, 0, 198432, 17294871, 23.580235, 20.164249, 83552
651160, 10, 350, 377149, 123670, 0, 0, 72286, 66748, 0, 0, 0, 36145364, 74930136, 249.290955, 213.470169, 734707
72205, 9, 140, 216151, 100240, 0, 0, 72286, 32127, 0, 0, 0, 2651251, 38551053, 85.554710, 49.990955, 806907
92769, 15, 5, 513194, 156363, 0, 0, 72286, 154, 0, 0, 0, 3741, 1299938, 0.179217, 0.179217, 899668
555280, 9, 5224, 511886, 98981, 0, 0, 72286, 67099, 0, 0, 0, 35349145, 84630783, 296.504913, 151.610733, 1454942
149329, 10, 189, 379788, 69610, 0, 0, 72286, 64948, 0, 0, 0, 13286786, 70851823, 285.402924, 92.912659, 1604265
164234, 10, 1231, 217062, 93948, 0, 0, 72286, 30764, 0, 0, 0, 10509632, 36658479, 92.451591, 48.675865, 1768493
8400, 9, 693, 174658, 31979, 0, 0, 72286, 115, 0, 0, 0, 16417, 1310958, 38.871452, 0.989566, 1776886
39749, 8, 2619, 159453, 16266, 0, 0, 72286, 4274, 0, 0, 0, 1676968, 10521292, 18.053799, 14.495574, 1816629
14684, 10, 32, 165263, 74588, 0, 0, 72286, 9563, 0, 0, 0, 938, 8002573, 83.171082, 55.950466, 1831307
432822, 10, 494, 367728, 94204, 0, 0, 72286, 67269, 0, 0, 0, 38739708, 86474302, 328.570740, 181.264832, 2264122
5975, 15, 80, 147223, 10660, 0, 0, 72286, 818, 0, 0, 0, 1761, 481539, 14.311501, 6.714111, 2270091
48303, 4, 3322, 267977, 81056, 0, 0, 72286, 16756, 0, 0, 0, 1992879, 19653809, 88.254059, 37.990635, 2318392
99874, 9, 3205, 199061, 79350, 0, 0, 72286, 32493, 0, 0, 0, 4233195, 35846470, 85.896080, 65.409508, 2418260
267729, 10, 657, 375335, 111644, 0, 0, 72286, 66031, 0, 0, 0, 18983401, 73808504, 188.359451, 141.049713, 2685983
119531, 17, 440, 380492, 87829, 0, 0, 72286, 63747, 0, 0, 0, 9199190, 63230337, 365.038269, 54.946804, 2805505
137857, 9, 484, 358541, 96593, 0, 0, 72286, 64640, 0, 0, 0, 7255634, 71510181, 164.005920, 137.332886, 2943357
201281, 9, 1255, 375874, 77314, 0, 0, 72286, 65810, 0, 0, 0, 18023439, 76629434, 305.640198, 126.871048, 3144632
388565, 15, 3462, 361649, 106911, 0, 0, 72286, 66944, 0, 0, 0, 24130520, 80815917, 253.139679, 202.817993, 3533190
12251, 9, 964, 208038, 82394, 0, 0, 72286, 422, 0, 0, 0, 16495, 3708956, 45.594959, 0.770839, 3545436
14221, 11, 64, 193227, 37637, 0, 0, 72286, 7774, 0, 0, 0, 752, 5235726, 46.965179, 38.999680, 3559650
10773, 11, 797, 234139, 470, 0, 0, 72286, 241, 0, 0, 0, 10430, 782738, 2.066575, 1.148669, 3570417
157431, 10, 317, 258534, 83595, 0, 0, 72286, 33206, 0, 0, 0, 8971272, 39345316, 109.037872, 82.649536, 3727842
257093, 12, 2836, 372280, 76585, 0, 0, 72286, 66249, 0, 0, 0, 18164272, 79484399, 186.453003, 150.033920, 3984927
110735, 11, 2, 598150, 214715, 0, 0, 72286, 1043, 0, 0, 0, 713912, 5920550, 7.558424, 7.403674, 4095656
36962, 12, 230, 244177, 112222, 0, 0, 72286, 24674, 0, 0, 0, 8518, 20015985, 127.778366, 98.353355, 4132611
