querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
76341, 22, 70, 647419, 147135, 0, 0, 65564, 60230, 0, 0, 0, 3748497, 4160286, 281.198730, 243.993118, 76334
50308, 10, 34, 343990, 153252, 0, 0, 65564, 58166, 0, 0, 0, 3283016, 4160286, 340.183685, 150.606842, 126637
68219, 8, 33, 340990, 175990, 0, 0, 65564, 60390, 0, 0, 0, 3969024, 4160286, 353.542999, 218.079254, 194851
67888, 8, 64, 346277, 180466, 0, 0, 65564, 60534, 0, 0, 0, 3949066, 4160286, 368.679810, 214.058014, 262735
63830, 11, 42, 342800, 201331, 0, 0, 65564, 60528, 0, 0, 0, 4009908, 4160286, 332.738281, 239.503143, 326558
68010, 16, 57, 362770, 191578, 0, 0, 65564, 60298, 0, 0, 0, 3675768, 4160286, 333.661896, 196.681702, 394559
60752, 9, 34, 360983, 214998, 0, 0, 65564, 59391, 0, 0, 0, 3734598, 4160286, 360.468689, 228.887695, 455306
65778, 17, 46, 350330, 174779, 0, 0, 65564, 60222, 0, 0, 0, 3930425, 4160286, 379.336731, 234.888641, 521075
48498, 10, 33, 350221, 196044, 0, 0, 65564, 57014, 0, 0, 0, 2521181, 4160286, 235.447739, 160.424606, 569567
65004, 11, 67, 344238, 183348, 0, 0, 65564, 60151, 0, 0, 0, 4025153, 4160286, 393.338287, 231.059952, 634565
50120, 9, 32, 350775, 190722, 0, 0, 65564, 57210, 0, 0, 0, 2297046, 4160286, 291.313995, 178.847961, 684679
18352, 10, 45, 345112, 128305, 0, 0, 65564, 32755, 0, 0, 0, 14914, 2596874, 195.444870, 113.034195, 703025
67063, 8, 30, 345479, 227930, 0, 0, 65564, 60149, 0, 0, 0, 3868821, 4160286, 358.669891, 229.595108, 770083
58333, 10, 35, 349447, 196293, 0, 0, 65564, 59050, 0, 0, 0, 3262923, 4160286, 258.349243, 175.587906, 828411
48526, 9, 37, 348191, 167754, 0, 0, 65564, 58415, 0, 0, 0, 3458528, 4160286, 289.797546, 165.262939, 876932
58472, 15, 41, 363543, 188080, 0, 0, 65564, 59499, 0, 0, 0, 3725750, 4160286, 346.100433, 219.725189, 935396
65320, 10, 30, 366059, 214884, 0, 0, 65564, 60176, 0, 0, 0, 4133598, 4160286, 354.084808, 255.989914, 1000710
62082, 10, 28, 356257, 165514, 0, 0, 65564, 60052, 0, 0, 0, 4149926, 4160286, 433.301727, 236.959122, 1062786
64723, 9, 83, 343717, 194959, 0, 0, 65564, 60299, 0, 0, 0, 3955050, 4160286, 310.751526, 255.837036, 1127504
63783, 16, 57, 365404, 181266, 0, 0, 65564, 59831, 0, 0, 0, 4052402, 4160286, 335.909088, 216.517807, 1191277
65812, 10, 33, 354236, 204591, 0, 0, 65564, 60484, 0, 0, 0, 4159061, 4160286, 391.986694, 255.991608, 1257083
54855, 10, 41, 345122, 173637, 0, 0, 65564, 58926, 0, 0, 0, 3714377, 4160286, 332.085907, 187.160324, 1311933
62618, 8, 42, 345727, 193559, 0, 0, 65564, 60116, 0, 0, 0, 4141609, 4160286, 396.717163, 232.524597, 1374547
67228, 8, 33, 350701, 213548, 0, 0, 65564, 60500, 0, 0, 0, 4102715, 4160286, 358.520905, 250.405807, 1441771
44920, 9, 33, 350174, 155222, 0, 0, 65564, 56026, 0, 0, 0, 2441585, 4160286, 249.557968, 190.958176, 1486686
70075, 18, 89, 347531, 191872, 0, 0, 65564, 60623, 0, 0, 0, 3991194, 4160286, 336.709839, 243.094238, 1556752
62776, 9, 49, 343428, 200145, 0, 0, 65564, 59876, 0, 0, 0, 3884112, 4160286, 313.292786, 236.400620, 1619523
51489, 9, 31, 347288, 162872, 0, 0, 65564, 58453, 0, 0, 0, 3797937, 4160286, 343.641113, 215.161865, 1671007
44172, 10, 41, 343045, 156389, 0, 0, 65564, 56163, 0, 0, 0, 2347937, 4160286, 175.552185, 87.816536, 1715173
52068, 17, 103, 324395, 163358, 0, 0, 65564, 57965, 0, 0, 0, 2778452, 4160286, 392.737335, 122.827507, 1767232
67624, 11, 39, 350219, 225739, 0, 0, 65564, 60392, 0, 0, 0, 3810456, 4160286, 324.822876, 230.207031, 1834850
