querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
102167, 19, 930, 522920, 77620, 0, 0, 66630, 30547, 0, 0, 0, 1607318, 10703039, 84.271973, 78.210190, 102162
1423510, 18, 289, 362369, 154311, 0, 0, 66630, 64267, 0, 0, 0, 16239834, 31092764, 265.418335, 206.411499, 1525663
1145743, 19, 360, 681285, 103652, 0, 0, 66630, 63114, 0, 0, 0, 15709178, 30013294, 247.961639, 171.566620, 2671396
1668152, 22, 472, 1008691, 99559, 0, 0, 66630, 65023, 0, 0, 0, 27007735, 31982766, 349.843658, 256.000031, 4339536
836639, 20, 211, 577855, 189023, 0, 0, 66630, 60355, 0, 0, 0, 8078243, 29002888, 199.290970, 155.947861, 5176164
1132618, 19, 538, 507343, 129324, 0, 0, 66630, 61443, 0, 0, 0, 10008279, 29654406, 182.460480, 121.478043, 6308772
1200827, 22, 245, 994944, 91607, 0, 0, 66630, 63224, 0, 0, 0, 16591458, 31227227, 320.472473, 182.873856, 7509587
31290, 23, 1042, 431847, 224506, 0, 0, 66630, 8392, 0, 0, 0, 70305, 3763837, 11.646093, 9.063293, 7540864
1500018, 18, 149, 781322, 90628, 0, 0, 66630, 64078, 0, 0, 0, 19431458, 31644950, 341.750336, 219.588623, 9040873
1336775, 38, 406, 556486, 77085, 0, 0, 66630, 64699, 0, 0, 0, 14660535, 31079930, 209.431015, 185.919189, 10377634
1131651, 24, 400, 580258, 76932, 0, 0, 66630, 64274, 0, 0, 0, 12556160, 29829311, 262.281067, 128.844208, 11509270
1325878, 21, 145, 604175, 89621, 0, 0, 66630, 65297, 0, 0, 0, 20451867, 31954752, 361.425018, 237.750717, 12835138
1253456, 21, 3680, 554402, 137826, 0, 0, 66630, 64320, 0, 0, 0, 13238156, 29141840, 173.986511, 141.374176, 14088583
1448277, 23, 267, 640617, 77794, 0, 0, 66630, 65102, 0, 0, 0, 19019105, 31848746, 342.409546, 219.835876, 15536848
1289676, 23, 354, 719927, 79930, 0, 0, 66630, 65009, 0, 0, 0, 19373361, 31663670, 317.322327, 205.275497, 16826511
54713, 22, 179, 487255, 173635, 0, 0, 66630, 30324, 0, 0, 0, 361549, 10751330, 48.472160, 43.800823, 16881213
