querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
518554, 8, 277, 497256, 90344, 0, 0, 66850, 65869, 0, 0, 0, 79568412, 100000000, 158.751022, 135.980804, 518548
42064, 10, 333, 168690, 52496, 0, 0, 66850, 23451, 0, 0, 0, 252048, 38592769, 44.383930, 35.997322, 560606
374286, 11, 412, 204606, 80168, 0, 0, 66850, 65737, 0, 0, 0, 53581956, 100000000, 147.663956, 121.714340, 934885
34291, 9, 519, 168236, 11304, 0, 0, 66850, 19829, 0, 0, 0, 144506, 31090386, 33.852543, 33.050213, 969170
460297, 9, 371, 227273, 86323, 0, 0, 66850, 65818, 0, 0, 0, 67333087, 100000000, 160.207245, 133.919449, 1429461
53575, 9, 245, 175790, 47774, 0, 0, 66850, 30435, 0, 0, 0, 417132, 50529019, 47.544384, 37.562798, 1483030
502521, 11, 247, 198289, 90755, 0, 0, 66850, 65857, 0, 0, 0, 78610105, 100000000, 154.127243, 141.361832, 1985545
45999, 18, 923, 173149, 25531, 0, 0, 66850, 26008, 0, 0, 0, 318935, 42220236, 41.297173, 37.818684, 2031532
535793, 10, 166, 192858, 91645, 0, 0, 66850, 65903, 0, 0, 0, 83768605, 100000000, 174.151459, 142.787064, 2567319
53026, 8, 853, 170386, 34552, 0, 0, 66850, 29911, 0, 0, 0, 384178, 49892799, 43.330212, 38.735657, 2620340
617435, 11, 61, 204176, 97674, 0, 0, 66850, 65914, 0, 0, 0, 97206909, 100000000, 190.094223, 147.225861, 3237768
32709, 9, 332, 164062, 10860, 0, 0, 66850, 18803, 0, 0, 0, 142186, 29928225, 34.071354, 33.858292, 3270470
526924, 9, 293, 207881, 91808, 0, 0, 66850, 65898, 0, 0, 0, 84936156, 100000000, 166.893707, 146.604691, 3797388
37835, 10, 370, 169570, 11666, 0, 0, 66850, 21421, 0, 0, 0, 197921, 34890586, 36.259361, 36.259361, 3835215
555133, 9, 284, 215417, 93123, 0, 0, 66850, 65883, 0, 0, 0, 90080178, 100000000, 172.110336, 141.119568, 4390342
50717, 10, 318, 172560, 27234, 0, 0, 66850, 28748, 0, 0, 0, 433070, 47741898, 44.767040, 39.176807, 4441053
592433, 10, 71, 199488, 93774, 0, 0, 66850, 65910, 0, 0, 0, 93391618, 100000000, 188.136215, 153.828033, 5033480
34168, 9, 331, 165051, 12824, 0, 0, 66850, 20042, 0, 0, 0, 208820, 30928839, 35.976173, 33.522598, 5067642
602593, 10, 238, 197110, 95070, 0, 0, 66850, 65930, 0, 0, 0, 94951787, 100000000, 177.687866, 148.015671, 5670229
42771, 9, 478, 165600, 20284, 0, 0, 66850, 23353, 0, 0, 0, 258831, 40304484, 38.609783, 35.467789, 5712995
545078, 11, 402, 203834, 92868, 0, 0, 66850, 65894, 0, 0, 0, 87727787, 100000000, 170.155487, 144.147156, 6258065
20664, 9, 520, 176781, 12938, 0, 0, 66850, 11564, 0, 0, 0, 93178, 15659867, 31.696737, 26.935043, 6278723
596462, 9, 687, 217056, 96716, 0, 0, 66850, 65886, 0, 0, 0, 92827632, 100000000, 161.787506, 145.101196, 6875178
45865, 10, 362, 171673, 33539, 0, 0, 66850, 26167, 0, 0, 0, 380270, 42678490, 45.841667, 37.071327, 6921037
