querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
11624, 13, 746, 280289, 1067, 0, 0, 65932, 65536, 0, 0, 0, 255, 12272, 0.000000, 0.000000, 11615
9286, 9, 176, 299566, 734, 0, 0, 65932, 65536, 0, 0, 0, 14, 4090, 0.011769, 0.011769, 20895
8762, 7, 117, 318654, 749, 0, 0, 65932, 65536, 0, 0, 0, 16, 4090, 0.047113, 0.047113, 29652
8110, 6, 113, 286087, 583, 0, 0, 65932, 65536, 0, 0, 0, 19, 4090, 0.106084, 0.106084, 37758
8039, 6, 113, 281904, 376, 0, 0, 65932, 65536, 0, 0, 0, 19, 7809, 0.188722, 0.188722, 45792
7823, 5, 114, 266728, 251, 0, 0, 65932, 65536, 0, 0, 0, 22, 10198, 0.295057, 0.295057, 53610
8016, 6, 113, 256718, 286, 0, 0, 65932, 65536, 0, 0, 0, 22, 20980, 0.425111, 0.425111, 61622
7423, 8, 147, 208052, 296, 0, 0, 65932, 65536, 0, 0, 0, 24, 40627, 0.578896, 0.578896, 69039
11831, 7, 153, 230095, 1914, 0, 0, 65932, 65536, 0, 0, 0, 32, 74973, 0.756411, 0.756411, 80863
19000, 24, 461, 404264, 1254, 0, 0, 65932, 65536, 0, 0, 0, 37, 113818, 0.957650, 0.957650, 99845
20255, 21, 375, 432022, 1752, 0, 0, 65932, 65540, 0, 0, 0, 41, 176665, 1.182593, 1.182593, 120083
19139, 25, 454, 393067, 1088, 0, 0, 65932, 65540, 0, 0, 0, 42, 239996, 1.431213, 1.431213, 139203
16037, 17, 333, 352358, 230, 0, 0, 65932, 65540, 0, 0, 0, 44, 362867, 1.703470, 1.703470, 155227
14395, 12, 230, 307431, 271, 0, 0, 65932, 65542, 0, 0, 0, 46, 528277, 1.999317, 1.999317, 169613
15704, 11, 196, 325601, 353, 0, 0, 65932, 65542, 0, 0, 0, 46, 696290, 2.318696, 2.318696, 185309
14953, 12, 208, 344092, 440, 0, 0, 65932, 65542, 0, 0, 0, 54, 917187, 2.661541, 2.661541, 200253
17213, 11, 180, 389530, 635, 0, 0, 65932, 65542, 0, 0, 0, 61, 1175324, 3.027771, 3.027771, 217458
18701, 11, 196, 404801, 874, 0, 0, 65932, 65542, 0, 0, 0, 63, 1368702, 3.417302, 3.417302, 236150
19352, 13, 232, 397798, 936, 0, 0, 65932, 65542, 0, 0, 0, 63, 1574279, 3.830038, 3.830038, 255492
23030, 27, 478, 445060, 1026, 0, 0, 65932, 65542, 0, 0, 0, 64, 1790774, 4.265870, 4.265870, 278502
19433, 9, 132, 421095, 1080, 0, 0, 65932, 65542, 0, 0, 0, 65, 1961417, 4.724686, 4.724686, 297928
17993, 8, 132, 364162, 1283, 0, 0, 65932, 65542, 0, 0, 0, 71, 2184384, 5.206360, 5.206360, 315915
16936, 9, 146, 321383, 1154, 0, 0, 65932, 65542, 0, 0, 0, 87, 2500006, 5.710758, 5.710758, 332845
17105, 10, 202, 265983, 1493, 0, 0, 65932, 65542, 0, 0, 0, 94, 2868843, 6.237741, 6.237741, 349943
17102, 10, 183, 254599, 1386, 0, 0, 65932, 65542, 0, 0, 0, 99, 3302188, 6.787152, 6.787152, 367038
17532, 7, 139, 250742, 1373, 0, 0, 65932, 65542, 0, 0, 0, 105, 3638591, 7.358837, 7.358837, 384564
19143, 10, 210, 248894, 1531, 0, 0, 65932, 65542, 0, 0, 0, 110, 3890594, 7.952622, 7.952622, 403698
16893, 7, 136, 214590, 1601, 0, 0, 65932, 65542, 0, 0, 0, 113, 3986552, 8.568334, 8.568334, 420586
16538, 33, 488, 221914, 1834, 0, 0, 65932, 65542, 0, 0, 0, 118, 4085709, 9.205788, 9.205788, 437095
19899, 15, 257, 237849, 1826, 0, 0, 65932, 65542, 0, 0, 0, 134, 4231491, 9.864790, 9.864790, 456983
27359, 25, 411, 391593, 1979, 0, 0, 65932, 65542, 0, 0, 0, 147, 4563850, 10.545139, 10.545139, 484325
21920, 10, 173, 227822, 2621, 0, 0, 65932, 65546, 0, 0, 0, 156, 5429306, 11.246632, 11.246632, 506238
26360, 18, 367, 268168, 2632, 0, 0, 65932, 65552, 0, 0, 0, 178, 6812462, 11.969044, 11.969044, 532585
26657, 11, 211, 248382, 3132, 0, 0, 65932, 65576, 0, 0, 0, 209, 8569975, 12.712158, 12.712158, 559235
30627, 16, 335, 289658, 3604, 0, 0, 65932, 65600, 0, 0, 0, 251, 9974544, 13.475748, 13.475748, 589850
28427, 16, 337, 241405, 4107, 0, 0, 65932, 65600, 0, 0, 0, 321, 10954469, 14.259572, 14.259572, 618266
26714, 9, 172, 198053, 4845, 0, 0, 65932, 65604, 0, 0, 0, 424, 12269204, 15.063391, 15.063391, 644974
34195, 14, 348, 281254, 6252, 0, 0, 65932, 65612, 0, 0, 0, 602, 14602703, 15.886957, 15.886957, 679159
31837, 11, 251, 213455, 8381, 0, 0, 65932, 65616, 0, 0, 0, 829, 17390048, 16.730009, 16.730009, 710988
31022, 7, 181, 183442, 7867, 0, 0, 65932, 65616, 0, 0, 0, 1161, 19222354, 17.592299, 17.592299, 742004
30686, 7, 187, 186141, 8985, 0, 0, 65932, 65616, 0, 0, 0, 1678, 20003284, 18.473545, 18.473545, 772684
44020, 8, 325, 405493, 281679, 0, 0, 65932, 65932, 0, 0, 0, 221783, 20946515, 345.014587, 19.373486, 816699
44995, 13, 416, 352200, 226364, 0, 0, 65932, 65932, 0, 0, 0, 206859, 22922065, 344.803772, 20.291842, 861685
45036, 7, 309, 385576, 197948, 0, 0, 65932, 65932, 0, 0, 0, 210479, 25927339, 344.600555, 21.228342, 906716
47434, 8, 298, 382126, 163536, 0, 0, 65932, 65932, 0, 0, 0, 215593, 29195028, 344.404968, 22.182688, 954143
50920, 9, 304, 377818, 181641, 0, 0, 65932, 65932, 0, 0, 0, 256019, 31431297, 344.216980, 23.154598, 1005057
55594, 15, 309, 403864, 216735, 0, 0, 65932, 65932, 0, 0, 0, 213807, 33413947, 344.036499, 24.143778, 1060645
58678, 8, 304, 378874, 195825, 0, 0, 65932, 65932, 0, 0, 0, 237820, 37264470, 343.863464, 25.149925, 1119317
66128, 8, 302, 389169, 220943, 0, 0, 65932, 65932, 0, 0, 0, 243818, 42582454, 343.697876, 26.172745, 1185440
71387, 9, 302, 392165, 229396, 0, 0, 65932, 65932, 0, 0, 0, 197379, 46081872, 343.539764, 27.211929, 1256821
74540, 9, 323, 407363, 218393, 0, 0, 65932, 65932, 0, 0, 0, 253544, 47937777, 343.388855, 28.267179, 1331354
77823, 8, 314, 402428, 190667, 0, 0, 65932, 65932, 0, 0, 0, 261383, 50688705, 343.245331, 29.338179, 1409172
83792, 8, 313, 395281, 171760, 0, 0, 65932, 65932, 0, 0, 0, 263526, 55131672, 343.108917, 30.424625, 1492958
90835, 8, 309, 392166, 231296, 0, 0, 65932, 65932, 0, 0, 0, 320780, 58753648, 342.979828, 31.526188, 1583787
94951, 9, 323, 402234, 209268, 0, 0, 65932, 65932, 0, 0, 0, 337308, 60834284, 342.857727, 32.642563, 1678732
100070, 8, 323, 411826, 222797, 0, 0, 65932, 65932, 0, 0, 0, 428503, 62968827, 342.742676, 33.773438, 1778797
105487, 9, 320, 405466, 191195, 0, 0, 65932, 65932, 0, 0, 0, 476222, 67389640, 342.634613, 34.918480, 1884278
115310, 9, 313, 412318, 246707, 0, 0, 65932, 65932, 0, 0, 0, 586401, 71982117, 342.533478, 36.077385, 1999581
118721, 8, 323, 387187, 190537, 0, 0, 65932, 65932, 0, 0, 0, 689854, 74434984, 342.439209, 37.249817, 2118297
122939, 8, 314, 382973, 186763, 0, 0, 65932, 65932, 0, 0, 0, 822817, 76984692, 342.351685, 38.435459, 2241230
129258, 9, 307, 387394, 165890, 0, 0, 65932, 65932, 0, 0, 0, 1020883, 81091196, 342.270935, 39.633991, 2370481
134916, 8, 324, 400093, 145897, 0, 0, 65932, 65932, 0, 0, 0, 1285341, 83802092, 342.196716, 40.845100, 2505392
140553, 11, 426, 373798, 185644, 0, 0, 65932, 65932, 0, 0, 0, 1577855, 85219543, 342.129120, 42.068455, 2645937
145927, 9, 310, 389155, 152824, 0, 0, 65932, 65932, 0, 0, 0, 1952123, 87214548, 342.068085, 43.303719, 2791859
170454, 26, 750, 421347, 171845, 0, 0, 65932, 65932, 0, 0, 0, 2406910, 89673890, 342.013336, 44.550583, 2962294
158262, 10, 319, 406366, 185852, 0, 0, 65932, 65932, 0, 0, 0, 3007374, 91543423, 341.964996, 45.808746, 3120549
161208, 9, 327, 403934, 148801, 0, 0, 65932, 65932, 0, 0, 0, 3648031, 92710871, 341.922943, 47.077847, 3281751
