querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
191768, 7, 364, 820743, 78446, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 54.249866, 45.758892, 191764
91264, 8, 1020, 352301, 113737, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 36.157223, 31.651720, 283023
70453, 7, 794, 295432, 105464, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 28.165464, 27.509565, 353472
80726, 8, 394, 392775, 187349, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 40.392345, 23.646791, 434193
8367, 7, 1249, 169267, 627, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 1.067272, 1.062729, 442556
146061, 6, 509, 403996, 69567, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 54.623615, 38.349384, 588613
82148, 8, 205, 316240, 92658, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 26.243298, 26.243298, 670756
18122, 7, 1197, 175201, 47257, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 14.155286, 9.777862, 688873
11467, 9, 671, 169603, 1499, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 5.602267, 5.602267, 700335
67524, 8, 764, 368666, 211698, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 32.471474, 24.724426, 767853
53350, 8, 330, 385095, 182783, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 37.396244, 17.586506, 821198
129829, 8, 214, 409664, 73733, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 39.646912, 29.762897, 951022
63946, 14, 790, 343999, 123761, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 23.603710, 19.024351, 1014961
141064, 7, 929, 422803, 78340, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 46.355938, 38.455406, 1156019
149011, 13, 1642, 336772, 78677, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 40.756050, 40.038719, 1305023
134752, 10, 215, 397338, 78747, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 51.961056, 41.392410, 1439769
148743, 7, 368, 419366, 71855, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 60.611851, 42.017906, 1588506
102515, 8, 2722, 387988, 143285, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 39.597092, 35.950954, 1691016
46216, 15, 4974, 355535, 113594, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 15.170795, 12.127181, 1737225
188774, 8, 1837, 426584, 75370, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 54.693878, 42.290161, 1925993
148727, 9, 230, 421811, 74978, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 47.203022, 41.540337, 2074714
113852, 7, 456, 419490, 117446, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 38.860085, 26.595650, 2188562
60525, 8, 3414, 270929, 54387, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 23.359482, 22.826756, 2249082
11042, 9, 1792, 153872, 5093, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 9.048760, 6.481960, 2260118
122722, 7, 502, 428749, 80723, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 39.092133, 28.055147, 2382835
141823, 6, 447, 427932, 73335, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 58.228424, 36.819664, 2524654
94928, 7, 1523, 404050, 142809, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 41.778824, 35.896297, 2619577
85714, 7, 142, 417475, 156930, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 40.524155, 28.109751, 2705286
78703, 6, 1529, 378723, 142877, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 40.724884, 31.866488, 2783985
150055, 6, 1739, 439970, 72880, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 46.889095, 46.889095, 2934036
179798, 16, 1129, 404527, 78805, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 58.276752, 55.955456, 3113826
32227, 8, 947, 216446, 73761, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 31.480011, 25.360928, 3146047
48635, 9, 194, 227674, 132923, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 25.881897, 17.977362, 3194677
135485, 7, 210, 419232, 76139, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 44.552937, 34.034847, 3330158
75420, 14, 1443, 360888, 142135, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 27.908009, 23.007076, 3405571
91617, 8, 551, 417687, 206956, 0, 0, 66466, 0, 0, 0, 0, 0, 0, 49.771904, 31.295284, 3497183
